ds,y
2001-10-01,1110.585
2001-11-01,1128.345
2001-12-01,1098.909
2002-01-01,1009.025
2002-02-01,1103.253
2002-03-01,1119.003
2002-04-01,1115.473
2002-05-01,1073.546
2002-06-01,945.646
2002-07-01,885.036
2002-08-01,888.131
2002-09-01,1006.31
2002-10-01,1100.484
2002-11-01,1117.917
2002-12-01,1088.861
2003-01-01,1008.211
2003-02-01,1092.554
2003-03-01,1101.19
2003-04-01,1102.439
2003-05-01,1063.227
2003-06-01,940.269
2003-07-01,889.326
2003-08-01,885.307
2003-09-01,1007.07
2003-10-01,1103.905
2003-11-01,1121.827
2003-12-01,1093.532
2004-01-01,1010.709
2004-02-01,1093.26
2004-03-01,1107.924
2004-04-01,1105.806
2004-05-01,1071.102
2004-06-01,946.569
2004-07-01,893.019
2004-08-01,895.952
2004-09-01,1029.881
2004-10-01,1119.981
2004-11-01,1136.22
2004-12-01,1116.722
2005-01-01,1029.609
2005-02-01,1126.552
2005-03-01,1143.226
2005-04-01,1144.909
2005-05-01,1101.515
2005-06-01,967.587
2005-07-01,919.794
2005-08-01,924.302
2005-09-01,1067.626
2005-10-01,1160.442
2005-11-01,1181.405
2005-12-01,1157.781
2006-01-01,1066.268
2006-02-01,1162.125
2006-03-01,1180.645
2006-04-01,1184.338
2006-05-01,1132.146
2006-06-01,990.506
2006-07-01,943.093
2006-08-01,947.003
2006-09-01,1094.346
2006-10-01,1175.594
2006-11-01,1189.443
2006-12-01,1168.099
2007-01-01,1066.377
2007-02-01,1177.169
2007-03-01,1197.101
2007-04-01,1202.695
2007-05-01,1162.451
2007-06-01,1034.062
2007-07-01,1001.259
2007-08-01,1013.859
2007-09-01,1158.324
2007-10-01,1244.84
2007-11-01,1263.685
2007-12-01,1248.044
2008-01-01,1161.093
2008-02-01,1259.829
2008-03-01,1283.671
2008-04-01,1285.735
2008-05-01,1249.999
2008-06-01,1126.607
2008-07-01,1083.81
2008-08-01,1090.925
2008-09-01,1204.107
2008-10-01,1285.518
2008-11-01,1302.625
2008-12-01,1282.748
2009-01-01,1191.236
2009-02-01,1292.252
2009-03-01,1306.047
2009-04-01,1305.287
2009-05-01,1253.095
2009-06-01,1111.237
2009-07-01,1058.991
2009-08-01,1067.137
2009-09-01,1209.321
2009-10-01,1301.322
2009-11-01,1312.781
2009-12-01,1285.735
2010-01-01,1178.636
2010-02-01,1281.879
2010-03-01,1298.824
2010-04-01,1297.249
2010-05-01,1234.303
2010-06-01,1090.816
2010-07-01,1047.694
2010-08-01,1053.342
2010-09-01,1214.046
2010-10-01,1297.955
2010-11-01,1310.826
2010-12-01,1280.63
2011-01-01,1183.849
2011-02-01,1288.07
2011-03-01,1301.811
2011-04-01,1302.462
2011-05-01,1246.252
2011-06-01,1100.809
2011-07-01,1063.716
2011-08-01,1070.45
2011-09-01,1232.511
2011-10-01,1308.491
2011-11-01,1327.336
2011-12-01,1302.734
2012-01-01,1182.546
2012-02-01,1304.743
2012-03-01,1320.548
2012-04-01,1320.167
2012-05-01,1266.509
2012-06-01,1118.569
2012-07-01,1077.728
2012-08-01,1085.548
2012-09-01,1261.784
2012-10-01,1334.397
2012-11-01,1350.31
2012-12-01,1317.995
2013-01-01,1204.324
2013-02-01,1327.336
2013-03-01,1339.502
2013-04-01,1338.361
2013-05-01,1278.946
2013-06-01,1136.22
2013-07-01,1085.277
2013-08-01,1095.759
2013-09-01,1266.564
2013-10-01,1344.064
2013-11-01,1358.945
2013-12-01,1327.988
2014-01-01,1218.934
2014-02-01,1336.678
2014-03-01,1348.246
2014-04-01,1348.68
2014-05-01,1291.166
2014-06-01,1152.404
2014-07-01,1114.387
2014-08-01,1135.785
2014-09-01,1292.632
2014-10-01,1370.078
2014-11-01,1384.796
2014-12-01,1350.147
2015-01-01,1253.475
2015-02-01,1354.22
2015-03-01,1363.453
2015-04-01,1364.213
2015-05-01,1307.079
2015-06-01,1155.608
2015-07-01,1091.794
2015-08-01,1119.655
2015-09-01,1276.937
2015-10-01,1368.666
2015-11-01,1381.321
2015-12-01,1345.639
2016-01-01,1239.354
2016-02-01,1353.242
2016-03-01,1361.389
2016-04-01,1363.507
2016-05-01,1304.309
2016-06-01,1157.4
2016-07-01,1123.674
2016-08-01,1126.77
2016-09-01,1297.031
2016-10-01,1381.918
2016-11-01,1397.342
2016-12-01,1359.868
2017-01-01,1255.213
2017-02-01,1360.954
2017-03-01,1372.74
2017-04-01,1371.653
2017-05-01,1303.168
2017-06-01,1152.35
2017-07-01,1117.157
2017-08-01,1135.188
2017-09-01,1302.843
2017-10-01,1374.912
2017-11-01,1385.014
2017-12-01,1340.642
2018-01-01,1237.399
2018-02-01,1366.222
2018-03-01,1375.292
2018-04-01,1379.42
2018-05-01,1306.862
2018-06-01,1157.237
2018-07-01,1119.492
2018-08-01,1144.312
2018-09-01,1323.806
2018-10-01,1390.499
2018-11-01,1402.719
2018-12-01,1362.909
2019-01-01,1234.955
2019-02-01,1375.292
2019-03-01,1388.001
2019-04-01,1389.684
2019-05-01,1312.89
2019-06-01,1155.065
2019-07-01,1108.684
2019-08-01,1138.392
2019-09-01,1318.158
2019-10-01,1394.138
2019-11-01,1409.453
2019-12-01,1372.74
2020-01-01,1257.439
2020-02-01,1379.311
2020-03-01,1393.269
2020-04-01,1396.962
2020-05-01,1312.455
2020-06-01,1161.854
2020-07-01,1097.279
2020-08-01,1116.505
2020-09-01,1309.577
2020-10-01,1386.806
2020-11-01,1396.147
2020-12-01,1363.887
2021-01-01,1256.136
2021-02-01,1377.193
2021-03-01,1386.263
2021-04-01,1389.956
2021-05-01,1309.034
2021-06-01,1157.944
2021-07-01,1115.799
2021-08-01,1140.076
2021-09-01,1327.499
2021-10-01,1401.089
2021-11-01,1410.702
2021-12-01,1378.605
2022-01-01,1269.333
2022-02-01,1383.276
2022-03-01,1397.396
2022-04-01,1400.764
2022-05-01,1316.474
2022-06-01,1172.77
2022-07-01,1133.993
2022-08-01,1155.988
2022-09-01,1357.478
2022-10-01,1418.632
2022-11-01,1431.992
2022-12-01,1393.54
2023-01-01,1295.131
2023-02-01,1421.673
2023-03-01,1430.362
2023-04-01,1437.857
2023-05-01,1357.424
2023-06-01,1203.401
2023-07-01,1163.212
2023-08-01,1185.587
2023-09-01,1366.711
