ds,y
1981-10-01,133.522
1981-11-01,128.864
1981-12-01,135.074
1982-01-01,136.627
1982-02-01,138.956
1982-03-01,139.732
1982-04-01,141.285
1982-05-01,145.943
1982-06-01,159.916
1982-07-01,166.126
1982-08-01,169.231
1982-09-01,156.811
1982-10-01,146.719
1982-11-01,145.943
1982-12-01,152.153
1983-01-01,153.705
1983-02-01,156.811
1983-03-01,159.916
1983-04-01,159.139
1983-05-01,163.021
1983-06-01,178.547
1983-07-01,183.981
1983-08-01,185.533
1983-09-01,170.008
1983-10-01,156.811
1983-11-01,153.705
1983-12-01,160.692
1984-01-01,160.692
1984-02-01,163.021
1984-03-01,166.126
1984-04-01,167.679
1984-05-01,169.231
1984-06-01,180.876
1984-07-01,185.533
1984-08-01,187.086
1984-09-01,174.665
1984-10-01,164.573
1984-11-01,160.692
1984-12-01,165.35
1985-01-01,166.902
1985-02-01,169.231
1985-03-01,171.56
1985-04-01,172.336
1985-05-01,176.994
1985-06-01,191.744
1985-07-01,198.73
1985-08-01,201.059
1985-09-01,185.533
1985-10-01,176.218
1985-11-01,170.784
1985-12-01,176.218
1986-01-01,175.442
1986-02-01,176.994
1986-03-01,180.099
1986-04-01,182.428
1986-05-01,190.191
1986-06-01,204.941
1986-07-01,209.598
1986-08-01,210.375
1986-09-01,195.625
1986-10-01,185.533
1986-11-01,180.876
1986-12-01,186.31
1987-01-01,185.533
1987-02-01,188.638
1987-03-01,189.415
1987-04-01,190.967
1987-05-01,192.52
1987-06-01,208.822
1987-07-01,214.256
1987-08-01,215.032
1987-09-01,204.164
1987-10-01,193.296
1987-11-01,188.638
1987-12-01,193.296
1988-01-01,195.625
1988-02-01,195.625
1988-03-01,195.625
1988-04-01,195.625
1988-05-01,197.954
1988-06-01,214.256
1988-07-01,220.466
1988-08-01,220.466
1988-09-01,208.046
1988-10-01,197.178
1988-11-01,190.967
1988-12-01,197.954
1989-01-01,197.178
1989-02-01,199.507
1989-03-01,199.507
1989-04-01,201.835
1989-05-01,210.375
1989-06-01,227.453
1989-07-01,237.545
1989-08-01,241.426
1989-09-01,228.229
1989-10-01,210.375
1989-11-01,200.283
1989-12-01,207.269
1990-01-01,205.717
1990-02-01,205.717
1990-03-01,209.598
1990-04-01,211.927
1990-05-01,220.466
1990-06-01,263.162
1990-07-01,278.688
1990-08-01,271.702
1990-09-01,243.755
1990-10-01,218.137
1990-11-01,191.744
1990-12-01,191.744
1991-01-01,163.797
1991-02-01,163.797
1991-03-01,164.573
1991-04-01,176.994
1991-05-01,201.059
1991-06-01,229.782
1991-07-01,253.071
1991-08-01,256.952
1991-09-01,231.334
1991-10-01,201.059
1991-11-01,172.336
1991-12-01,166.126
1992-01-01,151.377
1992-02-01,160.692
1992-03-01,166.902
1992-04-01,187.862
1992-05-01,222.795
1992-06-01,259.281
1992-07-01,277.136
1992-08-01,268.596
1992-09-01,239.874
1992-10-01,205.717
1992-11-01,173.113
1992-12-01,166.902
1993-01-01,156.034
1993-02-01,158.363
1993-03-01,166.902
1993-04-01,187.086
1993-05-01,215.032
1993-06-01,260.057
1993-07-01,271.702
1993-08-01,280.241
1993-09-01,259.281
1993-10-01,209.598
1993-11-01,190.967
1993-12-01,180.099
1994-01-01,152.153
1994-02-01,157.587
1994-03-01,171.56
1994-04-01,196.401
1994-05-01,229.782
1994-06-01,281.017
1994-07-01,314.397
1994-08-01,305.082
1994-09-01,277.912
1994-10-01,230.558
1994-11-01,188.638
1994-12-01,177.77
1995-01-01,152.153
