ds,y
2001-01-01,0.609
2001-02-01,0.623
2001-03-01,0.739
2001-04-01,0.768
2001-05-01,0.84
2001-06-01,0.84
2001-07-01,0.898
2001-08-01,1.319
2001-09-01,1.101
2001-10-01,1.0
2001-11-01,0.913
2001-12-01,0.797
2002-01-01,0.667
2002-02-01,0.667
2002-03-01,0.84
2002-04-01,0.739
2002-05-01,0.913
2002-06-01,0.942
2002-07-01,1.174
2002-08-01,1.159
2002-09-01,1.145
2002-10-01,1.159
2002-11-01,0.942
2002-12-01,1.0
2003-01-01,0.884
2003-02-01,1.043
2003-03-01,1.101
2003-04-01,1.058
2003-05-01,1.174
2003-06-01,1.203
2003-07-01,1.188
2003-08-01,1.145
2003-09-01,1.058
2003-10-01,1.362
2003-11-01,1.261
2003-12-01,1.188
2004-01-01,1.0
2004-02-01,1.087
2004-03-01,1.116
2004-04-01,1.203
2004-05-01,1.159
2004-06-01,1.319
2004-07-01,1.608
2004-08-01,1.449
2004-09-01,1.333
2004-10-01,1.435
2004-11-01,1.362
2004-12-01,1.435
2005-01-01,1.101
2005-02-01,1.13
2005-03-01,1.333
2005-04-01,1.362
2005-05-01,1.449
2005-06-01,1.536
2005-07-01,1.797
2005-08-01,2.058
2005-09-01,1.913
2005-10-01,1.898
2005-11-01,1.565
2005-12-01,1.637
2006-01-01,1.072
2006-02-01,1.0
2006-03-01,1.333
2006-04-01,1.348
2006-05-01,1.565
2006-06-01,1.594
2006-07-01,1.492
2006-08-01,1.391
2006-09-01,1.275
2006-10-01,1.348
2006-11-01,1.246
2006-12-01,1.29
2007-01-01,0.898
2007-02-01,1.13
2007-03-01,1.13
2007-04-01,1.101
2007-05-01,1.188
2007-06-01,1.261
2007-07-01,1.536
2007-08-01,1.507
2007-09-01,1.319
2007-10-01,1.319
2007-11-01,1.275
2007-12-01,1.13
2008-01-01,0.913
2008-02-01,0.898
2008-03-01,1.217
2008-04-01,1.116
2008-05-01,1.174
2008-06-01,1.319
2008-07-01,1.478
2008-08-01,1.521
2008-09-01,1.174
2008-10-01,1.261
2008-11-01,1.29
2008-12-01,1.072
2009-01-01,1.0
2009-02-01,0.927
2009-03-01,1.101
2009-04-01,1.087
2009-05-01,1.159
2009-06-01,1.217
2009-07-01,1.42
2009-08-01,1.348
2009-09-01,1.203
2009-10-01,1.449
2009-11-01,1.435
2009-12-01,1.362
2010-01-01,1.188
2010-02-01,1.145
2010-03-01,1.203
2010-04-01,1.29
2010-05-01,1.362
2010-06-01,1.492
2010-07-01,1.637
2010-08-01,1.652
2010-09-01,1.362
2010-10-01,1.333
2010-11-01,1.275
2010-12-01,1.174
2011-01-01,1.058
2011-02-01,1.058
2011-03-01,1.116
2011-04-01,1.203
2011-05-01,1.333
2011-06-01,1.492
2011-07-01,1.826
2011-08-01,1.623
2011-09-01,1.666
2011-10-01,1.55
2011-11-01,1.594
2011-12-01,1.435
2012-01-01,1.391
2012-02-01,1.406
2012-03-01,1.507
2012-04-01,1.782
2012-05-01,1.637
2012-06-01,1.797
2012-07-01,1.985
2012-08-01,1.956
