ds,y
2002-01-01,436.786
2002-02-01,395.715
2002-03-01,412.587
2002-04-01,488.935
2002-05-01,524.894
2002-06-01,493.707
2002-07-01,463.031
2002-08-01,411.223
2002-09-01,484.504
2002-10-01,524.212
2002-11-01,573.463
2002-12-01,995.082
2003-01-01,430.14
2003-02-01,374.072
2003-03-01,440.706
2003-04-01,481.266
2003-05-01,536.141
2003-06-01,530.347
2003-07-01,443.433
2003-08-01,428.606
2003-09-01,496.433
2003-10-01,522.337
2003-11-01,575.168
2003-12-01,1042.8
2004-01-01,435.423
2004-02-01,387.876
2004-03-01,491.321
2004-04-01,478.88
2004-05-01,531.199
2004-06-01,538.186
2004-07-01,471.723
2004-08-01,459.452
2004-09-01,522.167
2004-10-01,541.254
2004-11-01,593.402
2004-12-01,1104.322
2005-01-01,445.307
2005-02-01,403.555
2005-03-01,481.266
2005-04-01,526.427
2005-05-01,540.231
2005-06-01,522.849
2005-07-01,535.8
2005-08-01,510.237
2005-09-01,499.16
2005-10-01,548.071
2005-11-01,630.554
2005-12-01,1130.396
2006-01-01,495.581
2006-02-01,434.571
2006-03-01,483.993
2006-04-01,514.498
2006-05-01,573.122
2006-06-01,535.46
2006-07-01,536.823
2006-08-01,517.225
2006-09-01,491.662
2006-10-01,545.685
2006-11-01,631.236
2006-12-01,1100.743
2007-01-01,485.527
2007-02-01,425.027
2007-03-01,485.697
2007-04-01,480.073
2007-05-01,575.168
2007-06-01,489.446
2007-07-01,581.814
2007-08-01,479.732
2007-09-01,546.367
2007-10-01,565.794
2007-11-01,651.175
2007-12-01,1121.875
2008-01-01,547.389
2008-02-01,404.066
2008-03-01,474.961
2008-04-01,559.659
2008-05-01,580.28
2008-06-01,475.642
2008-07-01,620.67
2008-08-01,496.774
2008-09-01,552.161
2008-10-01,588.631
2008-11-01,669.921
2008-12-01,1178.113
2009-01-01,577.213
2009-02-01,429.799
2009-03-01,516.373
2009-04-01,577.894
2009-05-01,594.766
2009-06-01,508.874
2009-07-01,626.805
2009-08-01,526.598
2009-09-01,584.029
2009-10-01,615.557
2009-11-01,713.378
2009-12-01,1249.69
2010-01-01,551.479
2010-02-01,471.382
2010-03-01,536.993
2010-04-01,598.345
2010-05-01,633.962
2010-06-01,696.336
2010-07-01,502.228
2010-08-01,603.116
2010-09-01,649.3
2010-10-01,638.564
2010-11-01,734.51
2010-12-01,1319.392
2011-01-01,579.598
2011-02-01,475.472
2011-03-01,590.676
2011-04-01,614.364
2011-05-01,687.133
2011-06-01,583.007
2011-07-01,662.082
2011-08-01,569.884
2011-09-01,605.673
2011-10-01,678.953
2011-11-01,797.736
2011-12-01,1372.904
2012-01-01,609.422
2012-02-01,506.318
2012-03-01,611.297
2012-04-01,634.985
2012-05-01,733.829
2012-06-01,663.275
2012-07-01,629.531
2012-08-01,639.927
2012-09-01,635.496
2012-10-01,726.5
2012-11-01,881.242
2012-12-01,1388.241
2013-01-01,642.824
2013-02-01,524.553
2013-03-01,635.667
2013-04-01,727.864
2013-05-01,724.115
2013-06-01,713.208
2013-07-01,677.249
2013-08-01,640.438
2013-09-01,718.32
2013-10-01,767.742
2013-11-01,897.261
2013-12-01,1436.981
2014-01-01,695.995
2014-02-01,576.872
2014-03-01,655.265
2014-04-01,739.452
2014-05-01,759.051
2014-06-01,804.042
2014-07-01,751.893
2014-08-01,682.021
2014-09-01,772.855
2014-10-01,788.533
2014-11-01,912.599
2014-12-01,1467.146
2015-01-01,723.774
2015-02-01,597.152
2015-03-01,764.163
2015-04-01,658.673
2015-05-01,734.34
2015-06-01,837.273
2015-07-01,726.16
2015-08-01,694.973
2015-09-01,742.69
2015-10-01,757.858
2015-11-01,894.875
2015-12-01,1456.068
2016-01-01,684.066
2016-02-01,581.643
2016-03-01,671.625
2016-04-01,768.935
2016-05-01,720.195
2016-06-01,815.119
2016-07-01,783.591
2016-08-01,687.815
2016-09-01,695.314
2016-10-01,757.858
2016-11-01,907.146
2016-12-01,1463.226
2017-01-01,706.902
2017-02-01,581.984
2017-03-01,740.304
2017-04-01,739.112
2017-05-01,762.459
2017-06-01,840.511
2017-07-01,811.199
2017-08-01,728.034
2017-09-01,757.858
2017-10-01,812.051
2017-11-01,942.593
2017-12-01,1537.7
2018-01-01,782.228
2018-02-01,628.339
2018-03-01,744.224
2018-04-01,792.964
2018-05-01,781.376
