ds,y
1982-01-01,35.374
1982-02-01,35.374
1982-03-01,40.308
1982-04-01,39.284
1982-05-01,42.077
1982-06-01,43.101
1982-07-01,44.962
1982-08-01,45.986
1982-09-01,43.938
1982-10-01,44.497
1982-11-01,45.614
1982-12-01,48.5
1983-01-01,41.704
1983-02-01,42.077
1983-03-01,45.707
1983-04-01,43.752
1983-05-01,44.683
1983-06-01,46.08
1983-07-01,47.848
1983-08-01,48.686
1983-09-01,45.614
1983-10-01,46.173
1983-11-01,42.914
1983-12-01,45.428
1984-01-01,39.843
1984-02-01,37.422
1984-03-01,40.587
1984-04-01,40.96
1984-05-01,41.704
1984-06-01,41.332
1984-07-01,45.149
1984-08-01,43.752
1984-09-01,43.101
1984-10-01,43.287
1984-11-01,39.749
1984-12-01,42.356
1985-01-01,38.446
1985-02-01,35.188
1985-03-01,37.608
1985-04-01,39.377
1985-05-01,41.332
1985-06-01,40.68
1985-07-01,43.938
1985-08-01,43.194
1985-09-01,40.215
1985-10-01,44.869
1985-11-01,40.122
1985-12-01,45.242
1986-01-01,39.005
1986-02-01,37.608
1986-03-01,42.635
1986-04-01,42.449
1986-05-01,46.359
1986-06-01,47.941
1986-07-01,52.317
1986-08-01,50.548
1986-09-01,49.152
1986-10-01,48.965
1986-11-01,46.173
1986-12-01,50.827
1987-01-01,43.38
1987-02-01,42.728
1987-03-01,47.476
1987-04-01,45.986
1987-05-01,49.058
1987-06-01,50.455
1987-07-01,52.223
1987-08-01,53.62
1987-09-01,50.641
1987-10-01,48.5
1987-11-01,47.01
1987-12-01,50.176
1988-01-01,44.497
1988-02-01,43.287
1988-03-01,49.431
1988-04-01,48.5
1988-05-01,50.641
1988-06-01,50.827
1988-07-01,52.689
1988-08-01,54.644
1988-09-01,50.734
1988-10-01,53.527
1988-11-01,52.037
1988-12-01,51.944
1989-01-01,48.5
1989-02-01,45.335
1989-03-01,52.689
1989-04-01,51.758
1989-05-01,56.319
1989-06-01,55.202
1989-07-01,57.437
1989-08-01,58.74
1989-09-01,53.992
1989-10-01,56.319
1989-11-01,53.247
1989-12-01,55.295
1990-01-01,50.827
1990-02-01,48.034
1990-03-01,54.271
1990-04-01,54.458
1990-05-01,57.25
1990-06-01,55.109
1990-07-01,62.277
1990-08-01,61.532
1990-09-01,56.971
1990-10-01,59.578
1990-11-01,55.389
1990-12-01,58.461
1991-01-01,54.365
1991-02-01,51.944
1991-03-01,55.389
1991-04-01,58.554
1991-05-01,60.043
1991-06-01,62.929
1991-07-01,68.7
1991-08-01,66.466
1991-09-01,65.07
1991-10-01,62.463
1991-11-01,58.833
1991-12-01,65.535
1992-01-01,53.713
1992-02-01,55.109
1992-03-01,62.184
1992-04-01,61.532
1992-05-01,63.86
1992-06-01,66.094
1992-07-01,68.514
1992-08-01,68.794
1992-09-01,65.722
1992-10-01,62.184
1992-11-01,58.088
1992-12-01,63.58
1993-01-01,56.04
1993-02-01,54.551
1993-03-01,60.415
1993-04-01,64.604
1993-05-01,67.397
1993-06-01,70.469
1993-07-01,74.565
1993-08-01,75.217
1993-09-01,71.307
1993-10-01,72.796
1993-11-01,71.493
1993-12-01,76.055
1994-01-01,67.025
1994-02-01,64.418
1994-03-01,73.169
1994-04-01,71.493
1994-05-01,78.009
1994-06-01,78.847
1994-07-01,85.364
1994-08-01,87.505
1994-09-01,81.64
1994-10-01,80.895
1994-11-01,79.964
1994-12-01,83.129
1995-01-01,74.286
1995-02-01,71.586
1995-03-01,78.196
1995-04-01,78.847
1995-05-01,86.574
1995-06-01,85.27
1995-07-01,95.883
1995-08-01,95.045
1995-09-01,88.994
1995-10-01,91.135
1995-11-01,86.294
1995-12-01,91.787
1996-01-01,83.781
1996-02-01,78.475
1996-03-01,89.459
1996-04-01,90.577
1996-05-01,91.973
1996-06-01,91.228
1996-07-01,100.165
1996-08-01,100.351
1996-09-01,94.579
1996-10-01,93.742
1996-11-01,86.574
1996-12-01,92.531
1997-01-01,82.85
1997-02-01,77.637
1997-03-01,87.505
1997-04-01,88.994
1997-05-01,91.042
1997-06-01,91.135
1997-07-01,103.051
1997-08-01,97.279
1997-09-01,90.39
1997-10-01,86.76
1997-11-01,80.802
1997-12-01,86.481
1998-01-01,82.664
1998-02-01,76.613
1998-03-01,85.643
1998-04-01,86.108
1998-05-01,88.715
1998-06-01,89.366
1998-07-01,99.234
1998-08-01,95.138
1998-09-01,91.88
1998-10-01,92.252
1998-11-01,85.27
1998-12-01,92.811
1999-01-01,83.129
1999-02-01,82.385
1999-03-01,89.739
1999-04-01,85.922
1999-05-01,92.438
1999-06-01,95.697
1999-07-01,104.819
1999-08-01,102.678
1999-09-01,96.348
1999-10-01,101.747
1999-11-01,94.3
1999-12-01,97.931
2000-01-01,92.159
2000-02-01,85.27
2000-03-01,97.372
2000-04-01,94.114
2000-05-01,100.072
2000-06-01,101.375
2000-07-01,119.714
2000-08-01,120.365
2000-09-01,112.267
2000-10-01,114.128
2000-11-01,108.45
2000-12-01,110.498
2001-01-01,103.982
2001-02-01,95.883
2001-03-01,107.891
2001-04-01,105.285
2001-05-01,113.477
2001-06-01,112.639
2001-07-01,122.972
2001-08-01,120.738
2001-09-01,113.104
2001-10-01,116.083
2001-11-01,110.498
2001-12-01,112.639
2002-01-01,104.075
2002-02-01,96.814
2002-03-01,108.264
2002-04-01,108.45
2002-05-01,113.477
2002-06-01,114.78
2002-07-01,126.789
2002-08-01,122.6
2002-09-01,113.57
2002-10-01,115.432
2002-11-01,108.357
2002-12-01,112.918
2003-01-01,104.633
2003-02-01,100.072
2003-03-01,109.474
2003-04-01,107.612
2003-05-01,111.801
2003-06-01,115.99
2003-07-01,126.23
2003-08-01,122.413
2003-09-01,117.852
2003-10-01,118.224
2003-11-01,112.918
2003-12-01,118.876
