ds,y
1988-10-01,7266.003
1988-11-01,7271.856
1988-12-01,7335.649
1989-01-01,7265.418
1989-02-01,7287.658
1989-03-01,7328.04
1989-04-01,7294.095
1989-05-01,7310.483
1989-06-01,7361.4
1989-07-01,7106.227
1989-08-01,7385.396
1989-09-01,7362.571
1989-10-01,7373.105
1989-11-01,7477.867
1989-12-01,7513.568
1990-01-01,7432.217
1990-02-01,7469.088
1990-03-01,7484.305
1990-04-01,7508.886
1990-05-01,7526.444
1990-06-01,7546.928
1990-07-01,6540.28
1990-08-01,7497.181
1990-09-01,7537.564
1990-10-01,7563.9
1990-11-01,7576.191
1990-12-01,7618.329
1991-01-01,7574.435
1991-02-01,7570.338
1991-03-01,7632.961
1991-04-01,7676.27
1991-05-01,7696.169
1991-06-01,7744.16
1991-07-01,7601.942
1991-08-01,7734.211
1991-09-01,7733.626
1991-10-01,7705.533
1991-11-01,7739.478
1991-12-01,7769.326
1992-01-01,7747.672
1992-02-01,7768.156
1992-03-01,7768.741
1992-04-01,7771.082
1992-05-01,7792.152
1992-06-01,7868.235
1992-07-01,7555.121
1992-08-01,7664.565
1992-09-01,7579.702
1992-10-01,7573.85
1992-11-01,7585.555
1992-12-01,7579.117
1993-01-01,7281.805
1993-02-01,7344.428
1993-03-01,7281.805
1993-04-01,7249.03
1993-05-01,7185.237
1993-06-01,7144.269
1993-07-01,6941.769
1993-08-01,7084.572
1993-09-01,7029.558
1993-10-01,6862.174
1993-11-01,6887.925
1993-12-01,6890.851
1994-01-01,6629.825
1994-02-01,6751.559
1994-03-01,6776.726
1994-04-01,6773.799
1994-05-01,6785.504
1994-06-01,6829.399
1994-07-01,6642.701
1994-08-01,6770.288
1994-09-01,6734.587
1994-10-01,6705.324
1994-11-01,6724.052
1994-12-01,6724.052
1995-01-01,6651.48
1995-02-01,6664.941
1995-03-01,6668.452
1995-04-01,6554.327
1995-05-01,6622.217
1995-06-01,6661.429
1995-07-01,6385.187
1995-08-01,6577.737
1995-09-01,6556.668
