ds,y
2013-01-01,13.423
2013-04-01,20.873
2013-07-01,29.911
2013-10-01,24.521
2014-01-01,16.168
2014-04-01,17.618
2014-07-01,60.006
2014-10-01,22.337
2015-01-01,10.36
2015-04-01,24.566
2015-07-01,34.874
2015-10-01,34.26
2016-01-01,5.527
2016-04-01,26.611
2016-07-01,31.505
2016-10-01,33.206
2017-01-01,12.339
2017-04-01,22.875
2017-07-01,34.418
2017-10-01,27.822
2018-01-01,11.631
2018-04-01,27.612
2018-07-01,27.503
2018-10-01,17.571
2019-01-01,15.349
2019-04-01,26.694
2019-07-01,25.283
2019-10-01,21.6
2020-01-01,14.769
2020-04-01,24.887
2020-07-01,23.479
2020-10-01,18.927
2021-01-01,11.926
2021-04-01,20.729
2021-07-01,27.705
2021-10-01,23.164
2022-01-01,9.714
2022-04-01,17.761
2022-07-01,26.785
2022-10-01,16.731
2023-01-01,6.764
2023-04-01,29.679
2023-07-01,38.752
2023-10-01,21.717
2024-01-01,10.707
2024-04-01,17.969
2024-07-01,40.176
2024-10-01,23.236
2025-01-01,9.139
2025-04-01,33.114
2025-07-01,38.534
2025-10-01,23.043
2026-01-01,6.846
2026-04-01,22.247
2026-07-01,20.417
2026-10-01,26.966
2027-01-01,9.304
2027-04-01,26.583
2027-07-01,18.305
2027-10-01,10.053
2028-01-01,11.775
2028-04-01,32.555
2028-07-01,31.915
2028-10-01,21.011
2029-01-01,12.604
2029-04-01,27.237
