ds,y
1990-10-01,472.371
1990-11-01,470.07
1990-12-01,466.947
1991-01-01,459.057
1991-02-01,460.701
1991-03-01,464.153
1991-04-01,469.248
1991-05-01,478.945
1991-06-01,484.369
1991-07-01,488.314
1991-08-01,489.628
1991-09-01,488.314
1991-10-01,488.149
1991-11-01,481.246
1991-12-01,477.63
1992-01-01,469.412
1992-02-01,471.056
1992-03-01,471.713
1992-04-01,480.26
1992-05-01,490.615
1992-06-01,497.682
1992-07-01,502.449
1992-08-01,505.571
1992-09-01,505.078
1992-10-01,504.585
1992-11-01,502.942
1992-12-01,502.284
1993-01-01,495.217
1993-02-01,495.545
1993-03-01,499.49
1993-04-01,505.243
1993-05-01,510.502
1993-06-01,517.405
1993-07-01,521.679
1993-08-01,521.679
1993-09-01,519.871
1993-10-01,516.419
1993-11-01,513.296
1993-12-01,507.872
1994-01-01,498.175
1994-02-01,494.066
1994-03-01,497.353
1994-04-01,508.694
1994-05-01,515.926
1994-06-01,520.199
1994-07-01,521.514
1994-08-01,525.623
1994-09-01,525.459
1994-10-01,526.445
1994-11-01,521.843
1994-12-01,516.09
1995-01-01,506.558
1995-02-01,508.037
1995-03-01,511.16
1995-04-01,514.94
1995-05-01,521.679
1995-06-01,530.061
1995-07-01,529.075
1995-08-01,527.924
1995-09-01,529.075
1995-10-01,529.239
1995-11-01,526.609
1995-12-01,523.322
1996-01-01,515.433
1996-02-01,516.748
1996-03-01,515.597
1996-04-01,520.364
1996-05-01,521.186
1996-06-01,529.897
1996-07-01,532.362
1996-08-01,532.198
1996-09-01,525.295
1996-10-01,526.774
1996-11-01,519.378
1996-12-01,523.322
1997-01-01,517.241
1997-02-01,513.954
1997-03-01,514.94
1997-04-01,528.91
1997-05-01,533.348
1997-06-01,535.321
1997-07-01,548.469
1997-08-01,536.8
1997-09-01,535.649
1997-10-01,530.718
1997-11-01,527.924
1997-12-01,529.897
1998-01-01,515.104
1998-02-01,518.391
1998-03-01,522.829
1998-04-01,534.006
1998-05-01,539.101
1998-06-01,551.263
1998-07-01,553.071
