ds,y
1994-01-01,16.111
1994-04-01,30.872
1994-07-01,46.484
1994-10-01,31.912
1995-01-01,9.535
1995-04-01,39.3
1995-07-01,41.64
1995-10-01,13.756
1996-01-01,9.336
1996-04-01,21.061
1996-07-01,30.479
1996-10-01,13.019
1997-01-01,14.863
1997-04-01,17.081
1997-07-01,40.149
1997-10-01,15.925
1998-01-01,10.363
1998-04-01,23.379
1998-07-01,64.838
1998-10-01,13.576
1999-01-01,15.771
1999-04-01,33.197
1999-07-01,45.914
1999-10-01,14.381
2000-01-01,16.993
2000-04-01,23.344
2000-07-01,52.158
2000-10-01,20.892
2001-01-01,12.489
2001-04-01,50.79
2001-07-01,67.227
2001-10-01,23.977
2002-01-01,17.386
2002-04-01,26.359
2002-07-01,53.26
2002-10-01,24.325
2003-01-01,14.781
2003-04-01,37.754
2003-07-01,53.982
2003-10-01,24.721
2004-01-01,11.545
2004-04-01,44.169
2004-07-01,46.635
2004-10-01,18.875
2005-01-01,8.693
2005-04-01,22.667
2005-07-01,37.284
2005-10-01,19.156
2006-01-01,13.29
2006-04-01,25.663
2006-07-01,46.263
2006-10-01,13.972
2007-01-01,12.966
2007-04-01,24.118
2007-07-01,44.019
2007-10-01,16.623
2008-01-01,15.0
2008-04-01,27.762
