ds,y
2009-01-01,20.236
2009-04-01,12.955
2009-07-01,5.292
2009-10-01,9.403
2010-01-01,14.633
2010-04-01,9.999
2010-07-01,5.486
2010-10-01,6.507
2011-01-01,12.438
2011-04-01,12.426
2011-07-01,6.051
2011-10-01,8.116
2012-01-01,13.356
2012-04-01,10.167
2012-07-01,16.507
2012-10-01,14.931
2013-01-01,11.682
2013-04-01,11.913
2013-07-01,15.378
2013-10-01,10.167
2014-01-01,11.949
2014-04-01,8.114
2014-07-01,7.398
2014-10-01,10.27
2015-01-01,19.363
2015-04-01,18.088
2015-07-01,7.607
2015-10-01,14.381
2016-01-01,12.029
2016-04-01,8.314
2016-07-01,5.788
2016-10-01,13.915
2017-01-01,11.871
2017-04-01,10.576
2017-07-01,10.014
2017-10-01,11.342
2018-01-01,10.804
2018-04-01,11.57
2018-07-01,6.717
2018-10-01,13.266
2019-01-01,11.752
2019-04-01,9.724
2019-07-01,7.516
2019-10-01,8.641
2020-01-01,13.692
2020-04-01,10.088
2020-07-01,6.522
2020-10-01,12.401
2021-01-01,11.576
2021-04-01,9.598
2021-07-01,5.734
2021-10-01,9.678
2022-01-01,18.662
2022-04-01,13.111
2022-07-01,8.047
2022-10-01,9.989
2023-01-01,9.133
2023-04-01,10.959
2023-07-01,9.104
2023-10-01,10.298
2024-01-01,11.95
2024-04-01,11.881
2024-07-01,5.623
2024-10-01,9.558
2025-01-01,11.604
2025-04-01,11.582
2025-07-01,6.356
2025-10-01,14.586
