ds,y
1987-01-01,210.11
1987-02-01,189.099
1987-03-01,213.472
1987-04-01,219.355
1987-05-01,226.919
1987-06-01,215.993
1987-07-01,205.908
1987-08-01,224.397
1987-09-01,230.281
1987-10-01,246.249
1987-11-01,250.451
1987-12-01,363.07
1988-01-01,257.175
1988-02-01,224.397
1988-03-01,240.366
1988-04-01,238.685
1988-05-01,237.004
1988-06-01,216.834
1988-07-01,237.004
1988-08-01,261.377
1988-09-01,256.334
1988-10-01,288.271
1988-11-01,294.154
1988-12-01,414.337
1989-01-01,252.972
1989-02-01,215.993
1989-03-01,269.781
1989-04-01,259.696
1989-05-01,262.217
1989-06-01,246.249
1989-07-01,257.175
1989-08-01,278.186
1989-09-01,288.271
1989-10-01,326.931
1989-11-01,340.378
1989-12-01,473.168
1990-01-01,320.208
1990-02-01,279.867
1990-03-01,280.707
1990-04-01,295.835
1990-05-01,297.516
1990-06-01,279.026
1990-07-01,298.356
1990-08-01,319.367
1990-09-01,342.059
1990-10-01,389.964
1990-11-01,373.155
1990-12-01,480.732
1991-01-01,309.282
1991-02-01,284.069
1991-03-01,308.441
1991-04-01,300.037
1991-05-01,279.867
1991-06-01,287.43
1991-07-01,333.655
1991-08-01,352.144
1991-09-01,387.443
1991-10-01,438.71
1991-11-01,449.635
1991-12-01,599.234
1992-01-01,404.252
1992-02-01,365.591
1992-03-01,392.485
1992-04-01,422.741
1992-05-01,427.784
1992-06-01,469.806
1992-07-01,394.166
1992-08-01,438.71
1992-09-01,441.231
1992-10-01,552.169
1992-11-01,563.935
1992-12-01,710.172
1993-01-01,486.615
1993-02-01,426.944
1993-03-01,519.392
1993-04-01,571.499
1993-05-01,624.447
1993-06-01,577.382
1993-07-01,544.605
1993-08-01,544.605
1993-09-01,623.606
1993-10-01,671.512
1993-11-01,706.81
1993-12-01,849.685
1994-01-01,640.415
1994-02-01,577.382
1994-03-01,615.202
1994-04-01,614.362
1994-05-01,605.957
1994-06-01,551.329
1994-07-01,530.318
1994-08-01,608.479
1994-09-01,595.872
1994-10-01,668.99
1994-11-01,711.012
1994-12-01,811.025
1995-01-01,552.169
1995-02-01,485.774
1995-03-01,532.839
1995-04-01,558.893
1995-05-01,577.382
1995-06-01,531.999
1995-07-01,554.69
1995-08-01,574.021
1995-09-01,623.606
1995-10-01,675.714
1995-11-01,676.554
1995-12-01,807.663
1996-01-01,619.404
1996-02-01,513.509
1996-03-01,580.744
1996-04-01,571.499
1996-05-01,544.605
1996-06-01,518.551
1996-07-01,529.477
1996-08-01,553.85
1996-09-01,579.063
1996-10-01,611.0
1996-11-01,578.223
1996-12-01,763.12
1997-01-01,584.106
1997-02-01,494.179
1997-03-01,528.637
1997-04-01,542.084
1997-05-01,542.084
1997-06-01,522.754
1997-07-01,478.21
1997-08-01,449.635
1997-09-01,452.997
1997-10-01,514.349
1997-11-01,535.36
1997-12-01,664.788
1998-01-01,500.902
1998-02-01,436.188
1998-03-01,479.051
1998-04-01,537.882
1998-05-01,519.392
1998-06-01,514.349
1998-07-01,556.371
1998-08-01,613.521
1998-09-01,612.681
1998-10-01,659.745
1998-11-01,650.501
1998-12-01,763.96
1999-01-01,643.777
1999-02-01,553.85
1999-03-01,623.606
1999-04-01,523.594
1999-05-01,540.403
1999-06-01,582.425
1999-07-01,558.052
1999-08-01,600.915
1999-09-01,611.0
1999-10-01,783.29
1999-11-01,752.194
1999-12-01,848.844
2000-01-01,769.843
2000-02-01,682.437
2000-03-01,657.224
2000-04-01,740.428
2000-05-01,768.162
2000-06-01,821.11
2000-07-01,834.557
2000-08-01,823.631
2000-09-01,818.589
2000-10-01,898.43
2000-11-01,847.164
2000-12-01,1045.507
2001-01-01,806.822
2001-02-01,655.543
2001-03-01,758.917
2001-04-01,743.789
2001-05-01,743.789
2001-06-01,706.81
2001-07-01,652.181
2001-08-01,675.714
2001-09-01,721.098
2001-10-01,829.514
2001-11-01,776.567
2001-12-01,853.887
2002-01-01,667.309
2002-02-01,591.67
2002-03-01,720.257
2002-04-01,784.131
2002-05-01,716.895
2002-06-01,658.905
2002-07-01,637.894
2002-08-01,642.937
2002-09-01,705.129
2002-10-01,853.047
2002-11-01,805.982
2002-12-01,853.047
2003-01-01,709.331
2003-02-01,625.287
2003-03-01,752.194
2003-04-01,663.948
2003-05-01,638.734
2003-06-01,648.82
2003-07-01,658.905
2003-08-01,698.406
2003-09-01,758.917
2003-10-01,793.375
2003-11-01,812.705
2003-12-01,900.952
2004-01-01,655.543
2004-02-01,583.265
2004-03-01,664.788
2004-04-01,579.063
2004-05-01,537.882
2004-06-01,535.36
