ds,y
1984-10-01,17855.646
1984-11-01,17929.847
1984-12-01,17983.858
1985-01-01,17952.452
1985-02-01,18024.237
1985-03-01,18086.704
1985-04-01,18154.002
1985-05-01,18233.552
1985-06-01,18322.421
1985-07-01,18390.927
1985-08-01,18393.861
1985-09-01,18420.09
1985-10-01,18493.428
1985-11-01,18557.275
1985-12-01,18610.251
1986-01-01,18565.04
1986-02-01,18610.769
1986-03-01,18707.23
1986-04-01,18778.669
1986-05-01,18851.835
1986-06-01,18969.866
1986-07-01,19033.713
1986-08-01,19052.867
1986-09-01,19074.955
1986-10-01,19148.466
1986-11-01,19220.078
1986-12-01,19284.96
1987-01-01,19249.758
1987-02-01,19336.211
1987-03-01,19430.083
1987-04-01,19463.042
1987-05-01,19521.023
1987-06-01,19616.966
1987-07-01,19601.09
1987-08-01,19625.249
1987-09-01,19691.167
1987-10-01,19750.527
1987-11-01,19832.666
1987-12-01,19889.783
1988-01-01,19794.703
1988-02-01,19901.172
1988-03-01,19996.77
1988-04-01,20038.53
1988-05-01,20127.744
1988-06-01,20189.865
1988-07-01,20211.09
1988-08-01,20205.913
1988-09-01,20242.841
1988-10-01,20343.961
1988-11-01,20425.582
1988-12-01,20460.439
1989-01-01,20424.719
1989-02-01,20486.151
1989-03-01,20577.78
1989-04-01,20641.11
1989-05-01,20733.429
1989-06-01,20782.436
1989-07-01,20833.341
1989-08-01,20812.462
1989-09-01,20836.447
1989-10-01,20934.634
1989-11-01,20988.645
1989-12-01,21046.626
1990-01-01,20968.801
1990-02-01,21022.64
1990-03-01,21102.19
1990-04-01,21160.515
1990-05-01,21242.309
1990-06-01,21319.443
1990-07-01,21394.852
1990-08-01,21322.031
1990-09-01,21368.277
1990-10-01,21463.185
1990-11-01,21525.134
1990-12-01,21573.106
1991-01-01,21495.109
1991-02-01,21576.73
1991-03-01,21663.7
1991-04-01,21719.092
1991-05-01,21751.015
1991-06-01,21807.615
1991-07-01,21820.557
1991-08-01,21782.594
1991-09-01,21818.141
1991-10-01,21891.307
1991-11-01,21967.406
1991-12-01,21997.086
1992-01-01,21933.756
1992-02-01,21978.795
1992-03-01,22053.686
1992-04-01,22077.499
1992-05-01,22133.581
1992-06-01,22188.11
1992-07-01,22153.425
1992-08-01,22178.101
1992-09-01,22274.908
1992-10-01,22367.745
1992-11-01,22457.131
1992-12-01,22521.496
1993-01-01,22488.709
1993-02-01,22589.139
1993-03-01,22695.609
1993-04-01,22766.186
1993-05-01,22860.231
1993-06-01,22974.466
1993-07-01,22984.474
1993-08-01,23049.875
1993-09-01,23104.058
1993-10-01,23226.749
1993-11-01,23326.316
1993-12-01,23399.309
1994-01-01,23352.545
1994-02-01,23424.157
1994-03-01,23520.618
1994-04-01,23592.403
1994-05-01,23654.352
1994-06-01,23754.61
1994-07-01,23740.632
1994-08-01,23797.232
1994-09-01,23844.686
1994-10-01,23967.376
1994-11-01,24074.536
1994-12-01,24109.393
1995-01-01,24073.673
1995-02-01,24141.662
1995-03-01,24239.848
1995-04-01,24333.031
1995-05-01,24397.568
1995-06-01,24460.898
1995-07-01,24388.422
1995-08-01,24415.687
1995-09-01,24437.775
1995-10-01,24579.274
1995-11-01,24636.736
1995-12-01,24687.642
1996-01-01,24610.335
1996-02-01,24651.059
1996-03-01,24769.953
1996-04-01,24873.661
1996-05-01,24940.96
1996-06-01,25004.634
1996-07-01,24988.241
1996-08-01,25012.745
1996-09-01,25028.275
1996-10-01,25168.566
1996-11-01,25251.74
1996-12-01,25288.323
1997-01-01,25204.631
1997-02-01,25260.541
1997-03-01,25344.577
1997-04-01,25445.525
1997-05-01,25544.402
1997-06-01,25656.566
1997-07-01,25648.11
1997-08-01,25695.564
1997-09-01,25733.183
1997-10-01,25844.656
1997-11-01,25949.745
1997-12-01,25975.284
1998-01-01,25936.458
1998-02-01,26005.655
1998-03-01,26112.642
1998-04-01,26174.764
1998-05-01,26256.902
1998-06-01,26344.908
1998-07-01,26298.834
1998-08-01,26358.367
1998-09-01,26408.065
1998-10-01,26548.701
1998-11-01,26660.347
1998-12-01,26744.902
1999-01-01,26677.776
1999-02-01,26755.946
1999-03-01,26865.694
1999-04-01,26982.344
1999-05-01,27085.363
1999-06-01,27192.177
1999-07-01,27163.015
1999-08-01,27255.162
1999-09-01,27296.576
