ds,y
1984-01-01,107.08
1984-02-01,96.435
1984-03-01,94.713
1984-04-01,85.32
1984-05-01,94.869
1984-06-01,91.738
1984-07-01,97.687
1984-08-01,93.773
1984-09-01,97.844
1984-10-01,87.825
1984-11-01,95.026
1984-12-01,121.013
1985-01-01,95.809
1985-02-01,83.911
1985-03-01,81.563
1985-04-01,75.144
1985-05-01,76.553
1985-06-01,76.24
1985-07-01,71.7
1985-08-01,68.725
1985-09-01,61.211
1985-10-01,61.211
1985-11-01,61.054
1985-12-01,73.578
1986-01-01,72.483
1986-02-01,64.029
1986-03-01,61.368
1986-04-01,65.438
1986-05-01,67.63
1986-06-01,64.029
1986-07-01,70.604
1986-08-01,72.639
1986-09-01,68.882
1986-10-01,71.387
1986-11-01,67.786
1986-12-01,79.684
1987-01-01,72.17
1987-02-01,64.812
1987-03-01,65.125
1987-04-01,72.326
1987-05-01,76.083
1987-06-01,76.396
1987-07-01,75.77
1987-08-01,74.831
1987-09-01,74.518
1987-10-01,81.093
1987-11-01,79.371
1987-12-01,94.556
1988-01-01,88.607
1988-02-01,79.997
1988-03-01,89.703
1988-04-01,79.371
1988-05-01,85.007
1988-06-01,78.118
1988-07-01,94.556
1988-08-01,92.364
1988-09-01,91.738
1988-10-01,95.496
1988-11-01,98.313
1988-12-01,116.943
1989-01-01,90.956
1989-02-01,100.975
1989-03-01,95.182
1989-04-01,77.023
1989-05-01,76.709
1989-06-01,74.831
1989-07-01,78.118
1989-08-01,75.457
1989-09-01,73.109
1989-10-01,86.885
1989-11-01,86.416
1989-12-01,102.853
1990-01-01,86.259
1990-02-01,78.432
1990-03-01,85.633
1990-04-01,69.508
1990-05-01,72.796
1990-06-01,66.534
1990-07-01,67.003
1990-08-01,68.412
1990-09-01,62.307
1990-10-01,68.256
1990-11-01,69.039
1990-12-01,84.224
1991-01-01,83.754
1991-02-01,74.674
1991-03-01,76.866
1991-04-01,75.927
1991-05-01,76.709
1991-06-01,71.856
1991-07-01,80.78
1991-08-01,91.269
1991-09-01,91.269
1991-10-01,89.703
1991-11-01,87.198
1991-12-01,110.211
1992-01-01,92.521
1992-02-01,72.639
1992-03-01,74.987
1992-04-01,73.735
1992-05-01,79.84
1992-06-01,81.093
1992-07-01,99.566
1992-08-01,102.54
1992-09-01,103.636
1992-10-01,114.282
1992-11-01,114.438
1992-12-01,149.505
1993-01-01,118.665
1993-02-01,102.384
1993-03-01,102.853
1993-04-01,109.742
1993-05-01,114.595
1993-06-01,113.812
1993-07-01,125.397
1993-08-01,123.831
1993-09-01,119.448
1993-10-01,122.266
1993-11-01,120.387
1993-12-01,161.246
1994-01-01,133.224
1994-02-01,124.457
1994-03-01,122.579
1994-04-01,123.048
1994-05-01,127.588
1994-06-01,120.23
1994-07-01,127.119
1994-08-01,130.406
1994-09-01,129.31
1994-10-01,118.352
1994-11-01,124.301
1994-12-01,152.636
1995-01-01,121.013
1995-02-01,110.681
1995-03-01,109.115
1995-04-01,109.272
1995-05-01,108.176
1995-06-01,107.863
1995-07-01,113.342
1995-08-01,116.786
1995-09-01,115.534
1995-10-01,129.31
1995-11-01,138.077
1995-12-01,173.77
1996-01-01,120.544
1996-02-01,117.099
1996-03-01,121.796
1996-04-01,118.352
1996-05-01,127.901
1996-06-01,124.144
1996-07-01,129.154
1996-08-01,123.048
1996-09-01,112.403
1996-10-01,142.93
1996-11-01,152.793
1996-12-01,176.588
1997-01-01,160.933
1997-02-01,156.237
1997-03-01,150.131
1997-04-01,145.905
1997-05-01,160.62
1997-06-01,149.818
1997-07-01,175.336
1997-08-01,174.71
1997-09-01,169.544
1997-10-01,174.084
1997-11-01,175.962
1997-12-01,227.467
1998-01-01,164.378
1998-02-01,150.758
1998-03-01,152.167
1998-04-01,132.754
1998-05-01,142.304
1998-06-01,139.799
1998-07-01,130.406
1998-08-01,129.154
1998-09-01,128.528
1998-10-01,144.026
1998-11-01,136.825
1998-12-01,187.077
1999-01-01,177.528
1999-02-01,141.521
1999-03-01,144.026
1999-04-01,126.962
1999-05-01,131.815
1999-06-01,123.988
1999-07-01,123.205
1999-08-01,128.997
1999-09-01,118.821
1999-10-01,123.988
1999-11-01,128.684
1999-12-01,169.544
2000-01-01,130.25
2000-02-01,114.438
2000-03-01,121.639
2000-04-01,111.933
2000-05-01,117.099
2000-06-01,103.323
2000-07-01,121.326
2000-08-01,125.866
2000-09-01,113.342
2000-10-01,107.237
2000-11-01,109.898
2000-12-01,142.774
2001-01-01,148.253
2001-02-01,134.163
2001-03-01,139.799
2001-04-01,124.927
2001-05-01,139.643
2001-06-01,127.901
2001-07-01,127.745
2001-08-01,131.502
2001-09-01,127.432
2001-10-01,127.745
2001-11-01,130.876
2001-12-01,153.106
2002-01-01,131.502
2002-02-01,116.63
2002-03-01,113.342
2002-04-01,114.125
2002-05-01,110.524
2002-06-01,111.307
2002-07-01,115.064
2002-08-01,116.16
2002-09-01,106.454
2002-10-01,107.08
2002-11-01,110.994
2002-12-01,143.869
2003-01-01,117.569
2003-02-01,102.54
2003-03-01,110.994
2003-04-01,91.112
2003-05-01,100.975
2003-06-01,93.46
2003-07-01,107.863
2003-08-01,124.457
2003-09-01,105.358
2003-10-01,114.908
2003-11-01,110.211
2003-12-01,134.32
2004-01-01,113.186
