ds,y
2009-01-01,1469.149
2009-04-01,1859.641
2009-07-01,1337.462
2009-10-01,1246.149
2010-01-01,1214.586
2010-04-01,1907.503
2010-07-01,2122.205
2010-10-01,989.594
2011-01-01,1819.824
2011-04-01,1418.023
2011-07-01,1982.839
2011-10-01,1217.26
2012-01-01,1889.972
2012-04-01,1781.343
2012-07-01,2153.932
2012-10-01,1125.819
2013-01-01,779.676
2013-04-01,1230.859
2013-07-01,2355.935
2013-10-01,1051.562
2014-01-01,1345.671
2014-04-01,1263.614
2014-07-01,2210.982
2014-10-01,1157.909
2015-01-01,1672.434
2015-04-01,1338.657
2015-07-01,2354.898
2015-10-01,861.263
2016-01-01,1440.962
2016-04-01,1470.038
2016-07-01,1723.833
2016-10-01,1139.578
2017-01-01,996.743
2017-04-01,1256.168
2017-07-01,1684.351
2017-10-01,1011.245
2018-01-01,1303.91
2018-04-01,1235.829
2018-07-01,1929.043
2018-10-01,930.604
2019-01-01,1492.897
2019-04-01,1759.045
2019-07-01,2334.543
2019-10-01,970.534
2020-01-01,1494.723
2020-04-01,1418.884
2020-07-01,1913.07
2020-10-01,1190.012
2021-01-01,1547.334
2021-04-01,1739.306
2021-07-01,2164.492
2021-10-01,1236.247
2022-01-01,1432.804
2022-04-01,1593.588
2022-07-01,2055.685
2022-10-01,1289.284
2023-01-01,1164.271
2023-04-01,1332.804
2023-07-01,1379.482
2023-10-01,1156.21
2024-01-01,1602.022
2024-04-01,1549.163
