ds,y
2007-01-01,15.597
2007-04-01,7.541
2007-07-01,14.596
2007-10-01,20.729
2008-01-01,19.033
2008-04-01,15.04
2008-07-01,9.088
2008-10-01,14.237
2009-01-01,15.673
2009-04-01,16.549
2009-07-01,20.775
2009-10-01,9.367
2010-01-01,9.225
2010-04-01,10.845
2010-07-01,12.987
2010-10-01,8.826
2011-01-01,10.031
2011-04-01,15.903
2011-07-01,14.601
2011-10-01,10.493
2012-01-01,9.234
2012-04-01,7.264
2012-07-01,13.208
2012-10-01,14.416
2013-01-01,9.395
2013-04-01,9.709
2013-07-01,8.179
2013-10-01,7.194
2014-01-01,8.979
2014-04-01,9.075
2014-07-01,9.544
2014-10-01,13.909
2015-01-01,9.58
2015-04-01,12.357
2015-07-01,10.835
2015-10-01,13.201
2016-01-01,14.679
2016-04-01,14.545
2016-07-01,12.177
2016-10-01,11.408
2017-01-01,7.799
2017-04-01,9.077
2017-07-01,8.438
2017-10-01,7.149
2018-01-01,6.044
2018-04-01,10.915
2018-07-01,7.721
2018-10-01,7.445
2019-01-01,12.157
2019-04-01,8.78
2019-07-01,12.973
2019-10-01,14.939
2020-01-01,8.399
2020-04-01,10.946
2020-07-01,8.107
2020-10-01,15.734
2021-01-01,16.64
2021-04-01,29.591
2021-07-01,11.448
2021-10-01,8.837
2022-01-01,7.973
2022-04-01,10.866
2022-07-01,13.995
2022-10-01,8.276
2023-01-01,9.077
2023-04-01,19.145
2023-07-01,8.861
2023-10-01,13.067
2024-01-01,8.346
2024-04-01,20.739
