ds,y
2002-01-01,702.25
2002-02-01,681.324
2002-03-01,697.384
2002-04-01,687.164
2002-05-01,702.25
2002-06-01,718.31
2002-07-01,784.983
2002-08-01,727.557
2002-09-01,725.123
2002-10-01,799.582
2002-11-01,795.689
2002-12-01,865.281
2003-01-01,710.524
2003-02-01,661.371
2003-03-01,690.571
2003-04-01,643.851
2003-05-01,690.084
2003-06-01,702.25
2003-07-01,734.37
2003-08-01,705.17
2003-09-01,688.137
2003-10-01,750.43
2003-11-01,720.257
2003-12-01,803.476
2004-01-01,670.617
2004-02-01,631.198
2004-03-01,672.564
2004-04-01,647.744
2004-05-01,715.877
2004-06-01,707.604
2004-07-01,791.309
2004-08-01,725.61
2004-09-01,715.877
2004-10-01,769.409
2004-11-01,840.462
2004-12-01,855.062
2005-01-01,731.45
2005-02-01,616.112
2005-03-01,727.07
2005-04-01,683.271
2005-05-01,775.736
2005-06-01,773.789
2005-07-01,813.209
2005-08-01,839.975
2005-09-01,906.161
2005-10-01,923.194
2005-11-01,913.947
2005-12-01,973.32
2006-01-01,856.035
2006-02-01,861.875
2006-03-01,922.221
2006-04-01,845.328
2006-05-01,934.387
2006-06-01,1187.937
2006-07-01,807.856
2006-08-01,910.054
2006-09-01,865.281
2006-10-01,904.701
2006-11-01,919.787
2006-12-01,1018.093
2007-01-01,811.262
2007-02-01,722.69
2007-03-01,820.022
2007-04-01,836.569
2007-05-01,873.068
2007-06-01,914.921
2007-07-01,895.941
2007-08-01,852.628
2007-09-01,838.029
2007-10-01,882.315
2007-11-01,902.754
2007-12-01,959.694
2008-01-01,857.982
2008-02-01,740.697
2008-03-01,813.696
2008-04-01,902.754
2008-05-01,928.061
2008-06-01,912.974
2008-07-01,1086.225
2008-08-01,1058.486
2008-09-01,1044.372
2008-10-01,1064.325
2008-11-01,1091.578
2008-12-01,1171.391
2009-01-01,969.913
2009-02-01,903.728
2009-03-01,986.46
2009-04-01,1016.146
2009-05-01,1076.492
2009-06-01,1085.252
2009-07-01,1111.045
2009-08-01,1085.738
2009-09-01,1116.885
2009-10-01,1153.871
2009-11-01,1173.824
2009-12-01,1257.043
2010-01-01,994.733
2010-02-01,923.194
2010-03-01,1032.693
2010-04-01,954.827
2010-05-01,1059.945
2010-06-01,1043.886
2010-07-01,1084.278
2010-08-01,1018.093
2010-09-01,1070.652
2010-10-01,1121.265
2010-11-01,1155.818
2010-12-01,1262.396
2011-01-01,1111.045
2011-02-01,971.86
2011-03-01,975.753
2011-04-01,994.246
2011-05-01,1050.212
2011-06-01,1104.718
2011-07-01,1133.431
2011-08-01,1087.685
2011-09-01,1096.445
2011-10-01,1063.839
2011-11-01,1107.638
2011-12-01,1205.943
2012-01-01,1013.226
2012-02-01,885.235
2012-03-01,985.0
2012-04-01,989.38
2012-05-01,1054.106
2012-06-01,1063.839
2012-07-01,1095.472
2012-08-01,1073.572
2012-09-01,1090.118
2012-10-01,1139.271
2012-11-01,1149.978
2012-12-01,1259.963
2013-01-01,1082.332
2013-02-01,951.907
2013-03-01,1053.619
2013-04-01,1060.919
2013-05-01,1142.678
2013-06-01,1159.711
2013-07-01,1217.137
2013-08-01,1222.977
2013-09-01,1204.97
2013-10-01,1375.301
2013-11-01,1417.641
2013-12-01,1583.592
2014-01-01,1373.841
2014-02-01,1278.942
2014-03-01,1244.876
2014-04-01,1240.496
2014-05-01,1271.156
2014-06-01,1247.796
2014-07-01,1270.669
2014-08-01,1235.63
2014-09-01,1216.65
2014-10-01,1325.662
2014-11-01,1342.695
2014-12-01,1500.373
2015-01-01,1456.087
2015-02-01,1259.963
2015-03-01,1333.935
2015-04-01,1353.401
2015-05-01,1410.341
2015-06-01,1529.572
2015-07-01,1328.582
2015-08-01,1341.722
2015-09-01,1310.089
2015-10-01,1363.621
2015-11-01,1391.848
2015-12-01,1603.545
2016-01-01,1518.379
2016-02-01,1328.582
2016-03-01,1405.474
2016-04-01,1282.349
2016-05-01,1409.367
2016-06-01,1504.753
2016-07-01,1472.146
2016-08-01,1459.98
2016-09-01,1386.008
2016-10-01,1505.239
2016-11-01,1535.412
2016-12-01,1740.296
2017-01-01,1547.579
2017-02-01,1309.115
2017-03-01,1376.761
2017-04-01,1381.628
2017-05-01,1428.834
2017-06-01,1472.633
2017-07-01,1526.166
2017-08-01,1521.786
2017-09-01,1470.2
2017-10-01,1589.432
2017-11-01,1726.67
2017-12-01,1961.726
2018-01-01,1636.638
2018-02-01,1355.348
2018-03-01,1367.515
2018-04-01,1386.494
2018-05-01,1470.2
2018-06-01,1544.172
2018-07-01,1560.719
2018-08-01,1526.652
2018-09-01,1404.014
2018-10-01,1594.785
2018-11-01,1604.031
2018-12-01,1835.195
2019-01-01,1528.112
2019-02-01,1360.215
2019-03-01,1381.628
2019-04-01,1443.434
2019-05-01,1502.319
2019-06-01,1602.571
2019-07-01,1544.172
2019-08-01,1484.313
2019-09-01,1421.534
2019-10-01,1665.837
2019-11-01,1747.109
2019-12-01,2078.038
2020-01-01,1815.728
2020-02-01,1629.338
2020-03-01,1780.202
2020-04-01,1638.584
2020-05-01,1678.977
2020-06-01,1839.088
2020-07-01,1884.348
2020-08-01,1879.968
2020-09-01,1819.622
2020-10-01,1857.095
2020-11-01,2004.066
2020-12-01,2314.068
2021-01-01,1933.014
2021-02-01,1693.09
2021-03-01,1841.035
2021-04-01,1705.743
2021-05-01,1843.468
2021-06-01,2021.586
2021-07-01,1852.228
2021-08-01,1789.449
2021-09-01,1750.029
2021-10-01,1915.494
2021-11-01,2032.779
2021-12-01,2299.955
2022-01-01,1922.794
2022-02-01,1741.269
2022-03-01,1682.384
2022-04-01,1787.502
2022-05-01,1749.543
2022-06-01,1857.095
2022-07-01,1892.134
2022-08-01,1839.088
2022-09-01,1845.415
2022-10-01,1913.547
2022-11-01,2038.619
2022-12-01,2345.215
2023-01-01,1974.38
2023-02-01,1676.057
2023-03-01,1842.008
2023-04-01,1752.949
2023-05-01,1937.393
2023-06-01,2215.763
2023-07-01,2023.532
2023-08-01,2010.392
2023-09-01,1985.573
2023-10-01,2004.553
2023-11-01,2184.13
2023-12-01,2419.674
