ds,y
2016-01-01,38.959
2016-04-01,41.405
2016-07-01,27.83
2016-10-01,40.887
2017-01-01,55.259
2017-04-01,38.121
2017-07-01,38.476
2017-10-01,30.937
2018-01-01,51.598
2018-04-01,37.559
2018-07-01,37.238
2018-10-01,43.367
2019-01-01,60.13
2019-04-01,40.828
2019-07-01,31.424
2019-10-01,43.474
2020-01-01,57.043
2020-04-01,35.622
2020-07-01,24.754
2020-10-01,36.334
2021-01-01,57.164
2021-04-01,40.337
2021-07-01,28.532
2021-10-01,39.309
2022-01-01,58.211
2022-04-01,37.653
2022-07-01,31.154
2022-10-01,40.007
2023-01-01,60.497
2023-04-01,36.872
2023-07-01,35.113
2023-10-01,33.643
2024-01-01,48.674
2024-04-01,38.134
2024-07-01,27.929
2024-10-01,29.931
2025-01-01,42.427
2025-04-01,35.975
2025-07-01,24.013
2025-10-01,33.781
2026-01-01,50.086
2026-04-01,42.305
2026-07-01,25.461
2026-10-01,39.938
2027-01-01,52.068
2027-04-01,35.386
2027-07-01,26.592
2027-10-01,42.903
2028-01-01,58.58
2028-04-01,49.649
2028-07-01,34.893
2028-10-01,41.54
2029-01-01,85.648
2029-04-01,66.924
2029-07-01,41.83
2029-10-01,48.802
2030-01-01,76.748
2030-04-01,63.506
2030-07-01,46.964
2030-10-01,55.574
