ds,y
1982-01-01,36.295
1982-02-01,34.262
1982-03-01,36.533
1982-04-01,33.571
1982-05-01,36.182
1982-06-01,36.987
1982-07-01,36.822
1982-08-01,37.864
1982-09-01,37.596
1982-10-01,38.132
1982-11-01,40.485
1982-12-01,53.829
1983-01-01,38.948
1983-02-01,36.615
1983-03-01,41.136
1983-04-01,37.689
1983-05-01,41.455
1983-06-01,42.838
1983-07-01,41.373
1983-08-01,41.032
1983-09-01,41.569
1983-10-01,42.911
1983-11-01,44.613
1983-12-01,60.609
1984-01-01,41.383
1984-02-01,38.328
1984-03-01,41.652
1984-04-01,40.186
1984-05-01,43.602
1984-06-01,42.849
1984-07-01,44.706
1984-08-01,44.933
1984-09-01,41.259
1984-10-01,47.813
1984-11-01,49.453
1984-12-01,64.128
1985-01-01,48.102
1985-02-01,44.366
1985-03-01,44.861
1985-04-01,45.883
1985-05-01,46.337
1985-06-01,46.409
1985-07-01,46.791
1985-08-01,47.513
1985-09-01,46.646
1985-10-01,53.086
1985-11-01,53.416
1985-12-01,70.197
1986-01-01,46.461
1986-02-01,40.878
1986-03-01,44.118
1986-04-01,42.952
1986-05-01,44.768
1986-06-01,43.674
1986-07-01,46.11
1986-08-01,45.016
1986-09-01,47.431
1986-10-01,50.475
1986-11-01,48.968
1986-12-01,65.842
1987-01-01,48.731
1987-02-01,44.17
1987-03-01,47.833
1987-04-01,47.926
1987-05-01,49.484
1987-06-01,49.103
1987-07-01,49.897
1987-08-01,49.825
1987-09-01,51.703
1987-10-01,56.378
1987-11-01,58.422
1987-12-01,75.026
1988-01-01,53.107
1988-02-01,47.699
1988-03-01,50.64
1988-04-01,46.45
1988-05-01,51.879
1988-06-01,61.084
1988-07-01,46.44
1988-08-01,50.145
1988-09-01,50.558
1988-10-01,53.138
1988-11-01,58.133
1988-12-01,74.851
1989-01-01,54.913
1989-02-01,50.269
1989-03-01,54.438
1989-04-01,52.942
1989-05-01,57.524
1989-06-01,61.548
1989-07-01,61.693
1989-08-01,62.653
1989-09-01,61.951
1989-10-01,69.67
1989-11-01,71.064
1989-12-01,88.618
1990-01-01,68.339
1990-02-01,59.98
1990-03-01,65.326
1990-04-01,67.039
1990-05-01,69.185
1990-06-01,70.578
1990-07-01,67.441
1990-08-01,67.255
1990-09-01,65.16
1990-10-01,70.186
1990-11-01,73.478
1990-12-01,93.396
1991-01-01,67.823
1991-02-01,60.516
1991-03-01,66.481
1991-04-01,65.119
1991-05-01,70.042
1991-06-01,71.146
1991-07-01,71.941
1991-08-01,68.989
1991-09-01,70.836
1991-10-01,75.13
1991-11-01,75.677
1991-12-01,97.214
1992-01-01,75.47
1992-02-01,69.856
1992-03-01,74.345
1992-04-01,67.988
1992-05-01,68.587
1992-06-01,71.053
1992-07-01,71.28
1992-08-01,73.664
1992-09-01,73.53
1992-10-01,82.003
1992-11-01,83.169
1992-12-01,103.602
1993-01-01,77.276
1993-02-01,69.928
1993-03-01,74.005
1993-04-01,76.1
1993-05-01,80.352
1993-06-01,82.529
1993-07-01,76.678
1993-08-01,76.781
1993-09-01,77.204
1993-10-01,79.092
1993-11-01,82.663
1993-12-01,103.355
1994-01-01,77.658
1994-02-01,69.061
1994-03-01,76.42
1994-04-01,72.446
1994-05-01,77.379
1994-06-01,80.382
1994-07-01,79.939
1994-08-01,81.064
1994-09-01,81.662
1994-10-01,85.966
1994-11-01,88.04
1994-12-01,109.495
1995-01-01,84.51
1995-02-01,74.655
1995-03-01,81.26
1995-04-01,76.409
1995-05-01,81.518
1995-06-01,85.542
1995-07-01,84.025
1995-08-01,88.37
1995-09-01,86.853
1995-10-01,88.793
1995-11-01,94.314
1995-12-01,118.855
1996-01-01,91.043
1996-02-01,80.052
1996-03-01,80.929
1996-04-01,83.22
1996-05-01,86.358
1996-06-01,89.815
1996-07-01,85.976
1996-08-01,86.513
1996-09-01,82.529
1996-10-01,88.401
1996-11-01,88.938
1996-12-01,122.478
1997-01-01,84.48
1997-02-01,70.351
1997-03-01,80.114
1997-04-01,77.452
1997-05-01,80.052
1997-06-01,86.11
1997-07-01,83.871
1997-08-01,83.706
1997-09-01,83.076
1997-10-01,87.699
1997-11-01,92.56
1997-12-01,117.111
1998-01-01,88.236
1998-02-01,77.235
1998-03-01,84.087
1998-04-01,81.827
1998-05-01,84.851
1998-06-01,92.839
1998-07-01,89.516
1998-08-01,89.01
1998-09-01,90.042
1998-10-01,97.421
1998-11-01,101.208
1998-12-01,131.178
1999-01-01,87.503
1999-02-01,77.225
1999-03-01,86.987
1999-04-01,86.832
1999-05-01,88.866
1999-06-01,91.755
1999-07-01,90.857
1999-08-01,94.397
1999-09-01,95.161
1999-10-01,101.704
1999-11-01,104.48
1999-12-01,133.149
2000-01-01,94.129
2000-02-01,83.86
2000-03-01,92.199
2000-04-01,84.707
2000-05-01,88.638
2000-06-01,91.538
2000-07-01,95.728
2000-08-01,95.285
2000-09-01,93.592
2000-10-01,96.255
2000-11-01,100.961
2000-12-01,126.534
2001-01-01,96.874
2001-02-01,82.993
2001-03-01,88.184
2001-04-01,86.832
2001-05-01,89.289
2001-06-01,94.376
2001-07-01,96.647
2001-08-01,99.495
2001-09-01,97.111
2001-10-01,101.869
2001-11-01,106.348
2001-12-01,134.48
2002-01-01,98.123
2002-02-01,88.195
2002-03-01,96.059
2002-04-01,90.61
2002-05-01,93.406
2002-06-01,98.504
2002-07-01,98.071
2002-08-01,98.36
2002-09-01,104.892
