ds,y
1986-01-01,198.444
1986-04-01,135.599
1986-07-01,74.396
1986-10-01,88.243
1987-01-01,168.673
1987-04-01,168.51
1987-07-01,82.062
1987-10-01,110.063
1988-01-01,181.12
1988-04-01,137.872
1988-07-01,223.848
1988-10-01,202.477
1989-01-01,158.422
1989-04-01,161.556
1989-07-01,208.536
1989-10-01,137.873
1990-01-01,162.037
1990-04-01,110.033
1990-07-01,100.323
1990-10-01,139.27
1991-01-01,262.576
1991-04-01,245.293
1991-07-01,103.159
1991-10-01,195.018
1992-01-01,163.125
1992-04-01,112.745
1992-07-01,78.489
1992-10-01,188.697
1993-01-01,160.978
1993-04-01,143.427
1993-07-01,135.803
1993-10-01,153.804
1994-01-01,146.516
1994-04-01,156.901
1994-07-01,91.088
1994-10-01,179.901
1995-01-01,159.37
1995-04-01,131.871
1995-07-01,101.92
1995-10-01,117.177
1996-01-01,185.672
1996-04-01,136.805
1996-07-01,88.451
1996-10-01,168.171
1997-01-01,156.977
1997-04-01,130.153
1997-07-01,77.756
1997-10-01,131.242
1998-01-01,253.078
1998-04-01,177.802
1998-07-01,109.127
1998-10-01,135.463
1999-01-01,123.851
1999-04-01,148.612
1999-07-01,123.463
1999-10-01,139.645
2000-01-01,162.058
2000-04-01,161.116
2000-07-01,76.253
2000-10-01,129.616
2001-01-01,157.365
2001-04-01,157.057
