ds,y
1992-01-01,173.663
1992-04-01,96.549
1992-07-01,79.196
1992-10-01,96.024
1993-01-01,147.043
1993-04-01,94.576
1993-07-01,67.053
1993-10-01,73.483
1994-01-01,135.473
1994-04-01,99.03
1994-07-01,45.183
1994-10-01,99.465
1995-01-01,169.464
1995-04-01,98.205
1995-07-01,72.337
1995-10-01,97.113
1996-01-01,135.292
1996-04-01,125.958
1996-07-01,83.805
1996-10-01,90.476
1997-01-01,129.239
1997-04-01,73.646
1997-07-01,42.875
1997-10-01,94.423
1998-01-01,120.358
1998-04-01,110.622
1998-07-01,66.167
1998-10-01,119.348
1999-01-01,137.394
1999-04-01,82.477
1999-07-01,58.963
1999-10-01,108.153
2000-01-01,171.483
2000-04-01,87.348
2000-07-01,67.958
2000-10-01,117.856
2001-01-01,145.748
2001-04-01,83.919
2001-07-01,65.062
2001-10-01,92.543
2002-01-01,128.761
2002-04-01,118.669
2002-07-01,56.258
2002-10-01,114.217
2003-01-01,103.446
2003-04-01,107.804
2003-07-01,53.834
2003-10-01,87.076
2004-01-01,151.576
2004-04-01,85.462
2004-07-01,60.622
2004-10-01,139.795
2005-01-01,159.107
2005-04-01,114.492
2005-07-01,70.777
2005-10-01,70.046
2006-01-01,147.223
2006-04-01,104.113
2006-07-01,63.638
2006-10-01,87.929
2007-01-01,118.19
2007-04-01,101.602
2007-07-01,71.096
2007-10-01,139.837
