ds,y
1986-01-01,269.992
1986-02-01,231.422
1986-03-01,254.67
1986-04-01,235.649
1986-05-01,261.01
1986-06-01,257.84
1986-07-01,257.311
1986-08-01,271.577
1986-09-01,289.541
1986-10-01,295.353
1986-11-01,300.108
1986-12-01,405.252
1987-01-01,329.697
1987-02-01,280.559
1987-03-01,291.655
1987-04-01,282.144
1987-05-01,312.789
1987-06-01,286.371
1987-07-01,321.771
1987-08-01,291.126
1987-09-01,303.807
1987-10-01,322.828
1987-11-01,322.3
1987-12-01,448.049
1988-01-01,313.846
1988-02-01,274.219
1988-03-01,289.013
1988-04-01,304.335
1988-05-01,323.356
1988-06-01,318.073
1988-07-01,330.225
1988-08-01,296.938
1988-09-01,323.885
1988-10-01,348.189
1988-11-01,352.416
1988-12-01,498.772
1989-01-01,346.076
1989-02-01,286.899
1989-03-01,310.676
1989-04-01,325.47
1989-05-01,336.037
1989-06-01,331.81
1989-07-01,343.962
1989-08-01,339.735
1989-09-01,350.831
1989-10-01,341.849
1989-11-01,374.079
1989-12-01,503.527
1990-01-01,345.019
1990-02-01,302.75
1990-03-01,319.658
1990-04-01,345.019
1990-05-01,369.852
1990-06-01,379.891
1990-07-01,356.115
1990-08-01,368.267
1990-09-01,371.437
1990-10-01,411.592
1990-11-01,429.557
1990-12-01,584.895
1991-01-01,392.043
1991-02-01,331.81
1991-03-01,350.303
1991-04-01,347.661
1991-05-01,379.891
1991-06-01,373.551
1991-07-01,365.625
1991-08-01,354.001
1991-09-01,357.7
1991-10-01,389.401
1991-11-01,410.007
1991-12-01,585.423
1992-01-01,400.497
1992-02-01,339.207
1992-03-01,366.153
1992-04-01,345.019
1992-05-01,382.004
1992-06-01,367.21
1992-07-01,352.416
1992-08-01,348.718
1992-09-01,358.228
1992-10-01,412.649
1992-11-01,426.387
1992-12-01,600.745
1993-01-01,430.085
1993-02-01,334.452
1993-03-01,375.136
1993-04-01,399.969
1993-05-01,407.894
1993-06-01,401.025
1993-07-01,401.554
1993-08-01,396.798
1993-09-01,415.819
1993-10-01,444.351
1993-11-01,461.787
1993-12-01,655.695
1994-01-01,425.33
1994-02-01,359.813
