ds,y
2006-10-01,2692.141
2006-11-01,2681.051
2006-12-01,2675.564
2007-01-01,2672.412
2007-02-01,2672.762
2007-03-01,2667.976
2007-04-01,2670.661
2007-05-01,2670.311
2007-06-01,2683.736
2007-07-01,2673.579
2007-08-01,2661.905
2007-09-01,2643.11
2007-10-01,2607.388
2007-11-01,2585.324
2007-12-01,2581.822
2008-01-01,2606.104
2008-02-01,2606.804
2008-03-01,2606.337
2008-04-01,2597.348
2008-05-01,2591.978
2008-06-01,2598.632
2008-07-01,2570.031
2008-08-01,2561.976
2008-09-01,2549.602
2008-10-01,2515.864
2008-11-01,2489.48
2008-12-01,2486.212
2009-01-01,2470.919
2009-02-01,2472.553
2009-03-01,2474.538
2009-04-01,2480.492
2009-05-01,2477.806
2009-06-01,2492.049
2009-07-01,2463.564
2009-08-01,2455.626
2009-09-01,2434.613
2009-10-01,2419.203
2009-11-01,2380.912
2009-12-01,2378.928
2010-01-01,2365.619
2010-02-01,2372.274
2010-03-01,2372.624
2010-04-01,2368.655
2010-05-01,2361.533
2010-06-01,2371.223
2010-07-01,2358.265
2010-08-01,2352.311
2010-09-01,2337.602
2010-10-01,2306.432
2010-11-01,2295.575
2010-12-01,2292.307
2011-01-01,2284.368
2011-02-01,2286.703
2011-03-01,2290.906
2011-04-01,2300.128
2011-05-01,2292.657
2011-06-01,2303.864
2011-07-01,2247.945
2011-08-01,2241.291
2011-09-01,2225.064
2011-10-01,2243.042
2011-11-01,2234.287
2011-12-01,2229.384
2012-01-01,2198.798
2012-02-01,2200.782
2012-03-01,2201.366
2012-04-01,2198.097
2012-05-01,2216.309
2012-06-01,2211.99
2012-07-01,2228.216
2012-08-01,2223.78
2012-09-01,2206.853
2012-10-01,2206.503
2012-11-01,2204.752
2012-12-01,2197.514
2013-01-01,2165.177
2013-02-01,2179.653
2013-03-01,2179.886
2013-04-01,2195.179
2013-05-01,2195.412
2013-06-01,2203.701
2013-07-01,2214.441
2013-08-01,2214.675
2013-09-01,2201.133
2013-10-01,2201.366
2013-11-01,2189.108
2013-12-01,2190.159
2014-01-01,2190.159
2014-02-01,2216.192
2014-03-01,2323.243
2014-04-01,2359.199
2014-05-01,2764.286
2014-06-01,2503.139
2014-07-01,2428.075
2014-08-01,2324.877
2014-09-01,2184.322
2014-10-01,2171.597
2014-11-01,2166.578
2014-12-01,2172.298
2015-01-01,2172.765
2015-02-01,2165.877
2015-03-01,2176.384
2015-04-01,2187.124
2015-05-01,2205.102
2015-06-01,2245.611
2015-07-01,2254.133
2015-08-01,2248.996
2015-09-01,2219.928
2015-10-01,2213.974
2015-11-01,2205.802
2015-12-01,2194.829
2016-01-01,2196.113
2016-02-01,2198.681
2016-03-01,2202.767
2016-04-01,2215.025
2016-05-01,2230.551
2016-06-01,2254.249
2016-07-01,2267.791
2016-08-01,2271.644
2016-09-01,2268.141
2016-10-01,2281.333
2016-11-01,2282.267
2016-12-01,2282.15
2017-01-01,2272.111
2017-02-01,2282.15
2017-03-01,2289.622
2017-04-01,2271.527
2017-05-01,2284.252
2017-06-01,2296.626
2017-07-01,2304.448
2017-08-01,2294.058
2017-09-01,2281.8
2017-10-01,2267.324
2017-11-01,2248.412
2017-12-01,2258.102
2018-01-01,2237.089
2018-02-01,2247.245
2018-03-01,2250.63
2018-04-01,2288.104
2018-05-01,2272.578
2018-06-01,2293.708
2018-07-01,2299.895
2018-08-01,2295.809
2018-09-01,2288.221
2018-10-01,2274.562
2018-11-01,2270.71
2018-12-01,2263.939
2019-01-01,2255.534
2019-02-01,2262.888
2019-03-01,2271.177
2019-04-01,2280.633
2019-05-01,2285.769
2019-06-01,2307.483
2019-07-01,2308.65
2019-08-01,2304.564
2019-09-01,2296.276
2019-10-01,2288.804
2019-11-01,2286.937
2019-12-01,2270.36
2020-01-01,2259.386
2020-02-01,2268.375
2020-03-01,2273.278
2020-04-01,2282.267
2020-05-01,2292.073
2020-06-01,2319.04
2020-07-01,2323.476
2020-08-01,2316.705
2020-09-01,2307.133
2020-10-01,2291.606
2020-11-01,2284.835
2020-12-01,2275.379
2021-01-01,2268.725
2021-02-01,2273.628
2021-03-01,2278.765
