ds,y
1982-10-01,378.612
1982-11-01,376.3
1982-12-01,375.444
1983-01-01,374.074
1983-02-01,372.704
1983-03-01,374.588
1983-04-01,373.817
1983-05-01,375.101
1983-06-01,376.471
1983-07-01,370.05
1983-08-01,373.56
1983-09-01,373.303
1983-10-01,372.533
1983-11-01,372.276
1983-12-01,373.303
1984-01-01,370.478
1984-02-01,369.793
1984-03-01,369.108
1984-04-01,369.964
1984-05-01,368.937
1984-06-01,368.08
1984-07-01,359.861
1984-08-01,359.604
1984-09-01,361.145
1984-10-01,356.95
1984-11-01,354.981
1984-12-01,353.011
1985-01-01,349.758
1985-02-01,346.932
1985-03-01,345.305
1985-04-01,344.535
1985-05-01,342.394
1985-06-01,342.48
1985-07-01,337.0
1985-08-01,337.086
1985-09-01,336.144
1985-10-01,334.86
1985-11-01,332.462
1985-12-01,330.921
1986-01-01,325.784
1986-02-01,327.496
1986-03-01,327.753
1986-04-01,327.325
1986-05-01,326.812
1986-06-01,327.753
1986-07-01,323.472
1986-08-01,325.613
1986-09-01,323.13
1986-10-01,319.705
1986-11-01,317.393
1986-12-01,313.883
1987-01-01,308.574
1987-02-01,300.612
1987-03-01,301.468
1987-04-01,297.273
1987-05-01,293.591
1987-06-01,289.738
1987-07-01,282.032
1987-08-01,278.094
1987-09-01,274.755
1987-10-01,269.275
1987-11-01,263.881
1987-12-01,261.227
1988-01-01,255.319
1988-02-01,254.463
1988-03-01,254.291
1988-04-01,253.35
1988-05-01,252.408
1988-06-01,251.894
1988-07-01,248.897
1988-08-01,248.726
1988-09-01,247.099
1988-10-01,242.818
1988-11-01,241.192
1988-12-01,238.709
1989-01-01,237.681
1989-02-01,235.712
1989-03-01,235.113
1989-04-01,232.715
1989-05-01,229.29
1989-06-01,229.034
1989-07-01,219.615
1989-08-01,217.389
1989-09-01,217.132
1989-10-01,212.68
1989-11-01,211.139
1989-12-01,207.457
1990-01-01,205.83
1990-02-01,204.118
1990-03-01,206.515
1990-04-01,206.087
1990-05-01,205.745
1990-06-01,205.574
1990-07-01,202.663
1990-08-01,202.406
1990-09-01,201.978
1990-10-01,199.751
1990-11-01,197.953
1990-12-01,195.642
1991-01-01,191.789
1991-02-01,191.275
1991-03-01,191.703
1991-04-01,188.878
1991-05-01,189.477
1991-06-01,189.306
1991-07-01,185.624
1991-08-01,185.282
1991-09-01,184.425
1991-10-01,182.285
1991-11-01,179.288
1991-12-01,176.72
1992-01-01,176.035
1992-02-01,174.922
1992-03-01,173.723
1992-04-01,172.267
1992-05-01,171.411
1992-06-01,169.185
1992-07-01,165.932
1992-08-01,164.818
1992-09-01,161.051
1992-10-01,159.51
1992-11-01,158.226
1992-12-01,156.856
1993-01-01,152.66
1993-02-01,150.691
1993-03-01,150.349
1993-04-01,147.78
1993-05-01,147.352
1993-06-01,147.181
1993-07-01,143.242
1993-08-01,142.215
1993-09-01,141.53
1993-10-01,141.102
1993-11-01,140.845
1993-12-01,138.704
1994-01-01,137.42
1994-02-01,137.078
1994-03-01,135.879
1994-04-01,133.139
1994-05-01,132.882
1994-06-01,130.656
1994-07-01,127.317
1994-08-01,128.516
1994-09-01,127.403
1994-10-01,125.605
1994-11-01,120.81
1994-12-01,116.786
1995-01-01,114.902
1995-02-01,110.792
1995-03-01,109.508
1995-04-01,108.138
1995-05-01,107.71
1995-06-01,106.083
1995-07-01,103.086
1995-08-01,104.028
1995-09-01,103.429
1995-10-01,103.086
1995-11-01,103.857
1995-12-01,103.6
1996-01-01,100.86
1996-02-01,101.888
1996-03-01,101.802
1996-04-01,101.973
1996-05-01,102.658
1996-06-01,103.001
1996-07-01,102.059
1996-08-01,101.631
1996-09-01,101.545
1996-10-01,101.802
1996-11-01,101.888
1996-12-01,101.888
1997-01-01,101.117
1997-02-01,102.145
