ds,y
1987-10-01,2897.294
1987-11-01,2878.512
1987-12-01,2865.167
1988-01-01,2836.006
1988-02-01,2806.351
1988-03-01,2793.007
1988-04-01,2774.719
1988-05-01,2767.8
1988-06-01,2760.88
1988-07-01,2744.076
1988-08-01,2727.766
1988-09-01,2720.846
1988-10-01,2698.111
1988-11-01,2685.754
1988-12-01,2672.41
1989-01-01,2653.628
1989-02-01,2646.709
1989-03-01,2639.789
1989-04-01,2627.927
1989-05-01,2604.697
1989-06-01,2599.755
1989-07-01,2577.514
1989-08-01,2576.525
1989-09-01,2565.652
1989-10-01,2560.709
1989-11-01,2554.284
1989-12-01,2546.376
1990-01-01,2533.526
1990-02-01,2527.594
1990-03-01,2518.698
1990-04-01,2504.365
1990-05-01,2483.112
1990-06-01,2479.158
1990-07-01,2456.422
1990-08-01,2459.388
1990-09-01,2452.468
1990-10-01,2440.606
1990-11-01,2443.078
1990-12-01,2440.606
1991-01-01,2427.756
1991-02-01,2424.79
1991-03-01,2418.86
1991-04-01,2418.86
1991-05-01,2417.377
1991-06-01,2426.273
1991-07-01,2428.25
1991-08-01,2427.262
1991-09-01,2424.79
1991-10-01,2423.802
1991-11-01,2425.779
1991-12-01,2429.733
1992-01-01,2438.63
1992-02-01,2449.503
1992-03-01,2457.905
1992-04-01,2454.446
1992-05-01,2460.871
1992-06-01,2469.767
1992-07-01,2463.342
1992-08-01,2469.767
1992-09-01,2462.353
1992-10-01,2464.33
1992-11-01,2464.33
1992-12-01,2468.284
1993-01-01,2463.836
1993-02-01,2463.342
1993-03-01,2461.859
1993-04-01,2469.767
1993-05-01,2473.721
1993-06-01,2490.032
1993-07-01,2491.514
1993-08-01,2497.445
1993-09-01,2494.974
1993-10-01,2501.399
1993-11-01,2503.376
1993-12-01,2509.802
1994-01-01,2513.756
1994-02-01,2501.893
1994-03-01,2518.204
1994-04-01,2520.181
1994-05-01,2525.123
1994-06-01,2538.962
1994-07-01,2529.077
1994-08-01,2531.054
1994-09-01,2522.652
1994-10-01,2512.273
1994-11-01,2499.916
1994-12-01,2489.537
1995-01-01,2495.962
1995-02-01,2494.48
1995-03-01,2486.572
1995-04-01,2474.216
1995-05-01,2469.767
1995-06-01,2468.779
1995-07-01,2469.767
1995-08-01,2458.4
1995-09-01,2443.572
1995-10-01,2432.698
1995-11-01,2431.216
1995-12-01,2429.733
1996-01-01,2413.917
1996-02-01,2416.388
1996-03-01,2403.538
1996-04-01,2397.112
1996-05-01,2403.538
1996-06-01,2406.009
1996-07-01,2424.79
1996-08-01,2418.365
1996-09-01,2406.009
1996-10-01,2408.974
1996-11-01,2409.469
1996-12-01,2418.365
1997-01-01,2421.331
1997-02-01,2414.411
1997-03-01,2413.423
1997-04-01,2408.48
1997-05-01,2404.032
1997-06-01,2414.411
1997-07-01,2416.882
1997-08-01,2403.044
1997-09-01,2365.975
1997-10-01,2350.653
1997-11-01,2338.297
1997-12-01,2333.354
1998-01-01,2311.607
1998-02-01,2302.216
1998-03-01,2288.872
1998-04-01,2282.941
1998-05-01,2270.584
1998-06-01,2277.01
1998-07-01,2262.676
1998-08-01,2250.32
1998-09-01,2229.068
1998-10-01,2213.746
1998-11-01,2200.895
1998-12-01,2202.872
1999-01-01,2205.344
1999-02-01,2185.574
1999-03-01,2175.194
1999-04-01,2154.436
1999-05-01,2145.539
1999-06-01,2147.516
1999-07-01,2136.643
1999-08-01,2140.102
1999-09-01,2130.712
1999-10-01,2130.217
1999-11-01,2135.16
1999-12-01,2136.643
2000-01-01,2130.712
2000-02-01,2126.264
2000-03-01,2139.608
2000-04-01,2140.102
2000-05-01,2154.436
2000-06-01,2166.792
2000-07-01,2179.148
2000-08-01,2175.688
2000-09-01,2164.815
2000-10-01,2176.183
2000-11-01,2173.217
2000-12-01,2182.608
2001-01-01,2173.712
2001-02-01,2174.206
2001-03-01,2171.734
2001-04-01,2169.263
2001-05-01,2171.24
2001-06-01,2183.102
2001-07-01,2194.47
2001-08-01,2191.01
2001-09-01,2176.183
2001-10-01,2182.608
2001-11-01,2185.079
2001-12-01,2182.608
2002-01-01,2174.206
2002-02-01,2186.068
2002-03-01,2177.171
2002-04-01,2188.539
2002-05-01,2188.539
2002-06-01,2214.734
2002-07-01,2207.321
2002-08-01,2210.78
2002-09-01,2200.401
2002-10-01,2201.39
2002-11-01,2200.401
2002-12-01,2210.78
2003-01-01,2203.366
2003-02-01,2209.792
2003-03-01,2190.516
2003-04-01,2184.585
2003-05-01,2194.964
2003-06-01,2200.401
2003-07-01,2196.447
2003-08-01,2193.976
2003-09-01,2178.654
2003-10-01,2172.229
