ds,y
2003-01-01,58.209
2003-02-01,53.129
2003-03-01,58.645
2003-04-01,65.757
2003-05-01,66.701
2003-06-01,63.508
2003-07-01,65.757
2003-08-01,62.999
2003-09-01,58.354
2003-10-01,67.499
2003-11-01,76.644
2003-12-01,123.676
2004-01-01,57.556
2004-02-01,50.588
2004-03-01,60.024
2004-04-01,62.564
2004-05-01,69.822
2004-06-01,58.064
2004-07-01,71.056
2004-08-01,58.427
2004-09-01,61.548
2004-10-01,66.774
2004-11-01,76.644
2004-12-01,116.491
2005-01-01,68.08
2005-02-01,55.161
2005-03-01,56.903
2005-04-01,66.483
2005-05-01,62.854
2005-06-01,58.064
2005-07-01,69.895
2005-08-01,57.919
2005-09-01,59.951
2005-10-01,65.104
2005-11-01,73.378
2005-12-01,124.039
2006-01-01,56.612
2006-02-01,47.54
2006-03-01,60.532
2006-04-01,60.532
2006-05-01,64.306
2006-06-01,59.08
2006-07-01,67.136
2006-08-01,58.499
2006-09-01,63.362
2006-10-01,64.524
2006-11-01,77.878
2006-12-01,121.136
2007-01-01,58.209
2007-02-01,49.064
2007-03-01,58.79
2007-04-01,63.145
2007-05-01,66.846
2007-06-01,71.854
2007-07-01,55.887
2007-08-01,61.693
2007-09-01,64.016
2007-10-01,62.346
2007-11-01,78.386
2007-12-01,129.338
2008-01-01,57.411
2008-02-01,50.371
2008-03-01,65.612
2008-04-01,63.653
2008-05-01,67.79
2008-06-01,64.741
2008-07-01,67.79
2008-08-01,60.677
2008-09-01,60.314
2008-10-01,67.209
2008-11-01,83.83
2008-12-01,134.926
2009-01-01,63.58
2009-02-01,51.169
2009-03-01,66.991
2009-04-01,66.048
2009-05-01,72.507
2009-06-01,72.072
2009-07-01,68.007
2009-08-01,65.757
2009-09-01,64.524
2009-10-01,72.507
2009-11-01,93.048
2009-12-01,140.733
2010-01-01,67.862
2010-02-01,54.653
2010-03-01,69.895
2010-04-01,74.54
2010-05-01,77.007
2010-06-01,76.644
2010-07-01,75.774
2010-08-01,67.064
2010-09-01,69.749
2010-10-01,80.128
2010-11-01,94.789
2010-12-01,142.329
2011-01-01,73.233
2011-02-01,60.604
2011-03-01,70.548
2011-04-01,79.185
2011-05-01,78.386
2011-06-01,83.685
2011-07-01,80.927
2011-08-01,71.491
2011-09-01,77.443
2011-10-01,82.161
2011-11-01,91.088
2011-12-01,141.749
2012-01-01,78.314
2012-02-01,64.233
2012-03-01,78.096
2012-04-01,70.04
2012-05-01,75.701
2012-06-01,88.257
2012-07-01,80.491
2012-08-01,72.943
2012-09-01,74.83
2012-10-01,77.298
2012-11-01,92.104
2012-12-01,147.12
2013-01-01,71.128
2013-02-01,62.854
2013-03-01,72.072
2013-04-01,81.798
2013-05-01,78.314
2013-06-01,80.782
2013-07-01,83.612
2013-08-01,73.741
2013-09-01,70.983
2013-10-01,78.677
2013-11-01,94.572
2013-12-01,149.733
2014-01-01,75.193
2014-02-01,61.838
2014-03-01,80.273
2014-04-01,75.919
2014-05-01,84.773
2014-06-01,88.475
2014-07-01,85.644
2014-08-01,77.225
2014-09-01,76.644
2014-10-01,83.467
2014-11-01,101.104
2014-12-01,157.862
2015-01-01,83.177
2015-02-01,68.733
2015-03-01,79.403
2015-04-01,82.814
2015-05-01,84.556
2015-06-01,83.032
2015-07-01,97.548
2015-08-01,75.701
2015-09-01,79.548
2015-10-01,86.733
2015-11-01,98.564
2015-12-01,166.716
2016-01-01,87.677
2016-02-01,62.201
2016-03-01,83.975
2016-04-01,89.056
2016-05-01,92.394
2016-06-01,87.894
2016-07-01,95.37
2016-08-01,78.386
2016-09-01,79.62
2016-10-01,90.87
2016-11-01,105.023
2016-12-01,155.321
2017-01-01,90.652
2017-02-01,65.685
2017-03-01,83.177
2017-04-01,83.394
2017-05-01,84.701
2017-06-01,91.088
2017-07-01,96.459
2017-08-01,78.241
2017-09-01,80.201
2017-10-01,85.862
2017-11-01,99.435
2017-12-01,153.362
2018-01-01,83.032
2018-02-01,66.266
2018-03-01,83.902
2018-04-01,83.467
2018-05-01,81.58
2018-06-01,84.846
2018-07-01,90.435
2018-08-01,74.612
2018-09-01,75.265
2018-10-01,78.894
2018-11-01,97.185
2018-12-01,154.16
2019-01-01,77.806
2019-02-01,65.903
2019-03-01,77.08
2019-04-01,79.403
2019-05-01,86.951
2019-06-01,92.83
2019-07-01,82.959
2019-08-01,78.096
2019-09-01,75.265
2019-10-01,80.201
2019-11-01,96.023
2019-12-01,152.999
2020-01-01,78.314
2020-02-01,62.637
2020-03-01,79.911
2020-04-01,75.991
2020-05-01,79.983
2020-06-01,87.386
2020-07-01,80.128
2020-08-01,73.524
2020-09-01,73.306
2020-10-01,79.257
2020-11-01,92.394
2020-12-01,148.281
2021-01-01,81.144
2021-02-01,58.354
2021-03-01,71.999
2021-04-01,78.532
2021-05-01,77.515
2021-06-01,81.362
2021-07-01,82.451
2021-08-01,67.499
2021-09-01,71.201
2021-10-01,79.257
2021-11-01,91.451
2021-12-01,144.725
2022-01-01,78.169
2022-02-01,56.83
2022-03-01,75.846
2022-04-01,79.911
2022-05-01,77.225
2022-06-01,80.201
2022-07-01,84.265
2022-08-01,70.33
2022-09-01,72.145
2022-10-01,82.233
2022-11-01,92.031
2022-12-01,151.91
2023-01-01,79.475
2023-02-01,61.185
2023-03-01,77.225
2023-04-01,78.024
2023-05-01,77.588
2023-06-01,84.556
2023-07-01,78.894
2023-08-01,67.209
2023-09-01,69.386
2023-10-01,76.79
2023-11-01,87.169
2023-12-01,145.813
2024-01-01,75.048
2024-02-01,56.758
2024-03-01,70.911
2024-04-01,80.927
2024-05-01,78.822
2024-06-01,80.927
2024-07-01,77.08
2024-08-01,66.991
2024-09-01,67.79
2024-10-01,76.354
2024-11-01,89.419
2024-12-01,143.055
