ds,y
1978-01-01,105.261
1978-02-01,92.92
1978-03-01,95.098
1978-04-01,98.728
1978-05-01,79.853
1978-06-01,86.387
1978-07-01,82.757
1978-08-01,87.839
1978-09-01,87.113
1978-10-01,95.098
1978-11-01,94.372
1978-12-01,193.826
1979-01-01,95.098
1979-02-01,84.935
1979-03-01,89.291
1979-04-01,105.987
1979-05-01,95.824
1979-06-01,88.565
1979-07-01,96.55
1979-08-01,92.194
1979-09-01,100.906
1979-10-01,105.261
1979-11-01,108.165
1979-12-01,190.196
1980-01-01,92.194
1980-02-01,90.742
1980-03-01,104.535
1980-04-01,97.276
1980-05-01,90.017
1980-06-01,87.839
1980-07-01,92.92
1980-08-01,95.824
1980-09-01,106.713
1980-10-01,102.358
1980-11-01,113.247
1980-12-01,194.552
1981-01-01,87.839
1981-02-01,103.083
1981-03-01,98.002
1981-04-01,101.632
1981-05-01,104.535
1981-06-01,111.795
1981-07-01,100.906
1981-08-01,108.165
1981-09-01,115.424
1981-10-01,103.809
1981-11-01,123.41
1981-12-01,206.167
1982-01-01,82.757
1982-02-01,79.853
1982-03-01,84.935
1982-04-01,84.935
1982-05-01,85.661
1982-06-01,81.305
1982-07-01,85.661
1982-08-01,92.92
1982-09-01,86.387
1982-10-01,91.468
1982-11-01,98.002
1982-12-01,172.774
1983-01-01,90.017
1983-02-01,84.935
1983-03-01,90.742
1983-04-01,79.853
1983-05-01,87.113
1983-06-01,78.402
1983-07-01,84.935
1983-08-01,89.291
1983-09-01,90.742
1983-10-01,101.632
1983-11-01,111.795
1983-12-01,182.211
1984-01-01,96.55
1984-02-01,83.483
1984-03-01,91.468
1984-04-01,99.454
1984-05-01,98.728
1984-06-01,90.742
1984-07-01,99.454
1984-08-01,102.358
1984-09-01,105.987
1984-10-01,127.765
1984-11-01,123.41
1984-12-01,204.715
1985-01-01,124.862
1985-02-01,109.617
1985-03-01,124.136
1985-04-01,127.765
1985-05-01,124.136
1985-06-01,113.247
1985-07-01,126.314
1985-08-01,119.78
1985-09-01,135.025
1985-10-01,144.462
1985-11-01,143.01
1985-12-01,232.301
1986-01-01,122.684
1986-02-01,116.15
1986-03-01,126.314
1986-04-01,139.38
1986-05-01,121.958
1986-06-01,132.121
1986-07-01,129.943
1986-08-01,145.914
1986-09-01,153.173
1986-10-01,154.625
1986-11-01,179.307
1986-12-01,295.458
1987-01-01,158.255
1987-02-01,137.929
1987-03-01,159.707
1987-04-01,162.611
1987-05-01,164.062
1987-06-01,153.899
1987-07-01,155.351
1987-08-01,145.914
1987-09-01,156.803
1987-10-01,170.596
1987-11-01,188.744
1987-12-01,313.606
1988-01-01,179.307
1988-02-01,161.159
1988-03-01,196.73
1988-04-01,170.596
1988-05-01,181.485
1988-06-01,158.981
1988-07-01,155.351
1988-08-01,162.611
1988-09-01,156.803
1988-10-01,158.981
1988-11-01,177.855
1988-12-01,278.035
1989-01-01,166.24
1989-02-01,145.914
1989-03-01,154.625
1989-04-01,164.062
1989-05-01,156.077
1989-06-01,140.832
1989-07-01,141.558
1989-08-01,135.751
1989-09-01,137.203
1989-10-01,148.818
1989-11-01,164.062
1989-12-01,269.324
1990-01-01,161.159
1990-02-01,142.284
1990-03-01,153.173
1990-04-01,162.611
1990-05-01,150.996
1990-06-01,152.447
1990-07-01,170.596
1990-08-01,153.173
1990-09-01,165.514
1990-10-01,185.115
1990-11-01,185.841
1990-12-01,296.184
1991-01-01,150.996
1991-02-01,145.914
1991-03-01,177.855
1991-04-01,160.433
1991-05-01,154.625
1991-06-01,152.447
1991-07-01,152.447
1991-08-01,158.981
1991-09-01,174.226
1991-10-01,166.966
1991-11-01,175.677
1991-12-01,289.65
1992-01-01,163.336
1992-02-01,145.188
1992-03-01,169.144
1992-04-01,164.788
1992-05-01,151.721
1992-06-01,149.544
1992-07-01,172.774
1992-08-01,179.307
1992-09-01,190.196
1992-10-01,189.47
1992-11-01,209.071
1992-12-01,334.658
1993-01-01,191.648
1993-02-01,181.485
1993-03-01,203.989
1993-04-01,196.004
1993-05-01,183.663
1993-06-01,185.841
1993-07-01,191.648
1993-08-01,214.878
1993-09-01,221.412
1993-10-01,227.219
1993-11-01,243.916
1993-12-01,368.778
1994-01-01,255.531
1994-02-01,217.056
1994-03-01,246.82
1994-04-01,227.219
1994-05-01,231.575
1994-06-01,214.878
1994-07-01,219.96
1994-08-01,227.945
1994-09-01,235.205
1994-10-01,267.872
1994-11-01,284.568
1994-12-01,444.275
1995-01-01,302.717
1995-02-01,246.82
1995-03-01,270.05
1995-04-01,254.805
1995-05-01,245.368
1995-06-01,233.027
1995-07-01,245.368
1995-08-01,249.723
1995-09-01,254.805
1995-10-01,275.131
1995-11-01,304.169
1995-12-01,437.742
1996-01-01,307.073
1996-02-01,255.531
1996-03-01,290.376
1996-04-01,279.487
1996-05-01,267.872
1996-06-01,264.968
1996-07-01,288.198
1996-08-01,269.324
1996-09-01,296.909
1996-10-01,304.895
1996-11-01,325.221
1996-12-01,486.38
1997-01-01,301.991
1997-02-01,267.146
1997-03-01,295.458
1997-04-01,293.28
1997-05-01,264.242
1997-06-01,259.887
1997-07-01,275.857
1997-08-01,278.035
1997-09-01,282.391
1997-10-01,297.635
1997-11-01,332.481
1997-12-01,503.802
1998-01-01,308.524
1998-02-01,280.213
1998-03-01,308.524
1998-04-01,305.621
1998-05-01,283.843
1998-06-01,285.294
1998-07-01,291.828
1998-08-01,304.895
1998-09-01,309.976
1998-10-01,321.591
1998-11-01,364.422
1998-12-01,543.729
1999-01-01,301.265
1999-02-01,260.612
1999-03-01,313.606
1999-04-01,280.213
1999-05-01,278.035
1999-06-01,264.968
1999-07-01,288.924
1999-08-01,296.184
1999-09-01,296.909
1999-10-01,325.221
1999-11-01,351.355
1999-12-01,527.032
