ds,y
2002-01-01,1.116
2002-02-01,0.949
2002-03-01,1.081
2002-04-01,1.151
2002-05-01,1.151
2002-06-01,1.028
2002-07-01,1.099
2002-08-01,1.002
2002-09-01,1.002
2002-10-01,1.09
2002-11-01,1.072
2002-12-01,1.389
2003-01-01,1.011
2003-02-01,0.853
2003-03-01,0.967
2003-04-01,1.046
2003-05-01,1.055
2003-06-01,1.02
2003-07-01,1.002
2003-08-01,0.932
2003-09-01,1.064
2003-10-01,1.143
2003-11-01,1.072
2003-12-01,1.626
2004-01-01,1.099
2004-02-01,0.897
2004-03-01,1.072
2004-04-01,1.134
2004-05-01,1.108
2004-06-01,1.046
2004-07-01,1.011
2004-08-01,0.949
2004-09-01,1.055
2004-10-01,1.108
2004-11-01,1.143
2004-12-01,1.696
2005-01-01,1.108
2005-02-01,0.967
2005-03-01,1.064
2005-04-01,1.099
2005-05-01,1.116
2005-06-01,1.064
2005-07-01,1.09
2005-08-01,1.072
2005-09-01,1.16
2005-10-01,1.239
2005-11-01,1.248
2005-12-01,1.705
2006-01-01,1.081
2006-02-01,1.011
2006-03-01,1.231
2006-04-01,1.204
2006-05-01,1.248
2006-06-01,1.222
2006-07-01,1.125
2006-08-01,1.116
2006-09-01,1.16
2006-10-01,1.108
2006-11-01,1.116
2006-12-01,1.6
2007-01-01,1.055
2007-02-01,0.993
2007-03-01,1.037
2007-04-01,1.072
2007-05-01,1.178
2007-06-01,1.125
2007-07-01,1.055
2007-08-01,1.064
2007-09-01,1.037
2007-10-01,1.195
2007-11-01,1.239
2007-12-01,1.732
2008-01-01,1.187
2008-02-01,0.984
2008-03-01,1.134
2008-04-01,1.31
2008-05-01,1.327
2008-06-01,1.187
2008-07-01,1.248
2008-08-01,1.151
2008-09-01,1.178
2008-10-01,1.433
2008-11-01,1.38
2008-12-01,1.89
2009-01-01,1.433
2009-02-01,1.143
2009-03-01,1.354
2009-04-01,1.459
2009-05-01,1.415
2009-06-01,1.292
2009-07-01,1.477
2009-08-01,1.336
2009-09-01,1.398
2009-10-01,1.582
2009-11-01,1.486
2009-12-01,2.136
2010-01-01,1.406
2010-02-01,1.222
2010-03-01,1.468
2010-04-01,1.424
2010-05-01,1.45
2010-06-01,1.336
2010-07-01,1.486
2010-08-01,1.459
2010-09-01,1.503
2010-10-01,1.573
2010-11-01,1.653
2010-12-01,2.365
2011-01-01,1.521
2011-02-01,1.354
2011-03-01,1.512
2011-04-01,1.512
2011-05-01,1.749
2011-06-01,1.899
2011-07-01,1.494
2011-08-01,1.573
2011-09-01,1.732
2011-10-01,1.802
2011-11-01,2.03
2011-12-01,2.98
2012-01-01,1.907
2012-02-01,1.653
2012-03-01,2.03
2012-04-01,2.136
2012-05-01,2.277
2012-06-01,1.969
2012-07-01,2.057
2012-08-01,2.03
2012-09-01,2.145
2012-10-01,2.303
2012-11-01,2.4
2012-12-01,3.077
2013-01-01,2.321
2013-02-01,1.96
2013-03-01,2.277
2013-04-01,2.382
2013-05-01,2.444
2013-06-01,2.233
2013-07-01,2.233
2013-08-01,2.426
2013-09-01,2.479
2013-10-01,2.619
2013-11-01,2.839
2013-12-01,3.498
2014-01-01,2.558
2014-02-01,2.136
2014-03-01,2.382
2014-04-01,2.672
2014-05-01,2.883
2014-06-01,2.575
2014-07-01,2.532
2014-08-01,2.444
2014-09-01,2.558
2014-10-01,2.927
2014-11-01,3.129
2014-12-01,4.026
2015-01-01,2.918
2015-02-01,2.321
2015-03-01,2.725
2015-04-01,2.699
2015-05-01,2.725
2015-06-01,2.742
2015-07-01,2.716
2015-08-01,2.681
2015-09-01,2.83
2015-10-01,2.646
2015-11-01,2.769
2015-12-01,3.718
2016-01-01,2.435
2016-02-01,2.268
2016-03-01,2.303
2016-04-01,2.338
2016-05-01,2.435
2016-06-01,2.4
2016-07-01,2.523
2016-08-01,2.611
2016-09-01,2.611
2016-10-01,2.804
2016-11-01,2.997
2016-12-01,3.938
2017-01-01,2.54
2017-02-01,2.408
2017-03-01,2.663
2017-04-01,2.795
2017-05-01,2.707
2017-06-01,2.637
2017-07-01,2.628
2017-08-01,2.734
2017-09-01,2.681
2017-10-01,2.927
2017-11-01,3.015
2017-12-01,4.105
2018-01-01,2.549
2018-02-01,2.426
2018-03-01,2.637
2018-04-01,2.338
2018-05-01,2.575
2018-06-01,2.426
2018-07-01,2.532
2018-08-01,2.637
2018-09-01,2.567
2018-10-01,2.945
2018-11-01,3.191
2018-12-01,4.351
2019-01-01,2.901
2019-02-01,2.813
2019-03-01,2.655
2019-04-01,2.813
2019-05-01,2.989
2019-06-01,2.567
2019-07-01,2.778
2019-08-01,2.839
2019-09-01,2.786
2019-10-01,3.226
2019-11-01,3.419
2019-12-01,4.878
2020-01-01,2.927
2020-02-01,2.602
2020-03-01,2.962
2020-04-01,2.883
2020-05-01,3.235
2020-06-01,2.866
2020-07-01,2.822
2020-08-01,2.786
2020-09-01,2.874
2020-10-01,3.182
2020-11-01,3.34
2020-12-01,4.659
2021-01-01,2.742
2021-02-01,2.496
2021-03-01,2.751
2021-04-01,2.734
2021-05-01,3.077
2021-06-01,2.769
2021-07-01,2.707
2021-08-01,2.716
2021-09-01,2.892
2021-10-01,2.953
2021-11-01,3.112
2021-12-01,4.632
2022-01-01,2.751
2022-02-01,2.549
2022-03-01,2.971
2022-04-01,3.709
2022-05-01,4.052
2022-06-01,3.595
2022-07-01,3.639
2022-08-01,3.63
2022-09-01,3.604
2022-10-01,3.701
2022-11-01,3.78
2022-12-01,5.775
2023-01-01,3.428
2023-02-01,3.173
2023-03-01,3.507
2023-04-01,3.815
2023-05-01,3.947
2023-06-01,3.613
2023-07-01,3.437
2023-08-01,3.287
2023-09-01,3.34
2023-10-01,3.718
2023-11-01,3.621
2023-12-01,5.608
