ds,y
2001-10-01,733.448
2001-11-01,734.275
2001-12-01,732.621
2002-01-01,735.328
2002-02-01,743.752
2002-03-01,749.693
2002-04-01,751.273
2002-05-01,753.98
2002-06-01,757.816
2002-07-01,758.493
2002-08-01,755.936
2002-09-01,753.003
2002-10-01,750.746
2002-11-01,749.392
2002-12-01,747.587
2003-01-01,744.128
2003-02-01,749.016
2003-03-01,755.033
2003-04-01,760.373
2003-05-01,765.036
2003-06-01,773.084
2003-07-01,775.49
2003-08-01,779.777
2003-09-01,780.153
2003-10-01,783.312
2003-11-01,786.095
2003-12-01,786.02
2004-01-01,785.493
2004-02-01,795.496
2004-03-01,801.363
2004-04-01,803.995
2004-05-01,805.424
2004-06-01,813.246
2004-07-01,817.232
2004-08-01,820.315
2004-09-01,818.36
2004-10-01,822.271
2004-11-01,823.7
2004-12-01,829.942
2005-01-01,826.558
2005-02-01,836.862
2005-03-01,847.015
2005-04-01,849.798
2005-05-01,852.43
2005-06-01,858.748
2005-07-01,861.907
2005-08-01,862.96
2005-09-01,860.854
2005-10-01,862.884
2005-11-01,863.486
2005-12-01,864.689
2006-01-01,859.65
2006-02-01,868.299
2006-03-01,874.768
2006-04-01,878.002
2006-05-01,881.386
2006-06-01,882.89
2006-07-01,886.425
2006-08-01,883.868
2006-09-01,883.191
2006-10-01,884.695
2006-11-01,884.921
2006-12-01,885.447
2007-01-01,880.408
2007-02-01,882.063
2007-03-01,886.801
2007-04-01,887.403
2007-05-01,892.517
2007-06-01,899.136
2007-07-01,901.317
2007-08-01,901.918
2007-09-01,899.587
2007-10-01,900.264
2007-11-01,901.166
2007-12-01,900.565
2008-01-01,898.835
2008-02-01,905.98
2008-03-01,909.815
2008-04-01,915.983
2008-05-01,919.969
2008-06-01,924.105
2008-07-01,924.256
2008-08-01,923.428
2008-09-01,921.473
2008-10-01,927.415
2008-11-01,928.768
2008-12-01,928.618
2009-01-01,924.18
2009-02-01,930.498
2009-03-01,933.582
2009-04-01,933.732
2009-05-01,932.604
2009-06-01,934.484
2009-07-01,935.011
2009-08-01,935.462
2009-09-01,934.635
2009-10-01,938.094
2009-11-01,934.635
2009-12-01,937.718
2010-01-01,940.351
2010-02-01,941.704
2010-03-01,947.571
2010-04-01,950.278
2010-05-01,951.557
2010-06-01,950.504
2010-07-01,950.805
2010-08-01,945.991
2010-09-01,942.757
2010-10-01,940.351
2010-11-01,940.727
2010-12-01,937.643
2011-01-01,936.214
2011-02-01,939.523
2011-03-01,936.364
2011-04-01,941.028
2011-05-01,938.771
2011-06-01,945.465
2011-07-01,941.479
2011-08-01,938.47
2011-09-01,934.936
2011-10-01,934.033
2011-11-01,937.342
2011-12-01,929.52
2012-01-01,921.699
2012-02-01,924.481
2012-03-01,927.64
2012-04-01,930.573
2012-05-01,928.317
2012-06-01,935.913
2012-07-01,934.409
2012-08-01,934.936
2012-09-01,930.423
2012-10-01,926.437
2012-11-01,922.3
2012-12-01,915.983
2013-01-01,914.779
2013-02-01,915.005
2013-03-01,926.587
2013-04-01,927.038
2013-05-01,927.866
2013-06-01,929.746
2013-07-01,930.272
2013-08-01,925.835
2013-09-01,924.18
2013-10-01,924.933
2013-11-01,922.751
2013-12-01,921.473
2014-01-01,918.916
2014-02-01,925.685
2014-03-01,931.777
2014-04-01,933.431
2014-05-01,933.657
2014-06-01,940.501
2014-07-01,940.952
2014-08-01,932.679
2014-09-01,925.158
2014-10-01,921.473
2014-11-01,921.473
2014-12-01,929.144
2015-01-01,923.654
2015-02-01,929.22
2015-03-01,936.966
2015-04-01,942.457
2015-05-01,946.067
2015-06-01,949.902
2015-07-01,941.855
2015-08-01,943.359
2015-09-01,941.103
2015-10-01,939.975
2015-11-01,936.891
2015-12-01,936.515
2016-01-01,926.813
2016-02-01,933.281
2016-03-01,945.164
2016-04-01,948.849
2016-05-01,953.136
2016-06-01,957.273
2016-07-01,946.217
2016-08-01,947.721
2016-09-01,946.443
2016-10-01,940.576
2016-11-01,935.387
2016-12-01,931.025
2017-01-01,922.526
2017-02-01,928.693
2017-03-01,934.484
2017-04-01,939.523
2017-05-01,937.342
2017-06-01,938.997
2017-07-01,931.401
2017-08-01,921.172
