ds,y
2002-10-01,1091.148
2002-11-01,1107.511
2002-12-01,1136.886
2003-01-01,1080.149
2003-02-01,1100.939
2003-03-01,1086.319
2003-04-01,1106.304
2003-05-01,1143.861
2003-06-01,1137.422
2003-07-01,1135.142
2003-08-01,1134.874
2003-09-01,1130.314
2003-10-01,1135.545
2003-11-01,1158.347
2003-12-01,1188.258
2004-01-01,1116.498
2004-02-01,1142.117
2004-03-01,1122.534
2004-04-01,1139.837
2004-05-01,1180.344
2004-06-01,1182.624
2004-07-01,1184.904
2004-08-01,1181.954
2004-09-01,1178.064
2004-10-01,1190.538
2004-11-01,1211.194
2004-12-01,1241.373
2005-01-01,1171.491
2005-02-01,1200.732
2005-03-01,1183.027
2005-04-01,1194.83
2005-05-01,1233.191
2005-06-01,1236.41
2005-07-01,1231.984
2005-08-01,1237.081
2005-09-01,1224.205
2005-10-01,1237.215
2005-11-01,1256.262
2005-12-01,1292.074
2006-01-01,1226.753
2006-02-01,1247.811
2006-03-01,1223.936
2006-04-01,1249.555
2006-05-01,1283.892
2006-06-01,1282.015
2006-07-01,1287.514
2006-08-01,1286.843
2006-09-01,1276.381
2006-10-01,1282.283
2006-11-01,1306.426
2006-12-01,1341.837
2007-01-01,1273.698
2007-02-01,1291.135
2007-03-01,1274.369
2007-04-01,1299.451
2007-05-01,1337.813
2007-06-01,1331.911
2007-07-01,1332.984
2007-08-01,1333.923
2007-09-01,1325.875
2007-10-01,1333.923
2007-11-01,1349.214
2007-12-01,1377.515
2008-01-01,1315.279
2008-02-01,1329.094
2008-03-01,1310.584
2008-04-01,1326.948
2008-05-01,1365.712
2008-06-01,1361.285
2008-07-01,1358.603
2008-08-01,1361.285
2008-09-01,1351.494
2008-10-01,1354.445
2008-11-01,1372.418
2008-12-01,1402.061
2009-01-01,1339.02
2009-02-01,1350.018
2009-03-01,1326.68
2009-04-01,1323.327
2009-05-01,1343.58
2009-06-01,1330.704
2009-07-01,1324.131
2009-08-01,1320.912
2009-09-01,1313.669
2009-10-01,1319.571
2009-11-01,1338.886
2009-12-01,1357.261
2010-01-01,1282.417
2010-02-01,1286.977
2010-03-01,1266.992
2010-04-01,1268.602
2010-05-01,1291.27
2010-06-01,1293.147
2010-07-01,1284.965
2010-08-01,1282.685
2010-09-01,1277.857
2010-10-01,1286.173
2010-11-01,1301.732
2010-12-01,1320.376
2011-01-01,1247.275
2011-02-01,1251.165
2011-03-01,1231.582
2011-04-01,1235.74
2011-05-01,1254.652
2011-06-01,1251.835
2011-07-01,1245.263
2011-08-01,1240.434
2011-09-01,1237.752
2011-10-01,1249.957
2011-11-01,1260.017
2011-12-01,1275.04
2012-01-01,1215.352
2012-02-01,1212.401
2012-03-01,1201.537
2012-04-01,1211.865
2012-05-01,1229.167
2012-06-01,1233.996
2012-07-01,1230.374
2012-08-01,1225.412
2012-09-01,1214.95
2012-10-01,1232.386
2012-11-01,1239.629
2012-12-01,1255.725
2013-01-01,1194.159
2013-02-01,1200.329
2013-03-01,1181.417
2013-04-01,1194.025
2013-05-01,1213.742
2013-06-01,1220.851
2013-07-01,1207.438
2013-08-01,1213.474
2013-09-01,1202.341
2013-10-01,1207.17
2013-11-01,1214.547
2013-12-01,1234.264
2014-01-01,1175.918
2014-02-01,1178.332
2014-03-01,1170.955
2014-04-01,1172.699
2014-05-01,1190.94
2014-06-01,1184.502
2014-07-01,1178.064
2014-08-01,1178.6
2014-09-01,1169.479
2014-10-01,1179.137
2014-11-01,1190.94
2014-12-01,1211.194
2015-01-01,1146.812
2015-02-01,1149.896
2015-03-01,1141.983
2015-04-01,1141.58
2015-05-01,1164.248
2015-06-01,1167.87
2015-07-01,1165.59
2015-08-01,1157.944
2015-09-01,1164.383
2015-10-01,1164.785
2015-11-01,1172.564
2015-12-01,1190.672
2016-01-01,1136.483
2016-02-01,1130.314
2016-03-01,1118.778
2016-04-01,1124.009
2016-05-01,1137.02
2016-06-01,1136.886
2016-07-01,1133.13
2016-08-01,1123.607
2016-09-01,1126.558
2016-10-01,1137.691
