ds,y
1982-01-01,69.958
1982-02-01,61.263
1982-03-01,70.857
1982-04-01,56.266
1982-05-01,65.461
1982-06-01,68.159
1982-07-01,70.258
1982-08-01,66.86
1982-09-01,67.36
1982-10-01,69.059
1982-11-01,70.358
1982-12-01,77.453
1983-01-01,69.858
1983-02-01,60.464
1983-03-01,59.164
1983-04-01,59.564
1983-05-01,61.863
1983-06-01,57.965
1983-07-01,66.06
1983-08-01,57.665
1983-09-01,58.565
1983-10-01,72.157
1983-11-01,72.556
1983-12-01,79.352
1984-01-01,68.259
1984-02-01,60.863
1984-03-01,68.059
1984-04-01,67.859
1984-05-01,70.658
1984-06-01,73.056
1984-07-01,82.45
1984-08-01,78.953
1984-09-01,82.55
1984-10-01,81.851
1984-11-01,80.752
1984-12-01,88.847
1985-01-01,92.844
1985-02-01,81.351
1985-03-01,87.148
1985-04-01,83.95
1985-05-01,89.246
1985-06-01,91.245
1985-07-01,97.541
1985-08-01,92.345
1985-09-01,96.442
1985-10-01,95.942
1985-11-01,101.439
1985-12-01,109.134
1986-01-01,99.44
1986-02-01,81.651
1986-03-01,92.644
1986-04-01,85.649
1986-05-01,100.04
1986-06-01,131.721
1986-07-01,88.847
1986-08-01,92.444
1986-09-01,91.445
1986-10-01,93.344
1986-11-01,96.242
1986-12-01,100.939
1987-01-01,103.138
1987-02-01,82.051
1987-03-01,95.443
1987-04-01,93.244
1987-05-01,94.044
1987-06-01,103.338
1987-07-01,101.739
1987-08-01,98.541
1987-09-01,95.743
1987-10-01,109.035
1987-11-01,119.228
1987-12-01,129.922
1988-01-01,128.923
1988-02-01,95.842
1988-03-01,106.336
1988-04-01,102.838
1988-05-01,105.037
1988-06-01,107.535
1988-07-01,106.036
1988-08-01,105.836
1988-09-01,103.238
1988-10-01,118.029
1988-11-01,118.029
1988-12-01,123.826
1989-01-01,122.426
1989-02-01,101.639
1989-03-01,110.234
1989-04-01,107.435
1989-05-01,110.034
1989-06-01,120.728
1989-07-01,130.522
1989-08-01,121.327
1989-09-01,126.124
1989-10-01,129.122
1989-11-01,125.924
1989-12-01,133.02
1990-01-01,134.919
1990-02-01,110.634
1990-03-01,130.722
1990-04-01,127.923
1990-05-01,135.019
1990-06-01,138.117
1990-07-01,150.41
1990-08-01,139.216
1990-09-01,146.112
1990-10-01,143.814
1990-11-01,147.212
1990-12-01,145.213
1991-01-01,158.205
1991-02-01,124.026
1991-03-01,130.522
1991-04-01,137.517
1991-05-01,150.41
1991-06-01,145.613
1991-07-01,164.101
1991-08-01,159.304
1991-09-01,158.205
1991-10-01,152.209
1991-11-01,149.11
1991-12-01,167.699
1992-01-01,148.611
1992-02-01,130.022
1992-03-01,141.415
1992-04-01,132.42
1992-05-01,142.115
1992-06-01,155.307
1992-07-01,160.704
1992-08-01,159.804
1992-09-01,156.106
1992-10-01,173.996
1992-11-01,181.791
1992-12-01,209.274
1993-01-01,187.388
1993-02-01,163.902
1993-03-01,178.093
1993-04-01,172.197
1993-05-01,184.389
1993-06-01,197.382
1993-07-01,191.885
1993-08-01,190.386
1993-09-01,204.377
1993-10-01,231.761
1993-11-01,227.963
1993-12-01,236.358
1994-01-01,208.975
1994-02-01,180.791
1994-03-01,191.785
1994-04-01,180.092
1994-05-01,201.479
1994-06-01,192.285
1994-07-01,199.48
1994-08-01,192.085
1994-09-01,194.683
1994-10-01,205.477
1994-11-01,200.08
1994-12-01,220.767
1995-01-01,201.579
1995-02-01,158.605
1995-03-01,172.297
1995-04-01,167.0
1995-05-01,176.994
1995-06-01,186.088
1995-07-01,182.59
1995-08-01,176.394
1995-09-01,179.892
1995-10-01,192.285
1995-11-01,178.193
1995-12-01,209.174
1996-01-01,173.296
1996-02-01,153.308
1996-03-01,164.601
1996-04-01,163.302
1996-05-01,168.699
1996-06-01,191.185
1996-07-01,190.785
1996-08-01,183.69
1996-09-01,179.792
1996-10-01,175.794
1996-11-01,180.692
1996-12-01,210.274
1997-01-01,158.305
1997-02-01,161.503
1997-03-01,176.894
1997-04-01,177.493
1997-05-01,181.891
1997-06-01,195.183
1997-07-01,179.692
1997-08-01,183.49
1997-09-01,175.994
1997-10-01,171.397
1997-11-01,177.294
1997-12-01,208.775
1998-01-01,167.0
1998-02-01,147.012
1998-03-01,156.006
1998-04-01,149.51
1998-05-01,164.201
1998-06-01,183.79
1998-07-01,178.093
1998-08-01,172.696
1998-09-01,164.301
1998-10-01,177.394
1998-11-01,179.392
1998-12-01,201.479
1999-01-01,177.094
1999-02-01,161.403
1999-03-01,171.797
1999-04-01,164.201
1999-05-01,176.894
1999-06-01,179.592
1999-07-01,182.39
1999-08-01,179.892
1999-09-01,175.095
1999-10-01,184.789
1999-11-01,188.387
1999-12-01,217.569
2000-01-01,183.09
2000-02-01,159.404
2000-03-01,170.398
2000-04-01,162.702
2000-05-01,186.888
2000-06-01,202.179
2000-07-01,199.68
2000-08-01,184.189
2000-09-01,186.588
2000-10-01,200.68
2000-11-01,197.481
2000-12-01,226.864
2001-01-01,204.977
2001-02-01,174.595
2001-03-01,196.682
2001-04-01,193.184
2001-05-01,212.372
2001-06-01,224.465
2001-07-01,231.561
2001-08-01,205.077
2001-09-01,199.28
2001-10-01,220.468
2001-11-01,212.472
2001-12-01,250.749
2002-01-01,210.074
2002-02-01,191.285
2002-03-01,194.783
2002-04-01,192.085
2002-05-01,201.679
2002-06-01,225.065
2002-07-01,226.964
2002-08-01,224.665
2002-09-01,224.365
2002-10-01,214.971
2002-11-01,228.363
2002-12-01,262.342
2003-01-01,224.665
2003-02-01,183.19
2003-03-01,198.881
2003-04-01,205.277
2003-05-01,215.371
2003-06-01,254.647
2003-07-01,223.666
2003-08-01,232.161
2003-09-01,227.463
2003-10-01,238.057
2003-11-01,248.351
2003-12-01,262.243
