ds,y
1989-01-01,2.844
1989-02-01,2.98
1989-03-01,3.115
1989-04-01,3.318
1989-05-01,3.251
1989-06-01,3.183
1989-07-01,2.98
1989-08-01,3.251
1989-09-01,3.318
1989-10-01,3.657
1989-11-01,3.86
1989-12-01,6.433
1990-01-01,3.454
1990-02-01,3.115
1990-03-01,3.521
1990-04-01,3.657
1990-05-01,3.725
1990-06-01,3.183
1990-07-01,3.183
1990-08-01,3.251
1990-09-01,3.318
1990-10-01,3.657
1990-11-01,4.063
1990-12-01,6.433
1991-01-01,3.115
1991-02-01,2.777
1991-03-01,2.912
1991-04-01,3.589
1991-05-01,3.251
1991-06-01,3.115
1991-07-01,3.521
1991-08-01,3.115
1991-09-01,3.318
1991-10-01,3.792
1991-11-01,4.199
1991-12-01,7.381
1992-01-01,3.183
1992-02-01,2.777
1992-03-01,3.047
1992-04-01,2.912
1992-05-01,2.709
1992-06-01,2.912
1992-07-01,3.115
1992-08-01,2.98
1992-09-01,3.115
1992-10-01,3.521
1992-11-01,3.725
1992-12-01,6.704
1993-01-01,3.183
1993-02-01,2.912
1993-03-01,3.115
1993-04-01,3.115
1993-05-01,2.844
1993-06-01,3.115
1993-07-01,2.912
1993-08-01,2.98
1993-09-01,3.251
1993-10-01,3.318
1993-11-01,3.86
1993-12-01,6.637
1994-01-01,3.115
1994-02-01,2.912
1994-03-01,2.777
1994-04-01,3.183
1994-05-01,2.98
1994-06-01,3.047
1994-07-01,2.438
1994-08-01,2.777
1994-09-01,2.641
1994-10-01,3.115
1994-11-01,3.589
1994-12-01,5.688
1995-01-01,3.183
1995-02-01,2.641
1995-03-01,3.047
1995-04-01,3.386
1995-05-01,3.386
1995-06-01,3.183
1995-07-01,3.047
1995-08-01,3.657
1995-09-01,3.386
1995-10-01,3.725
1995-11-01,4.47
1995-12-01,7.111
1996-01-01,4.131
1996-02-01,3.657
1996-03-01,3.86
1996-04-01,3.657
1996-05-01,3.589
1996-06-01,3.386
1996-07-01,3.115
1996-08-01,3.386
1996-09-01,3.183
1996-10-01,3.454
1996-11-01,3.928
1996-12-01,6.637
1997-01-01,3.657
1997-02-01,3.047
1997-03-01,3.521
1997-04-01,3.251
1997-05-01,3.318
1997-06-01,3.251
1997-07-01,3.386
1997-08-01,3.386
1997-09-01,3.454
1997-10-01,3.589
1997-11-01,3.657
1997-12-01,6.027
1998-01-01,3.657
1998-02-01,3.318
1998-03-01,3.725
1998-04-01,3.454
1998-05-01,3.386
1998-06-01,3.521
1998-07-01,3.521
1998-08-01,3.454
1998-09-01,3.589
1998-10-01,3.928
1998-11-01,4.199
1998-12-01,6.975
1999-01-01,3.86
1999-02-01,3.928
1999-03-01,3.995
1999-04-01,4.74
1999-05-01,4.266
1999-06-01,4.266
1999-07-01,4.131
1999-08-01,4.199
1999-09-01,4.334
1999-10-01,3.995
1999-11-01,4.266
1999-12-01,6.772
2000-01-01,4.063
2000-02-01,3.657
2000-03-01,4.063
2000-04-01,3.928
2000-05-01,3.928
2000-06-01,3.995
2000-07-01,3.86
2000-08-01,4.131
2000-09-01,4.131
2000-10-01,3.86
2000-11-01,4.47
2000-12-01,6.569
2001-01-01,4.131
2001-02-01,3.928
2001-03-01,4.537
2001-04-01,3.725
2001-05-01,3.86
2001-06-01,3.995
2001-07-01,3.928
2001-08-01,3.995
2001-09-01,3.995
2001-10-01,4.808
2001-11-01,5.553
2001-12-01,8.397
2002-01-01,5.282
2002-02-01,5.079
2002-03-01,5.282
2002-04-01,4.808
2002-05-01,4.537
2002-06-01,4.266
2002-07-01,4.266
2002-08-01,4.266
2002-09-01,4.266
2002-10-01,4.673
2002-11-01,4.944
2002-12-01,8.804
2003-01-01,5.079
2003-02-01,4.334
2003-03-01,5.079
2003-04-01,5.553
2003-05-01,5.214
2003-06-01,4.944
2003-07-01,4.47
2003-08-01,4.402
2003-09-01,4.063
2003-10-01,4.537
2003-11-01,4.673
2003-12-01,7.788
2004-01-01,5.35
2004-02-01,4.266
2004-03-01,4.944
2004-04-01,3.928
2004-05-01,3.792
2004-06-01,3.86
2004-07-01,3.725
2004-08-01,3.318
2004-09-01,3.454
2004-10-01,5.418
2004-11-01,5.824
2004-12-01,9.684
2005-01-01,5.959
2005-02-01,4.876
2005-03-01,5.688
2005-04-01,5.756
2005-05-01,4.876
2005-06-01,5.214
2005-07-01,5.147
2005-08-01,5.282
2005-09-01,5.418
2005-10-01,6.501
2005-11-01,7.585
2005-12-01,12.054
2006-01-01,7.991
2006-02-01,6.569
2006-03-01,7.043
2006-04-01,7.043
2006-05-01,6.298
2006-06-01,5.892
2006-07-01,5.35
2006-08-01,6.095
2006-09-01,5.756
2006-10-01,6.163
2006-11-01,7.517
2006-12-01,12.528
2007-01-01,7.246
2007-02-01,6.704
2007-03-01,7.111
2007-04-01,6.095
2007-05-01,5.079
2007-06-01,4.876
2007-07-01,5.35
2007-08-01,5.553
2007-09-01,5.553
2007-10-01,6.163
2007-11-01,8.059
2007-12-01,13.341
2008-01-01,7.788
2008-02-01,5.959
2008-03-01,5.688
2008-04-01,6.027
2008-05-01,5.485
2008-06-01,5.011
2008-07-01,5.892
2008-08-01,5.553
2008-09-01,6.433
2008-10-01,5.418
2008-11-01,6.637
2008-12-01,12.257
2009-01-01,6.704
2009-02-01,5.621
2009-03-01,5.485
2009-04-01,4.944
2009-05-01,5.485
2009-06-01,4.876
2009-07-01,6.095
2009-08-01,5.756
2009-09-01,6.163
2009-10-01,6.84
2009-11-01,8.262
2009-12-01,13.07
2010-01-01,6.637
2010-02-01,5.011
2010-03-01,5.485
2010-04-01,4.673
2010-05-01,4.47
2010-06-01,5.418
2010-07-01,5.892
2010-08-01,4.808
2010-09-01,5.756
2010-10-01,5.959
2010-11-01,7.517
2010-12-01,13.205
