ds,y
1978-01-01,11.171
1978-02-01,10.55
1978-03-01,11.171
1978-04-01,11.171
1978-05-01,13.653
1978-06-01,14.895
1978-07-01,14.274
1978-08-01,14.895
1978-09-01,14.895
1978-10-01,16.136
1978-11-01,14.895
1978-12-01,17.998
1979-01-01,13.653
1979-02-01,15.515
1979-03-01,19.239
1979-04-01,17.998
1979-05-01,21.101
1979-06-01,19.239
1979-07-01,20.48
1979-08-01,20.48
1979-09-01,19.239
1979-10-01,18.618
1979-11-01,17.998
1979-12-01,24.204
1980-01-01,14.274
1980-02-01,16.136
1980-03-01,15.515
1980-04-01,14.895
1980-05-01,14.895
1980-06-01,15.515
1980-07-01,21.101
1980-08-01,15.515
1980-09-01,19.86
1980-10-01,16.136
1980-11-01,16.136
1980-12-01,13.653
1981-01-01,11.171
1981-02-01,11.171
1981-03-01,14.274
1981-04-01,13.033
1981-05-01,14.895
1981-06-01,14.895
1981-07-01,17.377
1981-08-01,17.998
1981-09-01,16.756
1981-10-01,20.48
1981-11-01,21.721
1981-12-01,24.204
1982-01-01,20.48
1982-02-01,21.101
1982-03-01,21.101
1982-04-01,19.239
1982-05-01,22.342
1982-06-01,23.583
1982-07-01,24.204
1982-08-01,25.445
1982-09-01,21.721
1982-10-01,23.583
1982-11-01,22.342
1982-12-01,22.342
1983-01-01,17.998
1983-02-01,18.618
1983-03-01,16.756
1983-04-01,17.998
1983-05-01,17.377
1983-06-01,17.377
1983-07-01,17.377
1983-08-01,17.998
1983-09-01,16.136
1983-10-01,17.998
1983-11-01,15.515
1983-12-01,15.515
1984-01-01,14.274
1984-02-01,13.033
1984-03-01,13.033
1984-04-01,17.377
1984-05-01,16.756
1984-06-01,21.101
1984-07-01,19.86
1984-08-01,21.721
1984-09-01,20.48
1984-10-01,22.963
1984-11-01,23.583
1984-12-01,24.824
1985-01-01,22.342
1985-02-01,24.824
1985-03-01,25.445
1985-04-01,18.618
1985-05-01,18.618
1985-06-01,19.239
1985-07-01,19.239
1985-08-01,19.86
1985-09-01,20.48
1985-10-01,20.48
1985-11-01,19.239
1985-12-01,22.342
1986-01-01,17.998
1986-02-01,17.998
1986-03-01,19.239
1986-04-01,20.48
1986-05-01,21.721
1986-06-01,21.721
1986-07-01,19.86
1986-08-01,20.48
1986-09-01,21.101
1986-10-01,20.48
1986-11-01,21.721
1986-12-01,21.101
1987-01-01,16.756
1987-02-01,17.998
1987-03-01,18.618
1987-04-01,17.998
1987-05-01,16.756
1987-06-01,17.998
1987-07-01,22.963
1987-08-01,25.445
1987-09-01,21.721
1987-10-01,19.86
1987-11-01,19.86
1987-12-01,25.445
1988-01-01,16.756
1988-02-01,16.756
1988-03-01,17.998
1988-04-01,14.895
1988-05-01,16.756
1988-06-01,16.756
1988-07-01,18.618
1988-08-01,19.239
1988-09-01,17.998
1988-10-01,17.998
1988-11-01,16.756
1988-12-01,19.239
1989-01-01,19.86
1989-02-01,19.86
1989-03-01,21.101
1989-04-01,21.101
1989-05-01,22.963
1989-06-01,22.342
1989-07-01,17.377
1989-08-01,17.998
1989-09-01,16.756
1989-10-01,16.136
1989-11-01,15.515
1989-12-01,17.998
1990-01-01,13.653
1990-02-01,14.274
1990-03-01,14.274
1990-04-01,16.136
1990-05-01,17.998
1990-06-01,18.618
1990-07-01,19.86
1990-08-01,19.239
1990-09-01,19.239
1990-10-01,17.998
1990-11-01,17.377
1990-12-01,22.963
1991-01-01,16.136
1991-02-01,17.377
1991-03-01,17.998
1991-04-01,16.756
1991-05-01,17.998
1991-06-01,18.618
1991-07-01,19.86
1991-08-01,19.239
1991-09-01,18.618
1991-10-01,19.86
1991-11-01,18.618
1991-12-01,23.583
1992-01-01,18.618
1992-02-01,17.377
1992-03-01,18.618
1992-04-01,18.618
1992-05-01,18.618
1992-06-01,18.618
1992-07-01,17.998
1992-08-01,18.618
1992-09-01,17.377
1992-10-01,16.756
1992-11-01,14.895
1992-12-01,17.998
1993-01-01,10.55
1993-02-01,9.93
1993-03-01,11.171
1993-04-01,11.171
1993-05-01,12.412
1993-06-01,13.653
1993-07-01,15.515
1993-08-01,14.274
1993-09-01,13.653
1993-10-01,16.756
1993-11-01,16.136
1993-12-01,20.48
1994-01-01,11.792
1994-02-01,12.412
1994-03-01,12.412
1994-04-01,13.033
1994-05-01,14.895
1994-06-01,15.515
1994-07-01,15.515
1994-08-01,14.895
1994-09-01,14.895
1994-10-01,16.136
1994-11-01,16.136
1994-12-01,22.963
1995-01-01,12.412
1995-02-01,14.274
1995-03-01,14.274
1995-04-01,19.86
1995-05-01,24.204
1995-06-01,22.963
1995-07-01,24.824
1995-08-01,22.963
1995-09-01,22.342
1995-10-01,22.342
1995-11-01,20.48
1995-12-01,29.169
1996-01-01,22.342
1996-02-01,17.377
1996-03-01,17.998
1996-04-01,16.756
1996-05-01,18.618
1996-06-01,19.239
1996-07-01,19.239
1996-08-01,18.618
1996-09-01,17.377
1996-10-01,14.274
