ds,y
1990-01-01,822.691
1990-04-01,422.986
1990-07-01,359.206
1990-10-01,308.734
1991-01-01,727.493
1991-04-01,327.497
1991-07-01,349.4
1991-10-01,478.135
1992-01-01,652.559
1992-04-01,616.037
1992-07-01,299.314
1992-10-01,406.001
1993-01-01,521.898
1993-04-01,457.795
1993-07-01,265.848
1993-10-01,334.783
1994-01-01,617.985
1994-04-01,390.4
1994-07-01,226.19
1994-10-01,457.252
1995-01-01,901.634
1995-04-01,331.348
1995-07-01,272.916
1995-10-01,338.762
1996-01-01,730.089
1996-04-01,371.288
1996-07-01,422.801
1996-10-01,274.257
1997-01-01,676.111
1997-04-01,363.105
1997-07-01,241.619
1997-10-01,433.252
1998-01-01,544.142
1998-04-01,313.654
1998-07-01,285.332
1998-10-01,293.739
1999-01-01,794.763
1999-04-01,390.007
1999-07-01,231.656
1999-10-01,348.471
2000-01-01,801.842
2000-04-01,447.015
2000-07-01,203.943
2000-10-01,543.061
2001-01-01,816.624
2001-04-01,408.038
2001-07-01,150.015
2001-10-01,162.193
2002-01-01,610.349
2002-04-01,426.927
2002-07-01,199.675
2002-10-01,475.736
2003-01-01,830.313
2003-04-01,491.536
2003-07-01,329.167
2003-10-01,485.9
2004-01-01,739.648
2004-04-01,352.433
2004-07-01,483.383
2004-10-01,676.466
