ds,y
2009-01-01,374.288
2009-02-01,358.185
2009-03-01,390.392
2009-04-01,396.248
2009-05-01,405.52
2009-06-01,437.727
2009-07-01,426.015
2009-08-01,426.015
2009-09-01,463.103
2009-10-01,398.688
2009-11-01,419.183
2009-12-01,460.175
2010-01-01,335.737
2010-02-01,303.53
2010-03-01,345.497
2010-04-01,310.85
2010-05-01,358.673
2010-06-01,405.52
2010-07-01,345.985
2010-08-01,338.665
2010-09-01,374.288
2010-10-01,328.905
2010-11-01,313.778
2010-12-01,349.889
2011-01-01,341.593
2011-02-01,299.138
2011-03-01,345.985
2011-04-01,274.738
2011-05-01,319.633
2011-06-01,332.809
2011-07-01,343.057
2011-08-01,326.465
2011-09-01,328.905
2011-10-01,337.201
2011-11-01,343.545
2011-12-01,378.192
2012-01-01,341.105
2012-02-01,295.234
2012-03-01,288.89
2012-04-01,290.842
2012-05-01,302.066
2012-06-01,283.034
2012-07-01,322.561
2012-08-01,281.57
2012-09-01,285.962
2012-10-01,352.329
2012-11-01,354.281
2012-12-01,387.464
2013-01-01,333.297
2013-02-01,297.186
2013-03-01,332.321
2013-04-01,331.345
2013-05-01,345.009
2013-06-01,356.721
2013-07-01,402.592
2013-08-01,385.512
2013-09-01,403.08
2013-10-01,399.664
2013-11-01,394.296
2013-12-01,433.823
2014-01-01,453.343
2014-02-01,397.224
2014-03-01,425.527
2014-04-01,409.912
2014-05-01,435.775
2014-06-01,445.535
2014-07-01,476.278
2014-08-01,450.903
2014-09-01,470.91
2014-10-01,468.47
2014-11-01,495.31
2014-12-01,532.885
2015-01-01,485.55
2015-02-01,398.688
2015-03-01,452.367
2015-04-01,418.207
2015-05-01,488.478
2015-06-01,643.171
2015-07-01,433.823
2015-08-01,451.391
2015-09-01,446.511
2015-10-01,455.783
2015-11-01,469.934
2015-12-01,492.87
2016-01-01,503.606
2016-02-01,400.64
2016-03-01,466.03
2016-04-01,455.295
2016-05-01,459.199
2016-06-01,504.582
2016-07-01,496.774
2016-08-01,481.158
2016-09-01,467.494
2016-10-01,532.397
2016-11-01,582.172
2016-12-01,634.387
2017-01-01,629.507
2017-02-01,467.982
2017-03-01,519.221
2017-04-01,502.142
2017-05-01,512.877
2017-06-01,525.077
2017-07-01,517.757
2017-08-01,516.781
2017-09-01,504.094
2017-10-01,576.316
