ds,y
1981-01-01,42.595
1981-02-01,38.031
1981-03-01,39.407
1981-04-01,40.929
1981-05-01,43.754
1981-06-01,42.124
1981-07-01,43.428
1981-08-01,42.812
1981-09-01,40.929
1981-10-01,46.108
1981-11-01,45.927
1981-12-01,52.157
1982-01-01,35.17
1982-02-01,33.721
1982-03-01,36.691
1982-04-01,38.466
1982-05-01,39.009
1982-06-01,38.285
1982-07-01,41.327
1982-08-01,41.87
1982-09-01,40.313
1982-10-01,42.341
1982-11-01,40.856
1982-12-01,50.636
1983-01-01,41.001
1983-02-01,38.285
1983-03-01,42.196
1983-04-01,40.748
1983-05-01,41.436
1983-06-01,41.472
1983-07-01,45.203
1983-08-01,44.188
1983-09-01,47.774
1983-10-01,51.939
1983-11-01,49.766
1983-12-01,61.791
1984-01-01,51.758
1984-02-01,49.187
1984-03-01,57.372
1984-04-01,55.308
1984-05-01,57.119
1984-06-01,57.843
1984-07-01,59.835
1984-08-01,58.749
1984-09-01,60.379
1984-10-01,60.886
1984-11-01,63.204
1984-12-01,78.67
1985-01-01,52.374
1985-02-01,52.265
1985-03-01,58.532
1985-04-01,55.38
1985-05-01,60.741
1985-06-01,62.226
1985-07-01,54.439
1985-08-01,60.958
1985-09-01,59.328
1985-10-01,57.481
1985-11-01,59.944
1985-12-01,75.627
1986-01-01,55.054
1986-02-01,51.469
1986-03-01,56.467
1986-04-01,55.706
1986-05-01,60.306
1986-06-01,58.35
1986-07-01,63.711
1986-08-01,66.609
1986-09-01,61.248
1986-10-01,63.168
1986-11-01,65.051
1986-12-01,76.207
1987-01-01,57.554
1987-02-01,56.105
1987-03-01,59.835
1987-04-01,66.645
1987-05-01,68.854
1987-06-01,62.878
1987-07-01,72.042
1987-08-01,71.933
1987-09-01,69.905
1987-10-01,68.094
1987-11-01,71.209
1987-12-01,85.95
1988-01-01,66.029
1988-02-01,64.146
1988-03-01,69.434
1988-04-01,72.223
1988-05-01,78.235
1988-06-01,75.012
1988-07-01,78.815
1988-08-01,75.664
1988-09-01,76.605
1988-10-01,88.811
1988-11-01,87.073
1988-12-01,103.807
1989-01-01,79.032
1989-02-01,77.33
1989-03-01,87.109
1989-04-01,84.139
1989-05-01,89.789
1989-06-01,86.167
1989-07-01,87.544
1989-08-01,88.015
1989-09-01,88.811
1989-10-01,84.827
