ds,y
1979-01-01,38.104
1979-02-01,38.104
1979-03-01,39.295
1979-04-01,38.104
1979-05-01,40.486
1979-06-01,47.63
1979-07-01,61.92
1979-08-01,61.92
1979-09-01,66.683
1979-10-01,78.59
1979-11-01,69.064
1979-12-01,72.636
1980-01-01,69.064
1980-02-01,60.729
1980-03-01,65.492
1980-04-01,70.255
1980-05-01,67.873
1980-06-01,67.873
1980-07-01,71.446
1980-08-01,77.399
1980-09-01,69.064
1980-10-01,67.873
1980-11-01,72.636
1980-12-01,63.11
1981-01-01,50.012
1981-02-01,51.203
1981-03-01,60.729
1981-04-01,63.11
1981-05-01,69.064
1981-06-01,69.064
1981-07-01,73.827
1981-08-01,108.359
1981-09-01,90.498
1981-10-01,82.162
1981-11-01,75.018
1981-12-01,65.492
1982-01-01,54.775
1982-02-01,54.775
1982-03-01,69.064
1982-04-01,60.729
1982-05-01,75.018
1982-06-01,77.399
1982-07-01,96.452
1982-08-01,95.261
1982-09-01,94.07
1982-10-01,95.261
1982-11-01,77.399
1982-12-01,82.162
1983-01-01,72.636
1983-02-01,85.735
1983-03-01,90.498
1983-04-01,86.925
1983-05-01,96.452
1983-06-01,98.833
1983-07-01,97.642
1983-08-01,94.07
1983-09-01,86.925
1983-10-01,111.931
1983-11-01,103.596
1983-12-01,97.642
1984-01-01,82.162
1984-02-01,89.307
1984-03-01,91.689
1984-04-01,98.833
1984-05-01,95.261
1984-06-01,108.359
1984-07-01,132.174
1984-08-01,119.076
1984-09-01,109.55
1984-10-01,117.885
1984-11-01,111.931
1984-12-01,117.885
1985-01-01,90.498
1985-02-01,92.879
1985-03-01,109.55
1985-04-01,111.931
1985-05-01,119.076
1985-06-01,126.221
1985-07-01,147.654
1985-08-01,169.088
1985-09-01,157.18
1985-10-01,155.99
1985-11-01,128.602
1985-12-01,134.556
1986-01-01,88.116
1986-02-01,82.162
1986-03-01,109.55
1986-04-01,110.741
1986-05-01,128.602
1986-06-01,130.984
1986-07-01,122.648
1986-08-01,114.313
1986-09-01,104.787
1986-10-01,110.741
1986-11-01,102.405
1986-12-01,105.978
1987-01-01,73.827
1987-02-01,92.879
1987-03-01,92.879
1987-04-01,90.498
1987-05-01,97.642
1987-06-01,103.596
1987-07-01,126.221
1987-08-01,123.839
1987-09-01,108.359
1987-10-01,108.359
1987-11-01,104.787
1987-12-01,92.879
1988-01-01,75.018
1988-02-01,73.827
1988-03-01,100.024
1988-04-01,91.689
1988-05-01,96.452
1988-06-01,108.359
1988-07-01,121.458
1988-08-01,125.03
1988-09-01,96.452
1988-10-01,103.596
1988-11-01,105.978
1988-12-01,88.116
1989-01-01,82.162
1989-02-01,76.209
1989-03-01,90.498
1989-04-01,89.307
1989-05-01,95.261
1989-06-01,100.024
1989-07-01,116.694
1989-08-01,110.741
1989-09-01,98.833
1989-10-01,119.076
1989-11-01,117.885
1989-12-01,111.931
1990-01-01,97.642
1990-02-01,94.07
1990-03-01,98.833
1990-04-01,105.978
1990-05-01,111.931
1990-06-01,122.648
1990-07-01,134.556
1990-08-01,135.747
1990-09-01,111.931
1990-10-01,109.55
1990-11-01,104.787
1990-12-01,96.452
1991-01-01,86.925
1991-02-01,86.925
1991-03-01,91.689
1991-04-01,98.833
1991-05-01,109.55
1991-06-01,122.648
1991-07-01,150.036
1991-08-01,133.365
1991-09-01,136.937
1991-10-01,127.411
1991-11-01,130.984
1991-12-01,117.885
1992-01-01,114.313
1992-02-01,115.504
1992-03-01,123.839
1992-04-01,146.463
1992-05-01,134.556
1992-06-01,147.654
1992-07-01,163.134
1992-08-01,160.753
1992-09-01,146.463
1992-10-01,145.273
1992-11-01,138.128
1992-12-01,145.273
1993-01-01,123.839
1993-02-01,116.694
1993-03-01,120.267
1993-04-01,128.602
1993-05-01,158.371
1993-06-01,150.036
1993-07-01,178.614
1993-08-01,178.614
1993-09-01,159.562
1993-10-01,160.753
1993-11-01,146.463
1993-12-01,141.7
1994-01-01,116.694
1994-02-01,121.458
1994-03-01,141.7
1994-04-01,115.504
1994-05-01,129.793
1994-06-01,141.7
1994-07-01,139.319
1994-08-01,140.51
1994-09-01,127.411
1994-10-01,151.227
1994-11-01,146.463
1994-12-01,151.227
1995-01-01,100.024
1995-02-01,113.122
1995-03-01,110.741
1995-04-01,103.596
1995-05-01,116.694
1995-06-01,120.267
1995-07-01,142.891
1995-08-01,141.7
1995-09-01,132.174
1995-10-01,133.365
1995-11-01,133.365
1995-12-01,128.602
1996-01-01,116.694
1996-02-01,123.839
1996-03-01,123.839
1996-04-01,133.365
1996-05-01,153.608
1996-06-01,154.799
1996-07-01,171.469
1996-08-01,166.706
1996-09-01,138.128
1996-10-01,172.66
1996-11-01,154.799
1996-12-01,153.608
1997-01-01,125.03
1997-02-01,158.371
1997-03-01,172.66
1997-04-01,185.759
1997-05-01,208.383
1997-06-01,219.1
1997-07-01,228.626
1997-08-01,247.678
1997-09-01,246.487
1997-10-01,217.909
1997-11-01,203.62
1997-12-01,196.475
1998-01-01,177.423
1998-02-01,221.481
1998-03-01,232.198
1998-04-01,217.909
1998-05-01,213.146
1998-06-01,257.204
1998-07-01,272.684
1998-08-01,311.979
1998-09-01,270.303
1998-10-01,271.493
1998-11-01,289.355
1998-12-01,208.383
1999-01-01,197.666
1999-02-01,210.765
1999-03-01,263.158
1999-04-01,247.678
1999-05-01,279.829
1999-06-01,277.447
1999-07-01,248.869
1999-08-01,241.724
1999-09-01,226.244
1999-10-01,206.001
1999-11-01,229.817
1999-12-01,217.909
