ds,y
2008-10-01,4013.776
2008-11-01,4029.45
2008-12-01,4045.726
2009-01-01,3966.957
2009-02-01,3969.972
2009-03-01,3988.056
2009-04-01,4012.169
2009-05-01,4050.247
2009-06-01,4070.14
2009-07-01,4024.627
2009-08-01,3885.074
2009-09-01,4123.992
2009-10-01,4149.913
2009-11-01,4161.266
2009-12-01,4181.561
2010-01-01,4080.187
2010-02-01,4092.445
2010-03-01,4108.62
2010-04-01,4127.107
2010-05-01,4175.031
2010-06-01,4194.12
2010-07-01,4160.262
2010-08-01,4184.174
2010-09-01,4259.828
2010-10-01,4282.232
2010-11-01,4295.394
2010-12-01,4331.563
2011-01-01,4219.439
2011-02-01,4223.96
2011-03-01,4240.437
2011-04-01,4268.87
2011-05-01,4306.144
2011-06-01,4332.568
2011-07-01,4294.892
2011-08-01,4304.738
2011-09-01,4387.223
2011-10-01,4406.715
2011-11-01,4427.11
2011-12-01,4475.235
2012-01-01,4353.667
2012-02-01,4355.575
2012-03-01,4374.464
2012-04-01,4394.658
2012-05-01,4417.465
2012-06-01,4442.582
2012-07-01,4401.49
2012-08-01,4428.115
2012-09-01,4478.651
2012-10-01,4494.525
2012-11-01,4517.232
2012-12-01,4554.607
2013-01-01,4428.215
2013-02-01,4408.222
2013-03-01,4427.512
2013-04-01,4425.402
2013-05-01,4450.419
2013-06-01,4441.276
2013-07-01,4393.754
2013-08-01,4396.567
2013-09-01,4393.955
2013-10-01,4364.919
2013-11-01,4317.296
2013-12-01,4304.135
2014-01-01,4200.45
2014-02-01,4195.828
2014-03-01,4201.555
2014-04-01,4219.84
2014-05-01,4253.397
2014-06-01,4269.071
2014-07-01,4229.887
2014-08-01,4245.46
2014-09-01,4275.3
2014-10-01,4290.169
2014-11-01,4290.973
2014-12-01,4291.978
2015-01-01,4199.947
2015-02-01,4192.01
2015-03-01,4189.298
2015-04-01,4189.197
2015-05-01,4216.424
2015-06-01,4217.932
2015-07-01,4152.526
2015-08-01,4162.372
2015-09-01,4236.016
2015-10-01,4249.981
2015-11-01,4251.79
2015-12-01,4250.886
2016-01-01,4190.101
2016-02-01,4184.174
2016-03-01,4214.013
2016-04-01,4226.672
2016-05-01,4263.846
2016-06-01,4293.987
2016-07-01,4255.306
2016-08-01,4256.914
2016-09-01,4334.276
2016-10-01,4347.638
2016-11-01,4347.035
2016-12-01,4359.896
2017-01-01,4301.121
2017-02-01,4300.618
2017-03-01,4322.42
2017-04-01,4356.279
2017-05-01,4390.338
2017-06-01,4406.413
2017-07-01,4364.015
2017-08-01,4368.536
2017-09-01,4439.267
2017-10-01,4450.52
2017-11-01,4465.892
2017-12-01,4465.389
2018-01-01,4411.839
2018-02-01,4405.007
2018-03-01,4418.972
2018-04-01,4452.629
2018-05-01,4491.612
2018-06-01,4509.797
2018-07-01,4468.705
2018-08-01,4470.915
2018-09-01,4550.085
2018-10-01,4567.567
2018-11-01,4586.656
2018-12-01,4610.367
2019-01-01,4522.255
2019-02-01,4505.075
2019-03-01,4520.447
2019-04-01,4540.038
2019-05-01,4565.357
2019-06-01,4579.523
2019-07-01,4527.58
2019-08-01,4527.178
2019-09-01,4620.314
2019-10-01,4623.931
2019-11-01,4636.791
2019-12-01,4639.604
2020-01-01,4540.943
2020-02-01,4524.064
2020-03-01,4541.344
2020-04-01,4562.041
2020-05-01,4584.446
2020-06-01,4576.308
2020-07-01,4515.423
2020-08-01,4506.18
2020-09-01,4541.445
2020-10-01,4538.33
2020-11-01,4498.645
2020-12-01,4486.689
2021-01-01,4349.547
2021-02-01,4310.263
2021-03-01,4292.38
2021-04-01,4260.028
2021-05-01,4266.86
2021-06-01,4264.751
2021-07-01,4190.905
2021-08-01,4185.781
2021-09-01,4250.785
2021-10-01,4248.474
2021-11-01,4248.776
2021-12-01,4267.765
2022-01-01,4127.709
2022-02-01,4109.725
2022-03-01,4135.546
2022-04-01,4154.434
2022-05-01,4191.307
2022-06-01,4223.759
2022-07-01,4188.594
2022-08-01,4188.896
2022-09-01,4277.912
2022-10-01,4291.074
2022-11-01,4315.689
2022-12-01,4380.693
2023-01-01,4221.046
2023-02-01,4227.376
2023-03-01,4251.79
2023-04-01,4275.702
2023-05-01,4313.88
2023-06-01,4349.547
2023-07-01,4293.686
2023-08-01,4306.546
2023-09-01,4384.109
2023-10-01,4395.362
2023-11-01,4421.383
2023-12-01,4483.876
2024-01-01,4345.127
2024-02-01,4351.054
2024-03-01,4373.459
2024-04-01,4368.235
2024-05-01,4429.521
2024-06-01,4446.501
2024-07-01,4399.38
2024-08-01,4417.867
2024-09-01,4492.516
2024-10-01,4506.582
2024-11-01,4535.015
2024-12-01,4639.403
2025-01-01,4466.595
2025-02-01,4443.085
2025-03-01,4452.529
2025-04-01,4469.91
2025-05-01,4505.879
2025-06-01,4513.213
2025-07-01,4450.52
2025-08-01,4472.02
2025-09-01,4569.275
2025-10-01,4580.628
2025-11-01,4638.398
2025-12-01,4735.151
2026-01-01,4574.198
2026-02-01,4538.431
2026-03-01,4561.438
2026-04-01,4583.542
2026-05-01,4651.56
2026-06-01,4674.266
2026-07-01,4647.742
2026-08-01,4666.028
2026-09-01,4749.217
2026-10-01,4788.501
2026-11-01,4845.568
2026-12-01,4982.006
2027-01-01,4801.16
2027-02-01,4766.196
2027-03-01,4786.793
2027-04-01,4799.251
2027-05-01,4851.696
2027-06-01,4889.172
2027-07-01,4866.968
2027-08-01,4881.335
2027-09-01,4956.888
2027-10-01,4970.854
2027-11-01,5041.786
2027-12-01,5186.462
2028-01-01,4950.86
2028-02-01,4908.562
2028-03-01,4930.364
2028-04-01,4950.458
2028-05-01,4997.177
2028-06-01,5016.065
2028-07-01,4986.628
2028-08-01,5023.199
2028-09-01,5088.203
2028-10-01,5116.334
2028-11-01,5202.236
2028-12-01,5355.754
2029-01-01,5100.36
2029-02-01,5080.366
2029-03-01,5094.934
2029-04-01,5110.607
2029-05-01,5166.67
2029-06-01,5194.098
2029-07-01,5151.298
2029-08-01,5176.817
2029-09-01,5278.895
2029-10-01,5320.489
2029-11-01,5409.506
2029-12-01,5545.341
2030-01-01,5314.461
2030-02-01,5301.4
2030-03-01,5330.637
2030-04-01,5336.263
2030-05-01,5384.891
2030-06-01,5414.429
2030-07-01,5369.82
2030-08-01,5402.573
2030-09-01,5499.929
