ds,y
1992-01-01,44.125
1992-02-01,38.776
1992-03-01,40.113
1992-04-01,46.799
1992-05-01,45.462
1992-06-01,45.462
1992-07-01,48.136
1992-08-01,48.136
1992-09-01,53.484
1992-10-01,52.147
1992-11-01,65.518
1992-12-01,106.969
1993-01-01,53.484
1993-02-01,45.462
1993-03-01,50.81
1993-04-01,56.159
1993-05-01,58.833
1993-06-01,58.833
1993-07-01,56.159
1993-08-01,50.81
1993-09-01,54.822
1993-10-01,57.496
1993-11-01,62.844
1993-12-01,102.957
1994-01-01,50.81
1994-02-01,46.799
1994-03-01,52.147
1994-04-01,60.17
1994-05-01,57.496
1994-06-01,56.159
1994-07-01,50.81
1994-08-01,49.473
1994-09-01,52.147
1994-10-01,56.159
1994-11-01,62.844
1994-12-01,102.957
1995-01-01,54.822
1995-02-01,52.147
1995-03-01,61.507
1995-04-01,53.484
1995-05-01,54.822
1995-06-01,56.159
1995-07-01,54.822
1995-08-01,57.496
1995-09-01,56.159
1995-10-01,57.496
1995-11-01,65.518
1995-12-01,98.946
1996-01-01,57.496
1996-02-01,52.147
1996-03-01,62.844
1996-04-01,56.159
1996-05-01,62.844
1996-06-01,72.204
1996-07-01,62.844
1996-08-01,68.193
1996-09-01,68.193
1996-10-01,54.822
1996-11-01,64.181
1996-12-01,94.935
1997-01-01,49.473
1997-02-01,48.136
1997-03-01,50.81
1997-04-01,53.484
1997-05-01,54.822
1997-06-01,61.507
1997-07-01,68.193
1997-08-01,61.507
1997-09-01,60.17
1997-10-01,60.17
1997-11-01,69.53
1997-12-01,98.946
1998-01-01,60.17
1998-02-01,53.484
1998-03-01,53.484
1998-04-01,61.507
1998-05-01,61.507
1998-06-01,61.507
1998-07-01,48.136
1998-08-01,53.484
1998-09-01,49.473
1998-10-01,57.496
1998-11-01,64.181
1998-12-01,92.261
1999-01-01,61.507
1999-02-01,60.17
1999-03-01,64.181
1999-04-01,62.844
1999-05-01,65.518
1999-06-01,69.53
1999-07-01,68.193
1999-08-01,66.856
1999-09-01,66.856
1999-10-01,65.518
1999-11-01,74.878
1999-12-01,108.306
2000-01-01,66.856
2000-02-01,57.496
2000-03-01,64.181
2000-04-01,64.181
