ds,y
1987-01-01,326.662
1987-02-01,326.662
1987-03-01,355.425
1987-04-01,316.39
1987-05-01,317.417
1987-06-01,292.763
1987-07-01,320.499
1987-08-01,313.308
1987-09-01,340.016
1987-10-01,354.398
1987-11-01,396.515
1987-12-01,435.55
1988-01-01,321.526
1988-02-01,307.145
1988-03-01,315.363
1988-04-01,323.581
1988-05-01,321.526
1988-06-01,327.69
1988-07-01,285.573
1988-08-01,294.818
1988-09-01,304.063
1988-10-01,266.055
1988-11-01,290.709
1988-12-01,382.133
1989-01-01,295.845
1989-02-01,288.654
1989-03-01,273.246
1989-04-01,265.028
1989-05-01,266.055
1989-06-01,250.647
1989-07-01,281.464
1989-08-01,305.09
1989-09-01,284.545
1989-10-01,291.736
1989-11-01,310.226
1989-12-01,353.371
1990-01-01,242.429
1990-02-01,238.32
1990-03-01,255.783
1990-04-01,282.491
1990-05-01,284.545
1990-06-01,259.892
1990-07-01,275.3
1990-08-01,269.137
1990-09-01,270.164
1990-10-01,292.763
1990-11-01,270.164
1990-12-01,309.199
1991-01-01,242.429
1991-02-01,240.374
1991-03-01,274.273
1991-04-01,278.382
1991-05-01,249.619
1991-06-01,238.32
1991-07-01,272.219
1991-08-01,244.483
1991-09-01,253.728
1991-10-01,329.744
1991-11-01,297.9
1991-12-01,353.371
1992-01-01,361.588
1992-02-01,322.553
1992-03-01,312.281
1992-04-01,297.9
1992-05-01,292.763
1992-06-01,292.763
1992-07-01,296.872
1992-08-01,329.744
1992-09-01,354.398
1992-10-01,383.161
1992-11-01,394.46
1992-12-01,435.55
1993-01-01,442.74
1993-02-01,411.923
1993-03-01,430.414
1993-04-01,428.359
1993-05-01,406.787
1993-06-01,380.079
1993-07-01,419.114
1993-08-01,438.631
1993-09-01,439.659
1993-10-01,460.204
1993-11-01,480.748
1993-12-01,517.729
1994-01-01,493.075
1994-02-01,454.04
1994-03-01,524.92
1994-04-01,446.849
1994-05-01,409.869
1994-06-01,398.569
1994-07-01,442.74
1994-08-01,481.776
1994-09-01,511.566
1994-10-01,483.83
1994-11-01,518.756
1994-12-01,595.799
1995-01-01,489.993
1995-02-01,441.713
1995-03-01,478.694
1995-04-01,416.032
1995-05-01,389.324
1995-06-01,359.534
1995-07-01,421.168
1995-08-01,425.277
1995-09-01,454.04
1995-10-01,516.702
1995-11-01,505.402
1995-12-01,597.854
1996-01-01,534.165
1996-02-01,553.682
1996-03-01,628.671
1996-04-01,538.274
1996-05-01,561.9
1996-06-01,542.383
1996-07-01,533.138
1996-08-01,529.029
1996-09-01,551.628
1996-10-01,561.9
1996-11-01,552.655
1996-12-01,618.398
1997-01-01,505.402
1997-02-01,491.021
1997-03-01,576.282
1997-04-01,506.429
1997-05-01,504.375
1997-06-01,494.102
1997-07-01,608.126
1997-08-01,589.636
1997-09-01,599.908
1997-10-01,589.636
1997-11-01,604.017
1997-12-01,650.243
1998-01-01,552.655
1998-02-01,560.873
1998-03-01,680.033
1998-04-01,587.581
1998-05-01,588.609
1998-06-01,563.955
1998-07-01,570.118
1998-08-01,571.145
1998-09-01,571.145
1998-10-01,588.609
1998-11-01,589.636
1998-12-01,625.589
1999-01-01,596.826
1999-02-01,567.036
1999-03-01,693.387
1999-04-01,611.208
1999-05-01,589.636
1999-06-01,589.636
1999-07-01,583.472
1999-08-01,610.181
1999-09-01,604.017
1999-10-01,719.068
1999-11-01,719.068
1999-12-01,793.029
2000-01-01,803.302
2000-02-01,870.072
2000-03-01,766.321
2000-04-01,790.975
2000-05-01,812.547
2000-06-01,788.92
2000-07-01,819.738
2000-08-01,787.893
2000-09-01,792.002
2000-10-01,839.255
2000-11-01,760.158
2000-12-01,854.664
2001-01-01,747.831
2001-02-01,719.068
2001-03-01,893.699
2001-04-01,871.1
2001-05-01,894.726
2001-06-01,852.609
2001-07-01,826.928
2001-08-01,836.173
2001-09-01,846.446
2001-10-01,877.263
2001-11-01,844.391
2001-12-01,956.36
2002-01-01,771.457
2002-02-01,803.302
2002-03-01,949.17
2002-04-01,798.165
2002-05-01,839.255
2002-06-01,772.484
2002-07-01,877.263
2002-08-01,820.765
2002-09-01,839.255
2002-10-01,860.827
2002-11-01,865.963
2002-12-01,922.462
2003-01-01,762.212
2003-02-01,722.15
2003-03-01,849.527
2003-04-01,772.484
2003-05-01,733.449
2003-06-01,627.644
2003-07-01,671.815
2003-08-01,667.706
2003-09-01,742.695
2003-10-01,859.8
2003-11-01,871.1
2003-12-01,864.936
2004-01-01,818.71
2004-02-01,766.321
2004-03-01,907.053
2004-04-01,787.893
2004-05-01,803.302
2004-06-01,774.539
2004-07-01,822.819
2004-08-01,850.555
2004-09-01,891.644
2004-10-01,944.034
2004-11-01,965.606
2004-12-01,959.442
2005-01-01,885.481
2005-02-01,841.31
2005-03-01,982.041
2005-04-01,948.143
2005-05-01,960.469
2005-06-01,897.808
2005-07-01,984.096
2005-08-01,978.96
2005-09-01,937.87
2005-10-01,933.761
2005-11-01,911.162
2005-12-01,932.734
2006-01-01,857.745
2006-02-01,836.173
2006-03-01,1024.158
2006-04-01,854.664
2006-05-01,957.388
2006-06-01,855.691
2006-07-01,953.279
2006-08-01,903.971
2006-09-01,893.699
2006-10-01,915.271
2006-11-01,879.317
2006-12-01,823.846
2007-01-01,782.757
2007-02-01,770.43
2007-03-01,934.788
2007-04-01,849.527
2007-05-01,907.053
2007-06-01,804.329
2007-07-01,841.31
2007-08-01,853.636
2007-09-01,898.835
2007-10-01,940.952
2007-11-01,897.808
2007-12-01,948.143
2008-01-01,886.508
2008-02-01,894.726
2008-03-01,1017.995
2008-04-01,971.769
2008-05-01,1035.458
2008-06-01,937.87
2008-07-01,944.034
2008-08-01,1025.186
2008-09-01,1032.376
2008-10-01,995.396
2008-11-01,1030.322
2008-12-01,1060.112
