ds,y
1984-10-01,118.606
1984-11-01,119.221
1984-12-01,119.467
1985-01-01,118.688
1985-02-01,119.283
1985-03-01,119.775
1985-04-01,120.658
1985-05-01,120.473
1985-06-01,121.622
1985-07-01,119.775
1985-08-01,121.15
1985-09-01,121.868
1985-10-01,121.355
1985-11-01,122.156
1985-12-01,122.422
1986-01-01,122.422
1986-02-01,122.566
1986-03-01,122.238
1986-04-01,122.032
1986-05-01,122.012
1986-06-01,122.176
1986-07-01,120.063
1986-08-01,120.473
1986-09-01,121.232
1986-10-01,121.335
1986-11-01,121.478
1986-12-01,121.622
1987-01-01,121.191
1987-02-01,121.232
1987-03-01,120.965
1987-04-01,120.637
1987-05-01,121.335
1987-06-01,121.848
1987-07-01,120.452
1987-08-01,120.863
1987-09-01,121.519
1987-10-01,121.54
1987-11-01,122.032
1987-12-01,121.725
1988-01-01,121.047
1988-02-01,120.658
1988-03-01,120.391
1988-04-01,119.385
1988-05-01,119.57
1988-06-01,120.206
1988-07-01,119.221
1988-08-01,119.755
1988-09-01,120.35
1988-10-01,120.514
1988-11-01,121.273
1988-12-01,121.232
1989-01-01,121.294
1989-02-01,121.15
1989-03-01,121.458
1989-04-01,121.376
1989-05-01,121.253
1989-06-01,122.115
1989-07-01,120.842
1989-08-01,120.904
1989-09-01,121.93
1989-10-01,121.314
1989-11-01,121.602
1989-12-01,121.396
1990-01-01,120.637
1990-02-01,120.617
1990-03-01,120.822
1990-04-01,121.212
1990-05-01,120.801
1990-06-01,121.089
1990-07-01,120.76
1990-08-01,119.611
1990-09-01,119.857
1990-10-01,120.555
1990-11-01,120.801
1990-12-01,121.027
1991-01-01,120.965
1991-02-01,121.13
1991-03-01,121.273
1991-04-01,121.376
1991-05-01,121.191
1991-06-01,122.34
1991-07-01,122.115
1991-08-01,121.458
1991-09-01,121.417
1991-10-01,120.842
1991-11-01,120.104
1991-12-01,120.699
1992-01-01,119.324
1992-02-01,120.021
1992-03-01,119.037
1992-04-01,118.072
1992-05-01,116.718
1992-06-01,115.938
1992-07-01,113.537
1992-08-01,113.188
1992-09-01,111.649
1992-10-01,109.597
1992-11-01,107.997
1992-12-01,106.273
1993-01-01,105.637
1993-02-01,104.508
1993-03-01,103.954
1993-04-01,103.154
1993-05-01,102.723
1993-06-01,102.641
1993-07-01,102.087
1993-08-01,101.307
1993-09-01,100.589
1993-10-01,99.358
1993-11-01,98.373
1993-12-01,98.352
1994-01-01,97.408
1994-02-01,96.588
1994-03-01,96.362
1994-04-01,95.521
1994-05-01,94.392
1994-06-01,94.7
1994-07-01,93.817
1994-08-01,93.12
1994-09-01,92.853
1994-10-01,92.278
1994-11-01,92.053
1994-12-01,92.586
1995-01-01,91.93
1995-02-01,91.663
1995-03-01,91.293
1995-04-01,91.396
1995-05-01,91.129
1995-06-01,91.806
1995-07-01,91.765
1995-08-01,91.417
1995-09-01,91.335
1995-10-01,90.596
1995-11-01,90.924
1995-12-01,90.842
1996-01-01,90.35
1996-02-01,89.98
1996-03-01,89.898
1996-04-01,89.447
1996-05-01,89.508
1996-06-01,89.098
1996-07-01,88.79
1996-08-01,88.605
1996-09-01,87.908
1996-10-01,87.456
1996-11-01,88.195
1996-12-01,88.298
1997-01-01,88.4
1997-02-01,88.564
1997-03-01,88.831
1997-04-01,88.79
1997-05-01,89.057
1997-06-01,89.939
1997-07-01,89.262
1997-08-01,89.262
1997-09-01,88.77
1997-10-01,88.318
1997-11-01,87.62
1997-12-01,88.585
1998-01-01,88.031
1998-02-01,87.62
1998-03-01,87.785
1998-04-01,87.908
1998-05-01,87.99
1998-06-01,88.38
1998-07-01,88.503
1998-08-01,88.4
1998-09-01,88.277
1998-10-01,88.072
1998-11-01,88.174
1998-12-01,88.113
1999-01-01,87.436
1999-02-01,87.313
1999-03-01,87.354
1999-04-01,87.641
1999-05-01,87.641
1999-06-01,88.277
1999-07-01,88.215
1999-08-01,87.579
1999-09-01,86.779
1999-10-01,86.471
1999-11-01,85.589
1999-12-01,84.399
2000-01-01,83.024
2000-02-01,81.321
2000-03-01,79.125
2000-04-01,77.135
2000-05-01,76.416
2000-06-01,76.519
2000-07-01,75.657
2000-08-01,75.267
2000-09-01,74.919
2000-10-01,74.159
2000-11-01,73.462
2000-12-01,72.887
2001-01-01,72.6
2001-02-01,72.6
2001-03-01,72.497
2001-04-01,72.949
2001-05-01,73.421
2001-06-01,73.749
2001-07-01,74.467
2001-08-01,74.385
2001-09-01,74.467
2001-10-01,74.508
2001-11-01,74.57
2001-12-01,75.042
2002-01-01,74.919
2002-02-01,74.713
2002-03-01,74.262
2002-04-01,74.529
2002-05-01,74.898
2002-06-01,75.432
2002-07-01,75.821
2002-08-01,75.76
2002-09-01,75.432
2002-10-01,75.226
2002-11-01,75.103
2002-12-01,75.432
2003-01-01,75.493
2003-02-01,75.657
2003-03-01,75.965
2003-04-01,75.903
2003-05-01,76.416
2003-06-01,77.094
2003-07-01,77.196
2003-08-01,76.971
2003-09-01,76.929
2003-10-01,76.971
2003-11-01,76.991
2003-12-01,77.299
2004-01-01,76.704
2004-02-01,76.375
2004-03-01,76.56
2004-04-01,76.663
2004-05-01,76.622
2004-06-01,76.601
2004-07-01,77.032
2004-08-01,76.622
2004-09-01,76.704
2004-10-01,76.827
2004-11-01,76.847
2004-12-01,77.627
2005-01-01,77.073
2005-02-01,77.155
2005-03-01,77.012
2005-04-01,77.073
2005-05-01,77.094
2005-06-01,77.668
2005-07-01,77.873
2005-08-01,77.997
2005-09-01,77.689
2005-10-01,77.648
2005-11-01,77.955
2005-12-01,78.099
2006-01-01,77.997
2006-02-01,78.407
2006-03-01,78.407
2006-04-01,78.222
2006-05-01,78.715
2006-06-01,79.269
2006-07-01,79.412
2006-08-01,79.33
2006-09-01,78.94
