ds,y
1988-10-01,182.072
1988-11-01,181.743
1988-12-01,181.306
1989-01-01,180.467
1989-02-01,181.652
1989-03-01,183.111
1989-04-01,184.406
1989-05-01,185.537
1989-06-01,187.489
1989-07-01,188.073
1989-08-01,189.112
1989-09-01,189.204
1989-10-01,189.97
1989-11-01,190.644
1989-12-01,190.626
1990-01-01,190.499
1990-02-01,192.924
1990-03-01,194.347
1990-04-01,194.986
1990-05-01,195.332
1990-06-01,197.229
1990-07-01,198.196
1990-08-01,198.944
1990-09-01,198.469
1990-10-01,199.418
1990-11-01,199.764
1990-12-01,201.278
1991-01-01,200.458
1991-02-01,202.956
1991-03-01,205.419
1991-04-01,206.094
1991-05-01,206.732
1991-06-01,208.264
1991-07-01,209.03
1991-08-01,209.286
1991-09-01,208.775
1991-10-01,209.268
1991-11-01,209.413
1991-12-01,209.705
1992-01-01,208.483
1992-02-01,210.581
1992-03-01,212.149
1992-04-01,212.934
1992-05-01,213.755
1992-06-01,214.119
1992-07-01,214.977
1992-08-01,214.356
1992-09-01,214.192
1992-10-01,214.557
1992-11-01,214.612
1992-12-01,214.74
1993-01-01,213.517
1993-02-01,213.919
1993-03-01,215.068
1993-04-01,215.214
1993-05-01,216.454
1993-06-01,218.059
1993-07-01,218.588
1993-08-01,218.734
1993-09-01,218.169
1993-10-01,218.333
1993-11-01,218.552
1993-12-01,218.406
1994-01-01,217.986
1994-02-01,219.719
1994-03-01,220.649
1994-04-01,222.145
1994-05-01,223.112
1994-06-01,224.115
1994-07-01,224.151
1994-08-01,223.951
1994-09-01,223.476
1994-10-01,224.917
1994-11-01,225.246
1994-12-01,225.209
1995-01-01,224.133
1995-02-01,225.665
1995-03-01,226.413
1995-04-01,226.45
1995-05-01,226.176
1995-06-01,226.632
1995-07-01,226.76
1995-08-01,226.869
1995-09-01,226.668
1995-10-01,227.508
1995-11-01,226.668
1995-12-01,227.416
1996-01-01,228.055
1996-02-01,228.383
1996-03-01,229.806
1996-04-01,230.462
1996-05-01,230.772
1996-06-01,230.517
1996-07-01,230.59
1996-08-01,229.423
1996-09-01,228.638
1996-10-01,228.055
1996-11-01,228.146
1996-12-01,227.398
1997-01-01,227.052
1997-02-01,227.854
1997-03-01,227.088
1997-04-01,228.219
1997-05-01,227.672
1997-06-01,229.295
1997-07-01,228.328
1997-08-01,227.599
1997-09-01,226.741
1997-10-01,226.523
1997-11-01,227.325
1997-12-01,225.428
1998-01-01,223.531
1998-02-01,224.206
1998-03-01,224.972
1998-04-01,225.684
1998-05-01,225.136
1998-06-01,226.979
1998-07-01,226.614
1998-08-01,226.741
1998-09-01,225.647
1998-10-01,224.68
1998-11-01,223.677
1998-12-01,222.145
1999-01-01,221.853
1999-02-01,221.908
1999-03-01,224.717
1999-04-01,224.826
1999-05-01,225.027
1999-06-01,225.483
1999-07-01,225.611
1999-08-01,224.534
1999-09-01,224.133
1999-10-01,224.316
1999-11-01,223.787
1999-12-01,223.476
2000-01-01,222.856
2000-02-01,224.498
2000-03-01,225.975
2000-04-01,226.377
2000-05-01,226.431
2000-06-01,228.091
2000-07-01,228.201
2000-08-01,226.194
2000-09-01,224.37
2000-10-01,223.476
