ds,y
1983-01-01,8.646
1983-02-01,8.913
1983-03-01,10.567
1983-04-01,10.461
1983-05-01,10.994
1983-06-01,10.514
1983-07-01,11.101
1983-08-01,11.635
1983-09-01,11.314
1983-10-01,11.314
1983-11-01,12.328
1983-12-01,18.253
1984-01-01,10.514
1984-02-01,10.514
1984-03-01,11.635
1984-04-01,10.514
1984-05-01,10.781
1984-06-01,10.461
1984-07-01,10.621
1984-08-01,11.048
1984-09-01,11.154
1984-10-01,11.528
1984-11-01,12.062
1984-12-01,16.651
1985-01-01,9.393
1985-02-01,9.5
1985-03-01,10.834
1985-04-01,10.834
1985-05-01,11.154
1985-06-01,10.887
1985-07-01,11.741
1985-08-01,11.581
1985-09-01,12.062
1985-10-01,11.955
1985-11-01,12.969
1985-12-01,16.812
1986-01-01,10.461
1986-02-01,10.3
1986-03-01,11.314
1986-04-01,11.154
1986-05-01,11.581
1986-06-01,10.781
1986-07-01,10.407
1986-08-01,11.154
1986-09-01,11.208
1986-10-01,11.368
1986-11-01,12.809
1986-12-01,19.0
1987-01-01,12.115
1987-02-01,11.101
1987-03-01,12.542
1987-04-01,12.809
1987-05-01,13.769
1987-06-01,12.916
1987-07-01,14.357
1987-08-01,13.983
1987-09-01,13.396
1987-10-01,14.25
1987-11-01,14.677
1987-12-01,21.455
1988-01-01,13.449
1988-02-01,12.862
1988-03-01,14.517
1988-04-01,13.769
1988-05-01,14.73
1988-06-01,14.463
1988-07-01,15.317
1988-08-01,14.89
1988-09-01,15.157
1988-10-01,16.011
1988-11-01,15.851
1988-12-01,21.668
1989-01-01,13.449
1989-02-01,14.357
1989-03-01,16.812
1989-04-01,16.118
1989-05-01,17.185
1989-06-01,16.651
1989-07-01,17.932
1989-08-01,17.239
1989-09-01,17.025
1989-10-01,18.199
1989-11-01,20.334
1989-12-01,27.005
1990-01-01,15.691
1990-02-01,16.278
1990-03-01,18.092
1990-04-01,16.491
1990-05-01,17.612
1990-06-01,18.466
1990-07-01,19.106
1990-08-01,20.227
1990-09-01,19.747
1990-10-01,20.067
1990-11-01,21.561
1990-12-01,28.927
1991-01-01,18.733
1991-02-01,19.16
1991-03-01,21.508
1991-04-01,19.106
1991-05-01,19.8
1991-06-01,19.053
1991-07-01,20.387
1991-08-01,20.281
1991-09-01,19.16
1991-10-01,18.84
1991-11-01,19.96
1991-12-01,27.646
1992-01-01,18.306
1992-02-01,17.986
1992-03-01,19.48
1992-04-01,18.893
1992-05-01,19.8
1992-06-01,18.466
1992-07-01,20.494
1992-08-01,20.921
1992-09-01,19.96
1992-10-01,19.106
1992-11-01,20.654
1992-12-01,27.165
1993-01-01,17.452
1993-02-01,17.612
1993-03-01,19.16
1993-04-01,18.092
1993-05-01,19.694
1993-06-01,19.106
1993-07-01,20.441
1993-08-01,21.028
1993-09-01,20.868
1993-10-01,19.694
1993-11-01,20.921
1993-12-01,28.927
1994-01-01,19.0
1994-02-01,18.893
1994-03-01,20.12
1994-04-01,19.106
1994-05-01,18.733
1994-06-01,19.213
1994-07-01,20.547
1994-08-01,19.8
1994-09-01,19.16
1994-10-01,19.106
1994-11-01,20.067
1994-12-01,26.952
1995-01-01,16.918
1995-02-01,17.719
1995-03-01,17.986
1995-04-01,18.786
1995-05-01,19.0
1995-06-01,18.679
1995-07-01,22.042
1995-08-01,21.828
1995-09-01,21.455
1995-10-01,19.427
1995-11-01,20.494
1995-12-01,27.432
1996-01-01,18.679
1996-02-01,19.8
1996-03-01,21.081
1996-04-01,19.32
1996-05-01,20.281
1996-06-01,20.281
1996-07-01,21.935
1996-08-01,20.868
1996-09-01,20.708
1996-10-01,20.921
1996-11-01,21.988
1996-12-01,28.339
1997-01-01,19.427
1997-02-01,19.747
1997-03-01,22.362
1997-04-01,19.96
1997-05-01,20.814
1997-06-01,20.441
1997-07-01,21.135
1997-08-01,21.081
1997-09-01,20.441
1997-10-01,22.736
1997-11-01,23.109
1997-12-01,30.314
1998-01-01,20.814
1998-02-01,21.775
1998-03-01,21.828
1998-04-01,21.401
1998-05-01,22.255
1998-06-01,20.761
1998-07-01,22.095
1998-08-01,22.095
1998-09-01,21.508
1998-10-01,21.455
1998-11-01,21.935
1998-12-01,32.182
1999-01-01,19.053
1999-02-01,18.306
1999-03-01,19.16
1999-04-01,19.907
1999-05-01,20.227
1999-06-01,19.16
1999-07-01,21.188
1999-08-01,19.96
1999-09-01,19.427
1999-10-01,21.561
1999-11-01,23.109
1999-12-01,33.516
2000-01-01,20.174
2000-02-01,20.441
2000-03-01,21.828
2000-04-01,21.348
2000-05-01,21.828
2000-06-01,20.441
2000-07-01,20.387
2000-08-01,21.028
2000-09-01,20.387
2000-10-01,20.708
2000-11-01,22.842
2000-12-01,31.648
2001-01-01,18.413
2001-02-01,18.253
2001-03-01,19.533
2001-04-01,19.533
2001-05-01,19.587
2001-06-01,19.0
2001-07-01,18.84
2001-08-01,19.854
2001-09-01,19.64
2001-10-01,19.533
2001-11-01,21.455
2001-12-01,28.766
2002-01-01,17.505
2002-02-01,19.427
2002-03-01,19.96
2002-04-01,18.466
2002-05-01,19.96
2002-06-01,19.373
2002-07-01,17.665
2002-08-01,19.16
2002-09-01,17.932
2002-10-01,18.199
2002-11-01,20.014
2002-12-01,24.924
2003-01-01,16.011
2003-02-01,17.559
2003-03-01,17.932
2003-04-01,17.345
2003-05-01,17.932
2003-06-01,17.719
2003-07-01,18.199
2003-08-01,19.48
2003-09-01,17.986
2003-10-01,18.466
2003-11-01,21.828
2003-12-01,26.365
2004-01-01,17.826
2004-02-01,18.626
2004-03-01,18.786
2004-04-01,17.345
2004-05-01,18.733
2004-06-01,17.826
2004-07-01,20.281
2004-08-01,19.854
2004-09-01,19.96
2004-10-01,20.761
2004-11-01,22.896
2004-12-01,27.539
