ds,y
2006-01-01,28.726
2006-04-01,29.213
2006-07-01,23.198
2006-10-01,30.64
2007-01-01,42.724
2007-04-01,36.219
2007-07-01,24.59
2007-10-01,47.352
2008-01-01,32.899
2008-04-01,16.683
2008-07-01,22.064
2008-10-01,46.869
2009-01-01,38.223
2009-04-01,28.602
2009-07-01,30.528
2009-10-01,40.339
2010-01-01,34.773
2010-04-01,21.469
2010-07-01,21.626
2010-10-01,27.985
2011-01-01,37.164
2011-04-01,27.647
2011-07-01,34.673
2011-10-01,30.932
2012-01-01,28.077
2012-04-01,15.616
2012-07-01,20.722
2012-10-01,22.55
2013-01-01,27.396
2013-04-01,21.42
2013-07-01,14.92
2013-10-01,26.719
2014-01-01,22.715
2014-04-01,19.417
2014-07-01,23.918
2014-10-01,31.759
2015-01-01,20.871
2015-04-01,29.5
2015-07-01,30.287
2015-10-01,27.973
2016-01-01,27.196
2016-04-01,22.9
2016-07-01,21.555
2016-10-01,23.211
2017-01-01,23.022
2017-04-01,21.128
2017-07-01,19.468
2017-10-01,29.026
2018-01-01,35.14
2018-04-01,31.209
2018-07-01,17.82
2018-10-01,39.407
2019-01-01,25.347
2019-04-01,24.307
2019-07-01,31.603
2019-10-01,28.089
2020-01-01,23.382
2020-04-01,26.07
