ds,y
1989-01-01,228.909
1989-02-01,230.366
1989-03-01,231.824
1989-04-01,233.475
1989-05-01,234.447
1989-06-01,237.362
1989-07-01,234.836
1989-08-01,239.402
1989-09-01,240.374
1989-10-01,240.86
1989-11-01,240.471
1989-12-01,239.985
1990-01-01,239.111
1990-02-01,238.528
1990-03-01,238.625
1990-04-01,237.459
1990-05-01,236.002
1990-06-01,235.419
1990-07-01,230.949
1990-08-01,233.475
1990-09-01,233.281
1990-10-01,234.253
1990-11-01,233.378
1990-12-01,231.629
1991-01-01,227.84
1991-02-01,229.103
1991-03-01,229.298
1991-04-01,229.492
1991-05-01,230.366
1991-06-01,231.435
1991-07-01,228.229
1991-08-01,231.921
1991-09-01,231.532
1991-10-01,232.115
1991-11-01,231.824
1991-12-01,230.852
1992-01-01,229.492
1992-02-01,229.686
1992-03-01,229.881
1992-04-01,229.2
1992-05-01,230.075
1992-06-01,230.366
1992-07-01,227.646
1992-08-01,230.269
1992-09-01,230.172
1992-10-01,230.172
1992-11-01,229.783
1992-12-01,229.2
1993-01-01,227.257
1993-02-01,227.354
1993-03-01,227.84
1993-04-01,228.52
1993-05-01,229.006
1993-06-01,229.492
1993-07-01,225.508
1993-08-01,229.2
1993-09-01,229.2
1993-10-01,228.035
1993-11-01,226.48
1993-12-01,227.937
1994-01-01,225.314
1994-02-01,224.148
1994-03-01,224.634
1994-04-01,224.925
1994-05-01,225.897
1994-06-01,227.257
1994-07-01,226.188
1994-08-01,226.48
1994-09-01,226.286
1994-10-01,225.994
1994-11-01,226.188
1994-12-01,225.8
1995-01-01,221.913
1995-02-01,223.371
1995-03-01,223.954
1995-04-01,224.44
1995-05-01,224.245
1995-06-01,224.925
1995-07-01,222.594
1995-08-01,224.342
1995-09-01,222.205
1995-10-01,221.816
1995-11-01,221.622
1995-12-01,221.33
1996-01-01,215.695
1996-02-01,215.89
1996-03-01,214.529
1996-04-01,214.821
1996-05-01,213.266
1996-06-01,214.918
1996-07-01,212.1
1996-08-01,209.574
1996-09-01,208.991
1996-10-01,205.591
1996-11-01,202.287
1996-12-01,202.676
1997-01-01,199.664
1997-02-01,198.304
1997-03-01,198.595
1997-04-01,199.664
1997-05-01,200.733
1997-06-01,201.024
1997-07-01,198.984
1997-08-01,200.344
1997-09-01,197.721
1997-10-01,196.846
1997-11-01,195.68
1997-12-01,193.64
1998-01-01,187.713
1998-02-01,188.879
1998-03-01,189.656
1998-04-01,188.296
1998-05-01,186.936
1998-06-01,186.936
1998-07-01,182.078
1998-08-01,175.762
1998-09-01,176.151
1998-10-01,174.888
1998-11-01,175.86
1998-12-01,175.374
1999-01-01,175.568
1999-02-01,174.985
1999-03-01,179.843
1999-04-01,182.661
1999-05-01,184.118
1999-06-01,182.661
1999-07-01,179.746
1999-08-01,177.9
1999-09-01,175.277
1999-10-01,175.374
1999-11-01,174.597
1999-12-01,173.333
2000-01-01,171.682
2000-02-01,171.196
2000-03-01,173.722
2000-04-01,174.597
2000-05-01,175.471
2000-06-01,173.431
2000-07-01,171.487
2000-08-01,169.739
2000-09-01,168.864
2000-10-01,170.03
2000-11-01,169.058
2000-12-01,167.31
2001-01-01,167.795
2001-02-01,166.532
2001-03-01,164.686
2001-04-01,162.743
2001-05-01,162.549
2001-06-01,162.84
2001-07-01,162.646
2001-08-01,161.188
2001-09-01,158.954
2001-10-01,159.342
2001-11-01,156.913
2001-12-01,156.913
2002-01-01,157.011
2002-02-01,155.942
2002-03-01,155.747
2002-04-01,156.233
2002-05-01,153.999
2002-06-01,154.193
2002-07-01,152.25
2002-08-01,151.764
2002-09-01,150.112
2002-10-01,150.307
2002-11-01,150.792
2002-12-01,149.724
2003-01-01,146.809
2003-02-01,145.546
2003-03-01,147.1
2003-04-01,147.1
2003-05-01,145.74
2003-06-01,143.311
2003-07-01,141.854
2003-08-01,140.688
2003-09-01,140.979
2003-10-01,140.105
2003-11-01,139.619
2003-12-01,137.481
2004-01-01,132.818
2004-02-01,128.737
2004-03-01,124.073
2004-04-01,121.741
2004-05-01,121.061
2004-06-01,121.159
2004-07-01,119.312
2004-08-01,119.118
2004-09-01,120.576
2004-10-01,119.507
2004-11-01,119.215
2004-12-01,117.661
2005-01-01,115.329
2005-02-01,114.746
2005-03-01,114.454
2005-04-01,115.329
2005-05-01,116.592
2005-06-01,117.466
2005-07-01,116.981
2005-08-01,115.62
2005-09-01,116.203
2005-10-01,115.718
2005-11-01,114.454
2005-12-01,114.552
2006-01-01,112.706
2006-02-01,112.9
2006-03-01,113.969
2006-04-01,114.454
2006-05-01,115.232
2006-06-01,116.883
2006-07-01,115.912
2006-08-01,115.718
2006-09-01,112.997
2006-10-01,113.483
2006-11-01,113.969
2006-12-01,112.9
2007-01-01,110.374
2007-02-01,111.248
2007-03-01,112.22
2007-04-01,113.483
2007-05-01,114.066
2007-06-01,114.746
2007-07-01,113.191
2007-08-01,113.58
2007-09-01,112.511
2007-10-01,113.386
2007-11-01,113.191
2007-12-01,113.774
2008-01-01,112.22
2008-02-01,111.345
2008-03-01,110.957
2008-04-01,110.082
2008-05-01,109.985
2008-06-01,111.637
2008-07-01,110.471
2008-08-01,111.831
2008-09-01,111.248
2008-10-01,110.86
2008-11-01,111.928
2008-12-01,111.151
2009-01-01,108.528
2009-02-01,108.722
2009-03-01,109.985
2009-04-01,109.888
2009-05-01,110.179
2009-06-01,110.957
2009-07-01,113.289
2009-08-01,114.454
2009-09-01,112.803
