ds,y
2002-10-01,15987.584
2002-11-01,15910.029
2002-12-01,15821.261
2003-01-01,15607.283
2003-02-01,15584.858
2003-03-01,15582.989
2003-04-01,15635.315
2003-05-01,15693.248
2003-06-01,15807.245
2003-07-01,15710.067
2003-08-01,15796.032
2003-09-01,15804.442
2003-10-01,15739.968
2003-11-01,15718.477
2003-12-01,15680.166
2004-01-01,15568.038
2004-02-01,15577.382
2004-03-01,15586.726
2004-04-01,15589.53
2004-05-01,15635.315
2004-06-01,15729.69
2004-07-01,15628.774
2004-08-01,15747.443
2004-09-01,15782.95
2004-10-01,15762.394
2004-11-01,15750.246
2004-12-01,15720.346
2005-01-01,15625.037
2005-02-01,15645.594
2005-03-01,15696.986
2005-04-01,15749.312
2005-05-01,15821.261
2005-06-01,15981.043
2005-07-01,15876.39
2005-08-01,16055.795
2005-09-01,16092.237
2005-10-01,16095.974
2005-11-01,16107.187
2005-12-01,16099.712
2006-01-01,16009.075
2006-02-01,16032.435
2006-03-01,16050.189
2006-04-01,16077.286
2006-05-01,16103.45
2006-06-01,16204.365
2006-07-01,16050.189
2006-08-01,16197.824
2006-09-01,16203.43
2006-10-01,16155.776
2006-11-01,16116.531
2006-12-01,16119.334
2007-01-01,15962.355
2007-02-01,16006.272
2007-03-01,15990.387
2007-04-01,16012.813
2007-05-01,16081.024
2007-06-01,16186.611
2007-07-01,16053.926
2007-08-01,16223.053
2007-09-01,16209.971
2007-10-01,16195.955
2007-11-01,16176.333
2007-12-01,16172.595
2008-01-01,16055.795
2008-02-01,16093.171
2008-03-01,16135.219
2008-04-01,16153.907
2008-05-01,16217.446
2008-06-01,16337.984
2008-07-01,16213.709
2008-08-01,16401.523
2008-09-01,16398.72
2008-10-01,16410.867
2008-11-01,16442.637
2008-12-01,16457.587
2009-01-01,16362.278
2009-02-01,16385.638
2009-03-01,16416.474
2009-04-01,16426.752
2009-05-01,16451.981
2009-06-01,16547.29
2009-07-01,16262.298
2009-08-01,16482.816
2009-09-01,16475.341
2009-10-01,16399.654
2009-11-01,16353.869
2009-12-01,16328.64
2010-01-01,16187.546
2010-02-01,16169.792
2010-03-01,16167.923
2010-04-01,16156.71
2010-05-01,16180.07
2010-06-01,16252.954
2010-07-01,16167.923
2010-08-01,16223.987
2010-09-01,16196.89
2010-10-01,16177.267
2010-11-01,16181.005
2010-12-01,16164.186
2011-01-01,16052.058
2011-02-01,16064.205
2011-03-01,16105.318
2011-04-01,16117.466
2011-05-01,16129.613
2011-06-01,16261.363
2011-07-01,16181.939
2011-08-01,16225.856
2011-09-01,16144.563
2011-10-01,16119.334
2011-11-01,16095.974
2011-12-01,16071.68
2012-01-01,15878.259
2012-02-01,15822.195
2012-03-01,15762.394
2012-04-01,15651.2
2012-05-01,15554.022
2012-06-01,15525.056
2012-07-01,15317.619
2012-08-01,15260.621
2012-09-01,15124.198
2012-10-01,14959.744
2012-11-01,14807.437
2012-12-01,14691.571
2013-01-01,14459.84
2013-02-01,14402.842
2013-03-01,14366.4
2013-04-01,14334.63
2013-05-01,14329.024
2013-06-01,14388.826
2013-07-01,14272.026
2013-08-01,14270.157
2013-09-01,14197.274
2013-10-01,14105.702
2013-11-01,14024.41
2013-12-01,13940.314
2014-01-01,13776.794
2014-02-01,13711.386
2014-03-01,13692.698
2014-04-01,13607.667
2014-05-01,13601.126
2014-06-01,13635.699
2014-07-01,13485.261
2014-08-01,13517.965
2014-09-01,13473.114
2014-10-01,13425.459
2014-11-01,13398.362
2014-12-01,13365.658
2015-01-01,13241.382
2015-02-01,13242.317
2015-03-01,13287.168
2015-04-01,13331.085
2015-05-01,13396.493
2015-06-01,13487.13
2015-07-01,13427.328
2015-08-01,13484.326
2015-09-01,13441.344
2015-10-01,13417.984
2015-11-01,13390.886
2015-12-01,13367.526
2016-01-01,13214.285
2016-02-01,13238.579
2016-03-01,13268.48
2016-04-01,13271.283
2016-05-01,13311.462
2016-06-01,13383.411
2016-07-01,13315.2
2016-08-01,13350.707
2016-09-01,13300.25
2016-10-01,13290.906
2016-11-01,13285.299
2016-12-01,13289.037
2017-01-01,13168.499
2017-02-01,13178.778
2017-03-01,13213.35
2017-04-01,13242.317
2017-05-01,13256.333
2017-06-01,13364.723
2017-07-01,13282.496
2017-08-01,13311.462
2017-09-01,13261.005
2017-10-01,13188.122
2017-11-01,13137.664
2017-12-01,13115.238
2018-01-01,12986.291
2018-02-01,12975.078
2018-03-01,12976.013
2018-04-01,12964.8
2018-05-01,12989.094
2018-06-01,13069.453
2018-07-01,13005.914
2018-08-01,13013.389
2018-09-01,12975.078
2018-10-01,12905.933
2018-11-01,12890.048
2018-12-01,12872.294
2019-01-01,12725.594
2019-02-01,12687.283
2019-03-01,12669.53
2019-04-01,12629.35
2019-05-01,12642.432
2019-06-01,12689.152
2019-07-01,12588.237
2019-08-01,12576.09
2019-09-01,12498.534
2019-10-01,12347.162
2019-11-01,12226.624
2019-12-01,12037.875
2020-01-01,11633.28
2020-02-01,11461.35
2020-03-01,11317.453
2020-04-01,11172.621
2020-05-01,11053.018
2020-06-01,11017.51
2020-07-01,10936.218
2020-08-01,10953.037
2020-09-01,10918.464
2020-10-01,10845.581
2020-11-01,10792.32
2020-12-01,10739.994
2021-01-01,10611.981
2021-02-01,10596.096
2021-03-01,10621.325
2021-04-01,10675.52
2021-05-01,10744.666
2021-06-01,10851.187
2021-07-01,10852.122
2021-08-01,10886.694
2021-09-01,10874.547
2021-10-01,10856.794
2021-11-01,10848.384
2021-12-01,10842.778
2022-01-01,10768.026
2022-02-01,10784.845
2022-03-01,10827.827
2022-04-01,10876.416
2022-05-01,10923.136
2022-06-01,11026.854
2022-07-01,11038.067
2022-08-01,11084.787
2022-09-01,11063.296
2022-10-01,11050.214
2022-11-01,11016.576
2022-12-01,11025.92
2023-01-01,10965.184
2023-02-01,10980.134
2023-03-01,11046.477
2023-04-01,11074.509
2023-05-01,11131.507
2023-06-01,11235.226
2023-07-01,11247.373
2023-08-01,11266.995
2023-09-01,11234.291
2023-10-01,11207.194
2023-11-01,11169.818
2023-12-01,11173.555
2024-01-01,11100.672
2024-02-01,11120.294
2024-03-01,11152.064
2024-04-01,11161.408
2024-05-01,11208.128
2024-06-01,11293.158
2024-07-01,11263.258
2024-08-01,11312.781
2024-09-01,11297.83
