ds,y
1983-10-01,660.715
1983-11-01,653.215
1983-12-01,640.281
1984-01-01,611.433
1984-02-01,610.664
1984-03-01,622.059
1984-04-01,641.724
1984-05-01,661.965
1984-06-01,685.092
1984-07-01,694.323
1984-08-01,698.266
1984-09-01,690.381
1984-10-01,688.842
1984-11-01,684.563
1984-12-01,674.13
1985-01-01,646.099
1985-02-01,645.522
1985-03-01,653.311
1985-04-01,670.139
1985-05-01,687.881
1985-06-01,707.641
1985-07-01,719.902
1985-08-01,721.008
1985-09-01,710.959
1985-10-01,711.969
1985-11-01,707.641
1985-12-01,699.612
1986-01-01,675.812
1986-02-01,672.158
1986-03-01,676.678
1986-04-01,699.708
1986-05-01,718.315
1986-06-01,745.817
1986-07-01,761.683
1986-08-01,763.703
1986-09-01,749.952
1986-10-01,754.279
1986-11-01,747.596
1986-12-01,739.567
1987-01-01,713.94
1987-02-01,715.575
1987-03-01,720.094
1987-04-01,739.567
1987-05-01,756.635
1987-06-01,783.319
1987-07-01,798.416
1987-08-01,795.436
1987-09-01,786.252
1987-10-01,786.541
1987-11-01,783.416
1987-12-01,773.126
1988-01-01,755.433
1988-02-01,751.779
1988-03-01,763.51
1988-04-01,770.915
1988-05-01,784.906
1988-06-01,807.84
1988-07-01,816.879
1988-08-01,813.225
1988-09-01,800.484
1988-10-01,799.282
1988-11-01,785.868
1988-12-01,768.751
1989-01-01,735.768
1989-02-01,734.23
1989-03-01,735.432
1989-04-01,744.855
1989-05-01,762.597
1989-06-01,784.185
1989-07-01,793.416
1989-08-01,790.099
1989-09-01,779.136
1989-10-01,778.127
1989-11-01,769.713
1989-12-01,759.952
1990-01-01,731.008
1990-02-01,725.912
1990-03-01,730.143
1990-04-01,736.393
1990-05-01,755.385
1990-06-01,774.569
1990-07-01,778.752
1990-08-01,783.752
1990-09-01,774.28
1990-10-01,771.299
1990-11-01,769.809
1990-12-01,754.519
1991-01-01,728.124
1991-02-01,721.633
1991-03-01,726.296
1991-04-01,740.769
1991-05-01,758.174
1991-06-01,776.204
1991-07-01,776.973
1991-08-01,780.194
1991-09-01,777.117
1991-10-01,776.829
1991-11-01,768.703
1991-12-01,760.914
1992-01-01,738.028
1992-02-01,732.355
1992-03-01,744.134
1992-04-01,756.972
1992-05-01,780.29
1992-06-01,801.205
1992-07-01,810.965
1992-08-01,809.379
1992-09-01,807.696
1992-10-01,814.619
1992-11-01,808.706
1992-12-01,800.292
1993-01-01,776.588
1993-02-01,777.069
1993-03-01,782.55
1993-04-01,796.974
1993-05-01,814.379
1993-06-01,836.977
1993-07-01,844.285
1993-08-01,850.776
1993-09-01,844.862
1993-10-01,851.208
1993-11-01,853.516
1993-12-01,847.554
1994-01-01,832.553
1994-02-01,830.822
1994-03-01,841.64
1994-04-01,858.228
1994-05-01,872.315
1994-06-01,886.114
1994-07-01,895.202
1994-08-01,895.057
1994-09-01,888.999
1994-10-01,884.816
1994-11-01,869.479
1994-12-01,858.468
1995-01-01,836.544
1995-02-01,827.168
1995-03-01,836.352
1995-04-01,839.91
1995-05-01,857.555
1995-06-01,880.729
1995-07-01,880.152
1995-08-01,875.248
1995-09-01,869.046
1995-10-01,860.488
1995-11-01,844.573
1995-12-01,828.611
1996-01-01,800.82
1996-02-01,788.175
1996-03-01,793.657
1996-04-01,793.32
1996-05-01,802.455
1996-06-01,811.158
1996-07-01,812.456
1996-08-01,810.148
1996-09-01,789.329
1996-10-01,779.761
1996-11-01,755.577
1996-12-01,735.336
1997-01-01,686.967
1997-02-01,667.398
1997-03-01,655.763
1997-04-01,652.349
1997-05-01,660.379
1997-06-01,665.523
1997-07-01,664.466
1997-08-01,660.715
1997-09-01,644.512
1997-10-01,639.127
1997-11-01,626.146
1997-12-01,606.866
1998-01-01,570.854
1998-02-01,559.026
1998-03-01,570.373
1998-04-01,583.499
1998-05-01,595.086
1998-06-01,607.106
1998-07-01,610.376
1998-08-01,613.068
1998-09-01,605.616
1998-10-01,602.539
1998-11-01,595.134
1998-12-01,582.056
1999-01-01,554.266
1999-02-01,548.641
1999-03-01,558.738
1999-04-01,568.498
1999-05-01,580.951
1999-06-01,602.058
1999-07-01,606.577
1999-08-01,612.635
1999-09-01,611.77
1999-10-01,612.395
1999-11-01,602.827
1999-12-01,591.384
2000-01-01,567.536
2000-02-01,565.95
2000-03-01,568.065
2000-04-01,576.143
2000-05-01,591.721
2000-06-01,608.26
2000-07-01,615.184
2000-08-01,617.395
2000-09-01,612.443
2000-10-01,615.664
2000-11-01,611.722
2000-12-01,605.279
2001-01-01,581.143
2001-02-01,583.018
2001-03-01,589.509
2001-04-01,599.461
2001-05-01,613.453
2001-06-01,628.742
2001-07-01,637.348
2001-08-01,637.252
2001-09-01,636.387
2001-10-01,643.503
2001-11-01,639.272
2001-12-01,630.233
2002-01-01,611.722
2002-02-01,609.606
2002-03-01,617.059
2002-04-01,632.204
2002-05-01,644.657
2002-06-01,664.033
2002-07-01,677.255
2002-08-01,680.332
2002-09-01,679.13
2002-10-01,679.755
2002-11-01,673.457
2002-12-01,665.62
2003-01-01,649.945
2003-02-01,647.301
2003-03-01,655.138
2003-04-01,663.696
2003-05-01,680.38
2003-06-01,695.862
2003-07-01,707.016
2003-08-01,707.882
2003-09-01,701.103
2003-10-01,704.276
2003-11-01,703.458
2003-12-01,698.362
2004-01-01,680.332
2004-02-01,680.476
2004-03-01,692.544
2004-04-01,705.574
2004-05-01,715.478
2004-06-01,731.922
2004-07-01,740.095
2004-08-01,739.615
2004-09-01,737.066
2004-10-01,740.192
2004-11-01,730.96
2004-12-01,720.623
2005-01-01,705.67
2005-02-01,708.94
2005-03-01,715.094
2005-04-01,725.287
2005-05-01,739.711
2005-06-01,756.539
2005-07-01,761.924
2005-08-01,764.857
2005-09-01,760.001
