ds,y
1977-10-01,872.948
1977-11-01,868.08
1977-12-01,861.86
1978-01-01,854.559
1978-02-01,847.257
1978-03-01,838.333
1978-04-01,836.71
1978-05-01,835.088
1978-06-01,829.95
1978-07-01,825.352
1978-08-01,816.969
1978-09-01,809.938
1978-10-01,807.504
1978-11-01,809.938
1978-12-01,808.856
1979-01-01,808.856
1979-02-01,806.152
1979-03-01,807.504
1979-04-01,807.504
1979-05-01,809.127
1979-06-01,816.428
1979-07-01,813.724
1979-08-01,806.693
1979-09-01,803.177
1979-10-01,793.171
1979-11-01,795.605
1979-12-01,793.442
1980-01-01,792.901
1980-02-01,790.737
1980-03-01,786.951
1980-04-01,788.303
1980-05-01,788.574
1980-06-01,797.498
1980-07-01,799.932
1980-08-01,800.202
1980-09-01,803.448
1980-10-01,809.938
1980-11-01,814.535
1980-12-01,818.592
1981-01-01,819.944
1981-02-01,817.51
1981-03-01,820.755
1981-04-01,821.296
1981-05-01,825.352
1981-06-01,830.22
1981-07-01,826.705
1981-08-01,825.623
1981-09-01,820.755
1981-10-01,822.918
1981-11-01,825.352
1981-12-01,827.516
1982-01-01,828.868
1982-02-01,831.572
1982-03-01,837.792
1982-04-01,842.66
1982-05-01,852.395
1982-06-01,860.779
1982-07-01,867.269
1982-08-01,870.785
1982-09-01,865.106
1982-10-01,873.489
1982-11-01,870.244
1982-12-01,876.193
1983-01-01,875.652
1983-02-01,874.841
1983-03-01,875.382
1983-04-01,870.514
1983-05-01,872.678
1983-06-01,874.841
1983-07-01,875.652
1983-08-01,871.866
1983-09-01,869.703
1983-10-01,866.999
1983-11-01,864.565
1983-12-01,861.32
1984-01-01,842.66
1984-02-01,840.767
1984-03-01,839.415
1984-04-01,842.66
1984-05-01,842.389
1984-06-01,852.936
1984-07-01,842.93
1984-08-01,836.44
1984-09-01,835.358
1984-10-01,829.679
1984-11-01,828.598
1984-12-01,828.327
1985-01-01,831.302
1985-02-01,820.755
1985-03-01,818.051
1985-04-01,801.555
1985-05-01,799.932
1985-06-01,803.718
1985-07-01,821.566
1985-08-01,826.164
1985-09-01,819.944
1985-10-01,818.592
1985-11-01,815.887
1985-12-01,820.755
1986-01-01,829.409
1986-02-01,823.459
1986-03-01,813.183
1986-04-01,802.636
1986-05-01,802.636
1986-06-01,785.599
1986-07-01,768.021
1986-08-01,755.311
1986-09-01,738.815
1986-10-01,732.054
1986-11-01,720.155
1986-12-01,715.017
1987-01-01,708.256
1987-02-01,700.414
1987-03-01,696.628
1987-04-01,688.244
1987-05-01,683.647
1987-06-01,679.861
1987-07-01,675.534
1987-08-01,660.39
1987-09-01,655.793
1987-10-01,653.9
1987-11-01,654.981
1987-12-01,656.334
1988-01-01,634.699
1988-02-01,624.964
1988-03-01,625.775
1988-04-01,621.719
1988-05-01,614.958
1988-06-01,615.769
1988-07-01,603.6
1988-08-01,593.053
1988-09-01,589.267
1988-10-01,585.211
1988-11-01,582.506
1988-12-01,578.45
1989-01-01,577.909
1989-02-01,576.557
1989-03-01,576.827
1989-04-01,573.852
