ds,y
2004-01-01,5.668
2004-02-01,5.532
2004-03-01,6.192
2004-04-01,5.668
2004-05-01,5.474
2004-06-01,5.26
2004-07-01,6.095
2004-08-01,5.687
2004-09-01,6.231
2004-10-01,6.037
2004-11-01,6.696
2004-12-01,10.87
2005-01-01,6.541
2005-02-01,5.707
2005-03-01,6.425
2005-04-01,5.435
2005-05-01,5.338
2005-06-01,5.435
2005-07-01,5.415
2005-08-01,5.745
2005-09-01,5.92
2005-10-01,6.231
2005-11-01,6.91
2005-12-01,10.773
2006-01-01,6.289
2006-02-01,6.269
2006-03-01,6.464
2006-04-01,6.502
2006-05-01,6.444
2006-06-01,5.726
2006-07-01,6.231
2006-08-01,6.871
2006-09-01,6.269
2006-10-01,7.026
2006-11-01,7.318
2006-12-01,11.238
2007-01-01,7.259
2007-02-01,6.658
2007-03-01,7.473
2007-04-01,7.182
2007-05-01,7.589
2007-06-01,6.813
2007-07-01,7.143
2007-08-01,7.065
2007-09-01,6.968
2007-10-01,7.706
2007-11-01,8.094
2007-12-01,13.102
2008-01-01,8.055
2008-02-01,7.395
2008-03-01,7.628
2008-04-01,7.88
2008-05-01,8.055
2008-06-01,7.512
2008-07-01,8.036
2008-08-01,7.783
2008-09-01,8.055
2008-10-01,9.22
2008-11-01,8.696
2008-12-01,14.111
2009-01-01,8.424
2009-02-01,8.094
2009-03-01,8.715
2009-04-01,8.967
2009-05-01,8.036
2009-06-01,8.21
2009-07-01,8.929
2009-08-01,8.075
2009-09-01,8.832
2009-10-01,9.472
2009-11-01,10.016
2009-12-01,15.877
2010-01-01,9.317
2010-02-01,9.53
2010-03-01,10.132
2010-04-01,10.113
2010-05-01,9.744
2010-06-01,9.686
2010-07-01,9.026
2010-08-01,9.919
2010-09-01,10.365
2010-10-01,9.938
2010-11-01,10.656
2010-12-01,16.285
2011-01-01,9.239
2011-02-01,8.657
2011-03-01,10.074
2011-04-01,9.278
2011-05-01,9.414
2011-06-01,8.793
2011-07-01,9.433
2011-08-01,9.919
2011-09-01,9.88
2011-10-01,10.462
2011-11-01,11.005
2011-12-01,15.528
2012-01-01,11.607
2012-02-01,10.676
2012-03-01,12.694
2012-04-01,11.083
2012-05-01,11.064
2012-06-01,10.307
2012-07-01,11.103
2012-08-01,11.491
2012-09-01,11.141
2012-10-01,11.743
2012-11-01,13.121
2012-12-01,18.556
2013-01-01,12.675
2013-02-01,11.724
2013-03-01,12.616
2013-04-01,12.5
2013-05-01,12.345
2013-06-01,11.51
2013-07-01,12.442
2013-08-01,12.228
2013-09-01,12.112
2013-10-01,13.005
2013-11-01,13.238
2013-12-01,19.953
2014-01-01,12.616
2014-02-01,11.685
2014-03-01,12.442
2014-04-01,12.519
2014-05-01,11.627
2014-06-01,11.743
2014-07-01,12.869
2014-08-01,12.946
2014-09-01,12.539
2014-10-01,13.451
2014-11-01,13.49
2014-12-01,23.719
2015-01-01,12.616
2015-02-01,13.315
2015-03-01,14.732
2015-04-01,14.344
2015-05-01,13.393
2015-06-01,14.15
2015-07-01,14.499
2015-08-01,15.47
2015-09-01,15.897
2015-10-01,15.489
2015-11-01,16.751
2015-12-01,25.252
2016-01-01,15.858
2016-02-01,15.528
2016-03-01,17.12
2016-04-01,15.897
2016-05-01,15.936
2016-06-01,16.673
2016-07-01,15.392
2016-08-01,16.576
