ds,y
1999-10-01,410.535
1999-11-01,409.328
1999-12-01,412.948
2000-01-01,407.902
2000-02-01,408.231
2000-03-01,408.779
2000-04-01,413.387
2000-05-01,414.375
2000-06-01,419.202
2000-07-01,423.81
2000-08-01,420.628
2000-09-01,423.481
2000-10-01,427.101
2000-11-01,428.527
2000-12-01,430.392
2001-01-01,426.662
2001-02-01,429.515
2001-03-01,435.22
2001-04-01,435.439
2001-05-01,440.047
2001-06-01,442.131
2001-07-01,450.798
2001-08-01,447.178
2001-09-01,451.786
2001-10-01,453.761
2001-11-01,454.967
2001-12-01,460.233
2002-01-01,460.672
2002-02-01,459.685
2002-03-01,463.415
2002-04-01,466.158
2002-05-01,468.023
2002-06-01,470.327
2002-07-01,471.753
2002-08-01,479.652
2002-09-01,482.175
2002-10-01,480.42
2002-11-01,482.614
2002-12-01,481.627
2003-01-01,475.154
2003-02-01,474.715
2003-03-01,477.677
2003-04-01,480.969
2003-05-01,483.382
2003-06-01,486.674
2003-07-01,493.256
2003-08-01,495.56
2003-09-01,496.986
2003-10-01,498.632
2003-11-01,502.472
2003-12-01,504.008
2004-01-01,503.898
2004-02-01,506.75
2004-03-01,509.054
2004-04-01,514.43
2004-05-01,516.844
2004-06-01,518.38
2004-07-01,521.89
2004-08-01,524.524
2004-09-01,523.975
2004-10-01,529.351
2004-11-01,530.667
2004-12-01,532.752
2005-01-01,525.291
2005-02-01,532.532
2005-03-01,534.178
2005-04-01,534.068
2005-05-01,539.773
2005-06-01,542.077
2005-07-01,548.769
2005-08-01,552.5
2005-09-01,552.719
2005-10-01,557.985
2005-11-01,559.74
2005-12-01,561.167
2006-01-01,555.133
2006-02-01,557.437
2006-03-01,555.352
2006-04-01,560.947
2006-05-01,564.897
2006-06-01,567.31
2006-07-01,574.88
2006-08-01,576.636
2006-09-01,576.307
2006-10-01,576.965
2006-11-01,576.087
2006-12-01,579.049
2007-01-01,576.636
2007-02-01,582.56
2007-03-01,581.024
2007-04-01,586.181
2007-05-01,582.012
2007-06-01,585.303
2007-07-01,592.105
2007-08-01,596.713
2007-09-01,594.738
2007-10-01,599.894
2007-11-01,595.396
2007-12-01,602.308
2008-01-01,595.396
2008-02-01,594.189
2008-03-01,599.126
2008-04-01,598.139
2008-05-01,590.679
2008-06-01,594.299
2008-07-01,594.628
2008-08-01,595.835
2008-09-01,591.227
2008-10-01,586.4
2008-11-01,581.682
2008-12-01,577.184
2009-01-01,572.247
2009-02-01,568.078
2009-03-01,567.64
2009-04-01,572.467
2009-05-01,573.454
2009-06-01,580.256
2009-07-01,580.914
2009-08-01,582.012
2009-09-01,575.978
2009-10-01,578.72
2009-11-01,576.087
