ds,y
1988-01-01,688.812
1988-04-01,278.618
1988-07-01,264.354
1988-10-01,340.232
1989-01-01,744.37
1989-04-01,520.987
1989-07-01,244.655
1989-10-01,364.234
1990-01-01,849.015
1990-04-01,313.13
1990-07-01,252.738
1990-10-01,491.698
1991-01-01,616.527
1991-04-01,272.725
1991-07-01,179.365
1991-10-01,512.859
1992-01-01,779.942
1992-04-01,396.19
1992-07-01,202.097
1992-10-01,561.288
1993-01-01,866.047
1993-04-01,242.419
1993-07-01,226.451
1993-10-01,373.145
1994-01-01,945.173
1994-04-01,321.756
1994-07-01,314.901
1994-10-01,576.566
1995-01-01,939.734
1995-04-01,260.84
1995-07-01,236.479
1995-10-01,441.209
1996-01-01,802.789
1996-04-01,340.813
1996-07-01,302.892
1996-10-01,315.463
1997-01-01,595.384
1997-04-01,357.99
1997-07-01,214.338
1997-10-01,458.444
1998-01-01,622.572
1998-04-01,345.513
1998-07-01,246.332
1998-10-01,436.701
1999-01-01,905.973
1999-04-01,388.922
1999-07-01,288.103
1999-10-01,408.438
2000-01-01,641.46
2000-04-01,473.281
2000-07-01,164.093
2000-10-01,481.241
2001-01-01,848.877
2001-04-01,422.993
2001-07-01,189.253
2001-10-01,415.166
