ds,y
2013-01-01,1409.116
2013-04-01,1128.585
2013-07-01,1615.982
2013-10-01,1723.287
2014-01-01,946.769
2014-04-01,1196.556
2014-07-01,1323.895
2014-10-01,951.793
2015-01-01,1268.268
2015-04-01,1131.569
2015-07-01,1334.111
2015-10-01,1418.219
2016-01-01,1069.461
2016-04-01,1797.41
2016-07-01,1152.838
2016-10-01,1352.497
2017-01-01,1300.931
2017-04-01,1173.75
2017-07-01,1615.674
2017-10-01,1641.827
2018-01-01,997.434
2018-04-01,1394.901
2018-07-01,1151.111
2018-10-01,1248.407
2019-01-01,1186.933
2019-04-01,1154.163
2019-07-01,1221.993
2019-10-01,1032.037
2020-01-01,1006.026
2020-04-01,1223.081
2020-07-01,1060.907
2020-10-01,1164.836
2021-01-01,1001.682
2021-04-01,1200.324
2021-07-01,1005.02
2021-10-01,1314.279
2022-01-01,1044.872
2022-04-01,1108.91
2022-07-01,1028.068
2022-10-01,1012.745
2023-01-01,684.335
2023-04-01,1214.335
2023-07-01,1090.635
2023-10-01,1096.244
2024-01-01,1145.696
2024-04-01,1072.588
2024-07-01,1126.912
2024-10-01,1319.137
2025-01-01,1026.862
2025-04-01,994.689
2025-07-01,1117.529
2025-10-01,1139.029
2026-01-01,957.713
2026-04-01,1311.686
2026-07-01,987.973
2026-10-01,1314.273
2027-01-01,874.605
2027-04-01,1514.706
2027-07-01,1051.641
2027-10-01,1009.319
2028-01-01,726.516
2028-04-01,1214.094
2028-07-01,1267.892
2028-10-01,1333.024
2029-01-01,1144.074
2029-04-01,1208.964
