ds,y
2006-10-01,1075.949
2006-11-01,1094.617
2006-12-01,1121.891
2007-01-01,1058.735
2007-02-01,1085.161
2007-03-01,1069.16
2007-04-01,1079.828
2007-05-01,1114.497
2007-06-01,1117.406
2007-07-01,1113.406
2007-08-01,1118.012
2007-09-01,1106.375
2007-10-01,1118.133
2007-11-01,1135.347
2007-12-01,1167.712
2008-01-01,1108.678
2008-02-01,1127.71
2008-03-01,1106.132
2008-04-01,1129.286
2008-05-01,1160.318
2008-06-01,1158.621
2008-07-01,1163.591
2008-08-01,1162.985
2008-09-01,1153.53
2008-10-01,1158.863
2008-11-01,1180.683
2008-12-01,1212.685
2009-01-01,1151.105
2009-02-01,1166.864
2009-03-01,1151.711
2009-04-01,1174.379
2009-05-01,1209.048
2009-06-01,1203.715
2009-07-01,1204.684
2009-08-01,1205.533
2009-09-01,1198.26
2009-10-01,1205.533
2009-11-01,1219.352
2009-12-01,1244.929
2010-01-01,1188.683
2010-02-01,1201.169
2010-03-01,1184.441
2010-04-01,1199.229
2010-05-01,1234.262
2010-06-01,1230.262
2010-07-01,1227.837
2010-08-01,1230.262
2010-09-01,1221.413
2010-10-01,1224.08
2010-11-01,1240.323
2010-12-01,1267.113
2011-01-01,1210.139
2011-02-01,1220.079
2011-03-01,1198.987
2011-04-01,1195.957
2011-05-01,1214.261
2011-06-01,1202.624
2011-07-01,1196.684
2011-08-01,1193.775
2011-09-01,1187.229
2011-10-01,1192.562
2011-11-01,1210.018
2011-12-01,1226.625
2012-01-01,1158.984
2012-02-01,1163.106
2012-03-01,1145.044
2012-04-01,1146.499
2012-05-01,1166.985
2012-06-01,1168.682
2012-07-01,1161.288
2012-08-01,1159.227
2012-09-01,1154.863
2012-10-01,1162.379
2012-11-01,1176.44
2012-12-01,1193.29
2013-01-01,1127.225
2013-02-01,1130.74
2013-03-01,1113.042
2013-04-01,1116.8
2013-05-01,1133.892
2013-06-01,1131.346
2013-07-01,1125.406
2013-08-01,1121.043
2013-09-01,1118.618
2013-10-01,1129.649
2013-11-01,1138.741
2013-12-01,1152.317
2014-01-01,1098.374
2014-02-01,1095.708
2014-03-01,1085.889
2014-04-01,1095.223
2014-05-01,1110.86
2014-06-01,1115.224
2014-07-01,1111.951
2014-08-01,1107.466
2014-09-01,1098.011
2014-10-01,1113.769
2014-11-01,1120.315
2014-12-01,1134.862
2015-01-01,1079.222
2015-02-01,1084.798
2015-03-01,1067.706
2015-04-01,1079.1
2015-05-01,1096.92
2015-06-01,1103.344
2015-07-01,1091.222
2015-08-01,1096.677
2015-09-01,1086.616
2015-10-01,1090.98
2015-11-01,1097.647
2015-12-01,1115.466
2016-01-01,1062.736
2016-02-01,1064.918
2016-03-01,1058.251
2016-04-01,1059.826
2016-05-01,1076.312
2016-06-01,1070.494
2016-07-01,1064.675
2016-08-01,1065.16
2016-09-01,1056.917
2016-10-01,1065.645
2016-11-01,1076.312
2016-12-01,1094.617
2017-01-01,1036.431
2017-02-01,1039.219
