ds,y
2003-01-01,107.939
2003-02-01,92.375
2003-03-01,105.07
2003-04-01,117.477
2003-05-01,110.018
2003-06-01,108.441
2003-07-01,105.07
2003-08-01,99.332
2003-09-01,99.547
2003-10-01,106.648
2003-11-01,111.74
2003-12-01,166.462
2004-01-01,101.627
2004-02-01,84.343
2004-03-01,97.324
2004-04-01,108.441
2004-05-01,109.588
2004-06-01,101.699
2004-07-01,101.842
2004-08-01,95.531
2004-09-01,94.097
2004-10-01,113.389
2004-11-01,110.377
2004-12-01,160.151
2005-01-01,105.787
2005-02-01,85.203
2005-03-01,100.121
2005-04-01,118.41
2005-05-01,117.334
2005-06-01,102.201
2005-07-01,112.887
2005-08-01,105.859
2005-09-01,110.807
2005-10-01,120.203
2005-11-01,125.51
2005-12-01,178.87
2006-01-01,112.17
2006-02-01,98.974
2006-03-01,119.701
2006-04-01,136.196
2006-05-01,139.209
2006-06-01,129.67
2006-07-01,142.364
2006-08-01,130.674
2006-09-01,134.045
2006-10-01,141.575
2006-11-01,153.194
2006-12-01,227.066
2007-01-01,133.041
2007-02-01,121.207
2007-03-01,153.05
2007-04-01,158.501
2007-05-01,156.493
2007-06-01,160.438
2007-07-01,161.083
2007-08-01,156.421
2007-09-01,166.964
2007-10-01,174.28
2007-11-01,180.232
2007-12-01,256.112
2008-01-01,158.501
2008-02-01,135.479
2008-03-01,159.075
2008-04-01,163.522
2008-05-01,179.802
2008-06-01,199.382
2008-07-01,125.869
2008-08-01,136.913
2008-09-01,139.639
2008-10-01,150.253
2008-11-01,176.503
2008-12-01,261.85
2009-01-01,152.692
2009-02-01,135.838
2009-03-01,164.956
2009-04-01,158.716
2009-05-01,164.024
2009-06-01,157.282
2009-07-01,158.358
2009-08-01,152.405
2009-09-01,154.485
2009-10-01,173.347
2009-11-01,181.021
2009-12-01,261.778
2010-01-01,168.112
2010-02-01,148.102
2010-03-01,171.483
2010-04-01,195.939
2010-05-01,203.398
2010-06-01,181.667
2010-07-01,184.966
