ds,y
1991-10-01,193164.204
1991-11-01,193401.896
1991-12-01,193497.363
1992-01-01,189090.308
1992-02-01,190124.856
1992-03-01,191434.113
1992-04-01,193115.496
1992-05-01,195211.867
1992-06-01,197195.236
1992-07-01,197380.325
1992-08-01,198132.368
1992-09-01,197672.57
1992-10-01,198108.989
1992-11-01,198636.978
1992-12-01,198800.635
1993-01-01,194664.394
1993-02-01,195611.268
1993-03-01,197115.356
1993-04-01,199040.276
1993-05-01,201070.405
1993-06-01,202927.135
1993-07-01,203199.897
1993-08-01,203548.642
1993-09-01,203589.557
1993-10-01,204236.392
1993-11-01,204713.726
1993-12-01,205091.696
1994-01-01,200988.576
1994-02-01,201744.517
1994-03-01,202946.618
1994-04-01,204976.746
1994-05-01,206917.253
1994-06-01,208867.501
1994-07-01,208877.243
1994-08-01,209506.544
1994-09-01,209124.677
1994-10-01,209615.649
1994-11-01,210018.947
1994-12-01,210439.78
1995-01-01,205960.638
1995-02-01,207039.996
1995-03-01,208183.648
1995-04-01,210330.675
1995-05-01,211976.988
1995-06-01,214001.272
1995-07-01,214379.242
1995-08-01,214628.625
1995-09-01,214145.446
1995-10-01,214903.335
1995-11-01,215476.135
1995-12-01,215776.173
1996-01-01,211417.826
1996-02-01,211947.764
1996-03-01,213619.405
1996-04-01,215425.479
1996-05-01,216602.252
1996-06-01,218821.366
1996-07-01,218722.003
1996-08-01,218944.109
1996-09-01,218484.31
1996-10-01,218624.588
1996-11-01,219029.834
1996-12-01,218979.178
1997-01-01,214172.722
1997-02-01,214585.762
1997-03-01,215487.825
1997-04-01,216187.265
1997-05-01,217477.039
1997-06-01,218799.935
1997-07-01,218008.925
1997-08-01,217872.544
1997-09-01,216428.854
1997-10-01,215815.139
1997-11-01,215137.131
1997-12-01,214439.64
1998-01-01,209619.545
1998-02-01,209736.443
1998-03-01,210675.524
1998-04-01,211803.59
1998-05-01,213108.951
1998-06-01,214642.263
1998-07-01,214125.963
1998-08-01,214235.068
1998-09-01,213358.333
1998-10-01,213666.164
1998-11-01,213633.043
1998-12-01,212953.087
1999-01-01,208536.29
1999-02-01,208602.533
1999-03-01,209389.646
1999-04-01,210704.748
1999-05-01,212214.681
1999-06-01,213634.992
1999-07-01,213247.28
1999-08-01,213438.213
1999-09-01,212910.224
1999-10-01,213397.299
1999-11-01,213506.404
1999-12-01,213282.349
2000-01-01,209019.469
2000-02-01,209424.715
2000-03-01,211168.444
2000-04-01,213309.626
2000-05-01,215109.855
2000-06-01,216843.842
2000-07-01,216746.427
2000-08-01,216746.427
2000-09-01,216105.436
2000-10-01,216991.912
2000-11-01,217188.691
2000-12-01,216978.274
2001-01-01,212532.254
2001-02-01,213313.522
2001-03-01,214761.109
2001-04-01,217097.121
2001-05-01,218671.347
2001-06-01,220843.702
2001-07-01,220861.236
2001-08-01,221285.966
2001-09-01,220512.491
2001-10-01,221003.462
2001-11-01,221794.472
2001-12-01,221615.228
2002-01-01,217416.642
2002-02-01,218308.963
2002-03-01,220000.088
2002-04-01,221765.248
2002-05-01,223353.112
2002-06-01,225172.824
2002-07-01,225016.96
2002-08-01,225324.792
2002-09-01,224502.609
2002-10-01,224882.528
2002-11-01,225371.551
2002-12-01,225359.861
2003-01-01,220859.288
2003-02-01,221289.862
2003-03-01,222832.916
2003-04-01,224370.125
2003-05-01,226174.25
2003-06-01,227949.152
2003-07-01,227590.664
2003-08-01,227586.768
2003-09-01,226721.723
2003-10-01,227056.83
2003-11-01,227388.041
2003-12-01,227091.9
2004-01-01,222141.269
2004-02-01,222205.563
2004-03-01,223154.385
2004-04-01,224181.14
2004-05-01,225237.118
2004-06-01,226363.235
2004-07-01,225724.193
2004-08-01,225336.481
2004-09-01,223616.132
2004-10-01,223090.091
2004-11-01,221541.193
2004-12-01,219797.464
2005-01-01,213477.179
2005-02-01,212243.905
2005-03-01,211809.434
2005-04-01,211906.849
2005-05-01,212573.168
2005-06-01,213116.744
2005-07-01,212506.926
2005-08-01,212134.801
2005-09-01,210996.993
2005-10-01,210967.769
2005-11-01,210862.561
2005-12-01,210124.155
2006-01-01,205436.545
2006-02-01,205526.167
2006-03-01,206862.701
2006-04-01,208896.726
2006-05-01,210281.967
2006-06-01,211799.693
2006-07-01,211943.867
2006-08-01,212240.009
2006-09-01,211523.034
2006-10-01,212333.527
2006-11-01,212715.394
2006-12-01,212430.942
2007-01-01,207786.195
2007-02-01,208637.602
2007-03-01,210229.363
2007-04-01,212555.633
2007-05-01,214067.514
2007-06-01,215861.898
2007-07-01,215965.158
2007-08-01,216304.163
2007-09-01,215848.26
2007-10-01,216649.012
2007-11-01,217141.932
2007-12-01,217095.172
2008-01-01,212955.035
2008-02-01,213915.547
2008-03-01,215526.791
2008-04-01,217245.192
2008-05-01,218924.626
2008-06-01,220459.886
2008-07-01,220491.059
2008-08-01,220830.064
2008-09-01,220165.693
2008-10-01,220919.685
2008-11-01,221484.692
2008-12-01,221558.728
2009-01-01,216941.257
2009-02-01,218020.615
2009-03-01,219466.254
2009-04-01,221391.174
2009-05-01,223224.524
2009-06-01,224913.7
2009-07-01,225083.202
2009-08-01,225486.5
2009-09-01,224771.474
2009-10-01,225663.796
2009-11-01,226448.961
2009-12-01,226222.958
2010-01-01,221734.075
2010-02-01,222338.048
2010-03-01,223980.465
2010-04-01,226102.163
2010-05-01,227970.583
2010-06-01,229874.072
2010-07-01,230201.386
2010-08-01,230544.287
2010-09-01,229903.297
2010-10-01,230988.5
2010-11-01,231672.353
2010-12-01,231884.718
2011-01-01,227343.23
2011-02-01,228114.757
2011-03-01,229414.273
2011-04-01,231602.214
2011-05-01,233521.29
2011-06-01,235259.173
2011-07-01,235672.213
2011-08-01,235678.058
2011-09-01,234816.909
2011-10-01,236132.012
2011-11-01,236735.985
2011-12-01,236919.125
2012-01-01,232058.116
2012-02-01,232833.54
2012-03-01,234306.455
2012-04-01,236387.239
2012-05-01,237725.721
2012-06-01,239866.903
2012-07-01,240124.078
2012-08-01,240223.442
2012-09-01,239502.571
2012-10-01,240402.685
2012-11-01,241008.607
