ds,y
1987-01-01,109.651
1987-04-01,90.417
1987-07-01,87.273
1987-10-01,55.842
1988-01-01,115.502
1988-04-01,67.242
1988-07-01,81.288
1988-10-01,103.128
1989-01-01,121.225
1989-04-01,61.12
1989-07-01,72.907
1989-10-01,93.308
1990-01-01,99.723
1990-04-01,122.036
1990-07-01,60.041
1990-10-01,136.327
1991-01-01,238.864
1991-04-01,56.451
1991-07-01,90.83
1991-10-01,87.959
1992-01-01,73.853
1992-04-01,78.512
1992-07-01,68.499
1992-10-01,74.54
1993-01-01,148.678
1993-04-01,81.995
1993-07-01,63.238
1993-10-01,109.911
1994-01-01,111.893
1994-04-01,87.431
1994-07-01,99.396
1994-10-01,84.568
1995-01-01,156.198
1995-04-01,82.123
1995-07-01,68.1
1995-10-01,64.148
1996-01-01,156.56
1996-04-01,108.395
1996-07-01,62.852
1996-10-01,77.402
1997-01-01,115.423
1997-04-01,78.046
1997-07-01,58.229
1997-10-01,77.209
1998-01-01,75.21
1998-04-01,103.571
1998-07-01,35.062
1998-10-01,75.174
1999-01-01,95.39
1999-04-01,65.76
1999-07-01,107.571
1999-10-01,91.05
2000-01-01,47.971
2000-04-01,116.312
2000-07-01,76.462
2000-10-01,109.017
2001-01-01,75.464
2001-04-01,128.796
