ds,y
2000-10-01,223.842
2000-11-01,222.326
2000-12-01,218.803
2001-01-01,213.675
2001-02-01,213.542
2001-03-01,217.332
2001-04-01,223.663
2001-05-01,226.963
2001-06-01,230.084
2001-07-01,229.683
2001-08-01,231.378
2001-09-01,231.021
2001-10-01,230.887
2001-11-01,229.683
2001-12-01,225.804
2002-01-01,220.007
2002-02-01,220.81
2002-03-01,224.199
2002-04-01,229.059
2002-05-01,231.065
2002-06-01,234.187
2002-07-01,232.269
2002-08-01,233.295
2002-09-01,232.537
2002-10-01,231.913
2002-11-01,230.441
2002-12-01,225.625
2003-01-01,218.536
2003-02-01,220.498
2003-03-01,223.663
2003-04-01,228.122
2003-05-01,232.626
2003-06-01,235.168
2003-07-01,234.142
2003-08-01,236.193
2003-09-01,236.193
2003-10-01,236.282
2003-11-01,234.856
2003-12-01,231.467
2004-01-01,225.046
2004-02-01,225.67
2004-03-01,228.925
2004-04-01,232.938
2004-05-01,236.461
2004-06-01,238.244
2004-07-01,238.021
2004-08-01,239.404
2004-09-01,239.047
2004-10-01,238.69
2004-11-01,236.728
2004-12-01,233.696
2005-01-01,229.861
2005-02-01,230.129
2005-03-01,232.091
2005-04-01,237.442
2005-05-01,239.805
2005-06-01,243.194
2005-07-01,241.41
2005-08-01,243.684
2005-09-01,243.06
2005-10-01,242.48
2005-11-01,241.722
2005-12-01,239.136
2006-01-01,231.065
2006-02-01,233.027
2006-03-01,234.588
2006-04-01,238.69
2006-05-01,241.232
2006-06-01,244.13
2006-07-01,244.71
2006-08-01,245.2
2006-09-01,245.379
2006-10-01,245.958
2006-11-01,245.557
2006-12-01,244.041
2007-01-01,239.315
2007-02-01,239.404
2007-03-01,243.328
2007-04-01,245.914
2007-05-01,248.857
2007-06-01,251.175
2007-07-01,252.379
2007-08-01,251.666
2007-09-01,250.507
2007-10-01,249.214
2007-11-01,248.277
2007-12-01,245.379
2008-01-01,240.697
2008-02-01,240.697
2008-03-01,242.793
2008-04-01,245.379
2008-05-01,246.181
2008-06-01,247.341
2008-07-01,246.627
2008-08-01,245.334
2008-09-01,243.372
2008-10-01,241.544
2008-11-01,239.002
2008-12-01,234.722
2009-01-01,227.721
2009-02-01,226.116
2009-03-01,227.721
2009-04-01,229.861
2009-05-01,231.913
2009-06-01,233.518
2009-07-01,234.32
2009-08-01,233.785
2009-09-01,233.117
2009-10-01,231.422
2009-11-01,228.301
2009-12-01,223.44
2010-01-01,214.567
2010-02-01,214.21
2010-03-01,216.663
2010-04-01,218.714
2010-05-01,222.46
2010-06-01,225.09
2010-07-01,223.619
2010-08-01,224.511
2010-09-01,223.396
2010-10-01,221.969
2010-11-01,221.924
2010-12-01,217.287
2011-01-01,213.943
2011-02-01,212.427
2011-03-01,216.484
2011-04-01,222.727
2011-05-01,227.632
2011-06-01,231.6
2011-07-01,231.422
2011-08-01,231.556
2011-09-01,231.868
2011-10-01,230.753
2011-11-01,229.148
2011-12-01,225.313
2012-01-01,216.975
2012-02-01,216.262
2012-03-01,218.981
2012-04-01,225.715
2012-05-01,226.651
2012-06-01,230.664
2012-07-01,229.683
2012-08-01,229.416
2012-09-01,229.416
2012-10-01,228.702
2012-11-01,227.364
2012-12-01,223.931
2013-01-01,219.74
2013-02-01,219.829
2013-03-01,224.065
2013-04-01,228.033
2013-05-01,229.059
2013-06-01,231.6
2013-07-01,232.448
2013-08-01,231.6
2013-09-01,229.326
2013-10-01,229.326
2013-11-01,227.587
2013-12-01,224.288
2014-01-01,219.294
2014-02-01,217.956
2014-03-01,220.988
2014-04-01,222.95
2014-05-01,226.606
2014-06-01,229.371
2014-07-01,228.836
2014-08-01,226.205
2014-09-01,224.912
2014-10-01,223.663
2014-11-01,221.523
2014-12-01,215.771
2015-01-01,209.974
2015-02-01,207.834
2015-03-01,208.592
2015-04-01,210.465
2015-05-01,211.758
2015-06-01,212.873
2015-07-01,211.401
2015-08-01,210.554
2015-09-01,207.031
2015-10-01,205.738
2015-11-01,200.566
2015-12-01,191.38
2016-01-01,181.972
2016-02-01,177.022
2016-03-01,175.64
2016-04-01,179.296
2016-05-01,177.914
2016-06-01,178.315
2016-07-01,178.315
2016-08-01,177.825
2016-09-01,175.908
2016-10-01,171.939
2016-11-01,170.155
2016-12-01,165.518
2017-01-01,158.963
2017-02-01,157.804
2017-03-01,159.721
2017-04-01,165.34
2017-05-01,167.837
2017-06-01,170.2
2017-07-01,169.665
2017-08-01,169.531
2017-09-01,169.799
2017-10-01,168.416
2017-11-01,166.722
2017-12-01,160.479
2018-01-01,155.352
2018-02-01,155.485
2018-03-01,158.161
2018-04-01,163.11
2018-05-01,165.563
2018-06-01,168.818
2018-07-01,168.907
2018-08-01,168.06
2018-09-01,166.722
2018-10-01,166.098
2018-11-01,164.448
2018-12-01,161.104
2019-01-01,157.269
2019-02-01,157.626
2019-03-01,159.721
2019-04-01,162.308
2019-05-01,164.047
2019-06-01,166.142
2019-07-01,166.454
2019-08-01,165.518
2019-09-01,164.448
2019-10-01,164.938
2019-11-01,164.002
2019-12-01,162.263
2020-01-01,158.116
2020-02-01,158.963
2020-03-01,161.906
2020-04-01,164.314
2020-05-01,167.971
2020-06-01,169.397
2020-07-01,170.378
2020-08-01,170.869
2020-09-01,169.799
2020-10-01,169.62
2020-11-01,170.2
2020-12-01,166.187
2021-01-01,162.174
2021-02-01,161.327
2021-03-01,164.582
2021-04-01,168.193
2021-05-01,172.786
2021-06-01,174.837
2021-07-01,174.837
2021-08-01,176.398
2021-09-01,175.774
2021-10-01,175.729
2021-11-01,175.372
2021-12-01,173.143
2022-01-01,168.416
2022-02-01,168.015
2022-03-01,171.003
2022-04-01,175.729
2022-05-01,179.118
2022-06-01,180.723
2022-07-01,181.437
2022-08-01,182.284
2022-09-01,180.902
