ds,y
1986-10-01,2718.746
1986-11-01,2706.295
1986-12-01,2692.848
1987-01-01,2673.923
1987-02-01,2666.951
1987-03-01,2659.978
1987-04-01,2648.026
1987-05-01,2624.618
1987-06-01,2619.638
1987-07-01,2597.226
1987-08-01,2596.23
1987-09-01,2585.274
1987-10-01,2580.293
1987-11-01,2573.819
1987-12-01,2565.851
1988-01-01,2552.902
1988-02-01,2546.925
1988-03-01,2537.961
1988-04-01,2523.518
1988-05-01,2502.103
1988-06-01,2498.118
1988-07-01,2475.209
1988-08-01,2478.197
1988-09-01,2471.225
1988-10-01,2459.272
1988-11-01,2461.762
1988-12-01,2459.272
1989-01-01,2446.323
1989-02-01,2443.335
1989-03-01,2437.359
1989-04-01,2437.359
1989-05-01,2435.865
1989-06-01,2444.829
1989-07-01,2446.821
1989-08-01,2445.825
1989-09-01,2443.335
1989-10-01,2442.339
1989-11-01,2444.331
1989-12-01,2448.315
1990-01-01,2457.28
1990-02-01,2468.237
1990-03-01,2476.703
1990-04-01,2473.217
1990-05-01,2479.691
1990-06-01,2488.656
1990-07-01,2482.182
1990-08-01,2488.656
1990-09-01,2481.185
1990-10-01,2483.178
1990-11-01,2483.178
1990-12-01,2487.162
1991-01-01,2482.68
1991-02-01,2482.182
1991-03-01,2480.687
1991-04-01,2488.656
1991-05-01,2492.64
1991-06-01,2509.075
1991-07-01,2510.569
1991-08-01,2516.546
1991-09-01,2514.055
1991-10-01,2520.53
1991-11-01,2522.522
1991-12-01,2528.996
1992-01-01,2532.981
1992-02-01,2521.028
1992-03-01,2537.463
1992-04-01,2539.455
1992-05-01,2544.435
1992-06-01,2558.38
1992-07-01,2548.42
1992-08-01,2550.412
1992-09-01,2541.945
1992-10-01,2531.486
1992-11-01,2519.036
1992-12-01,2508.577
1993-01-01,2515.052
1993-02-01,2513.557
1993-03-01,2505.589
1993-04-01,2493.138
1993-05-01,2488.656
1993-06-01,2487.66
1993-07-01,2488.656
1993-08-01,2477.201
1993-09-01,2462.26
1993-10-01,2451.304
1993-11-01,2449.81
1993-12-01,2448.315
1994-01-01,2432.379
1994-02-01,2434.869
1994-03-01,2421.92
1994-04-01,2415.446
1994-05-01,2421.92
1994-06-01,2424.41
1994-07-01,2443.335
1994-08-01,2436.861
1994-09-01,2424.41
1994-10-01,2427.398
1994-11-01,2427.896
1994-12-01,2436.861
1995-01-01,2439.849
1995-02-01,2432.877
1995-03-01,2431.88
1995-04-01,2426.9
1995-05-01,2422.418
1995-06-01,2432.877
1995-07-01,2435.367
1995-08-01,2421.422
1995-09-01,2384.07
1995-10-01,2368.631
1995-11-01,2356.18
1995-12-01,2351.2
1996-01-01,2329.286
1996-02-01,2319.824
1996-03-01,2306.377
1996-04-01,2300.401
