ds,y
2007-01-01,30.068
2007-02-01,35.49
2007-03-01,37.462
2007-04-01,35.983
2007-05-01,39.927
2007-06-01,40.912
2007-07-01,40.419
2007-08-01,38.941
2007-09-01,35.983
2007-10-01,46.334
2007-11-01,42.884
2007-12-01,40.419
2008-01-01,34.011
2008-02-01,36.969
2008-03-01,37.955
2008-04-01,40.912
2008-05-01,39.434
2008-06-01,44.856
2008-07-01,54.714
2008-08-01,49.292
2008-09-01,45.349
2008-10-01,48.799
2008-11-01,46.334
2008-12-01,48.799
2009-01-01,37.462
2009-02-01,38.448
2009-03-01,45.349
2009-04-01,46.334
2009-05-01,49.292
2009-06-01,52.25
2009-07-01,61.122
2009-08-01,69.995
2009-09-01,65.065
2009-10-01,64.573
2009-11-01,53.235
2009-12-01,55.7
2010-01-01,36.476
2010-02-01,34.011
2010-03-01,45.349
2010-04-01,45.842
2010-05-01,53.235
2010-06-01,54.221
2010-07-01,50.771
2010-08-01,47.32
2010-09-01,43.377
2010-10-01,45.842
2010-11-01,42.391
2010-12-01,43.87
2011-01-01,30.561
2011-02-01,38.448
2011-03-01,38.448
2011-04-01,37.462
2011-05-01,40.419
2011-06-01,42.884
2011-07-01,52.25
2011-08-01,51.264
2011-09-01,44.856
2011-10-01,44.856
2011-11-01,43.377
2011-12-01,38.448
2012-01-01,31.054
2012-02-01,30.561
2012-03-01,41.405
2012-04-01,37.955
2012-05-01,39.927
2012-06-01,44.856
2012-07-01,50.278
2012-08-01,51.757
2012-09-01,39.927
2012-10-01,42.884
2012-11-01,43.87
2012-12-01,36.476
2013-01-01,34.011
2013-02-01,31.547
2013-03-01,37.462
2013-04-01,36.969
2013-05-01,39.434
2013-06-01,41.405
2013-07-01,48.306
2013-08-01,45.842
2013-09-01,40.912
2013-10-01,49.292
2013-11-01,48.799
2013-12-01,46.334
2014-01-01,40.419
2014-02-01,38.941
2014-03-01,40.912
2014-04-01,43.87
2014-05-01,46.334
2014-06-01,50.771
2014-07-01,55.7
2014-08-01,56.193
2014-09-01,46.334
2014-10-01,45.349
2014-11-01,43.377
2014-12-01,39.927
2015-01-01,35.983
2015-02-01,35.983
2015-03-01,37.955
2015-04-01,40.912
2015-05-01,45.349
2015-06-01,50.771
2015-07-01,62.108
