ds,y
2003-01-01,105.177
2003-02-01,99.366
2003-03-01,109.245
2003-04-01,106.921
2003-05-01,102.853
2003-06-01,103.434
2003-07-01,110.407
2003-08-01,105.177
2003-09-01,104.596
2003-10-01,104.596
2003-11-01,107.502
2003-12-01,122.029
2004-01-01,102.272
2004-02-01,95.88
2004-03-01,108.083
2004-04-01,104.596
2004-05-01,105.758
2004-06-01,102.272
2004-07-01,105.177
2004-08-01,106.339
2004-09-01,104.015
2004-10-01,101.691
2004-11-01,103.434
2004-12-01,127.259
2005-01-01,101.691
2005-02-01,98.785
2005-03-01,109.826
2005-04-01,109.826
2005-05-01,110.407
2005-06-01,102.853
2005-07-01,109.826
2005-08-01,115.637
2005-09-01,120.867
2005-10-01,119.705
2005-11-01,124.353
2005-12-01,144.691
2006-01-01,111.569
2006-02-01,100.529
2006-03-01,110.407
2006-04-01,126.097
2006-05-01,134.813
2006-06-01,129.002
2006-07-01,142.367
2006-08-01,142.367
2006-09-01,134.232
2006-10-01,152.827
2006-11-01,145.272
2006-12-01,176.651
2007-01-01,166.773
2007-02-01,142.367
2007-03-01,165.03
2007-04-01,175.489
2007-05-01,167.935
2007-06-01,161.543
2007-07-01,195.246
2007-08-01,191.76
2007-09-01,183.043
2007-10-01,191.179
2007-11-01,191.179
2007-12-01,224.301
2008-01-01,213.841
2008-02-01,182.462
2008-03-01,195.246
2008-04-01,216.165
2008-05-01,205.706
2008-06-01,198.733
2008-07-01,219.652
2008-08-01,212.098
2008-09-01,220.814
2008-10-01,244.058
2008-11-01,237.666
2008-12-01,297.518
2009-01-01,248.125
2009-02-01,224.882
2009-03-01,245.22
2009-04-01,217.328
2009-05-01,215.584
2009-06-01,203.963
2009-07-01,238.828
2009-08-01,232.436
2009-09-01,216.747
2009-10-01,244.639
2009-11-01,234.179
2009-12-01,281.829
2010-01-01,227.787
2010-02-01,207.449
2010-03-01,227.787
2010-04-01,221.395
2010-05-01,230.112
2010-06-01,213.26
2010-07-01,205.125
2010-08-01,222.557
2010-09-01,212.679
2010-10-01,209.773
2010-11-01,216.165
2010-12-01,255.099
2011-01-01,190.598
2011-02-01,165.611
2011-03-01,199.314
2011-04-01,178.976
2011-05-01,191.179
2011-06-01,188.854
2011-07-01,195.827
2011-08-01,198.152
2011-09-01,204.544
2011-10-01,209.773
2011-11-01,220.233
2011-12-01,259.747
2012-01-01,226.044
2012-02-01,202.8
2012-03-01,234.179
2012-04-01,228.368
2012-05-01,231.274
2012-06-01,214.422
2012-07-01,216.747
2012-08-01,220.814
2012-09-01,213.841
2012-10-01,249.288
2012-11-01,250.45
2012-12-01,299.842
2013-01-01,232.436
2013-02-01,220.233
2013-03-01,221.976
2013-04-01,237.085
2013-05-01,235.923
2013-06-01,221.976
2013-07-01,208.611
2013-08-01,207.449
2013-09-01,207.449
2013-10-01,222.557
2013-11-01,211.517
2013-12-01,256.842
2014-01-01,213.26
2014-02-01,197.571
2014-03-01,219.652
2014-04-01,221.976
2014-05-01,208.611
2014-06-01,203.963
2014-07-01,210.936
2014-08-01,198.152
2014-09-01,205.125
2014-10-01,233.017
2014-11-01,227.787
2014-12-01,278.923
2015-01-01,205.706
2015-02-01,208.611
2015-03-01,235.341
2015-04-01,215.584
2015-05-01,213.26
2015-06-01,210.936
2015-07-01,213.26
2015-08-01,215.584
2015-09-01,208.03
2015-10-01,209.192
2015-11-01,213.841
2015-12-01,269.626
2016-01-01,208.03
2016-02-01,192.922
2016-03-01,220.233
2016-04-01,215.584
2016-05-01,213.841
2016-06-01,215.584
2016-07-01,215.003
2016-08-01,234.76
2016-09-01,231.274
2016-10-01,235.923
2016-11-01,254.517
2016-12-01,291.126
2017-01-01,262.072
2017-02-01,250.45
2017-03-01,280.666
2017-04-01,274.856
2017-05-01,277.761
2017-06-01,275.437
2017-07-01,239.99
2017-08-01,256.842
2017-09-01,253.355
2017-10-01,287.64
2017-11-01,288.802
2017-12-01,360.276
2018-01-01,281.248
2018-02-01,261.49
2018-03-01,299.261
2018-04-01,276.018
2018-05-01,291.126
2018-06-01,270.788
2018-07-01,292.288
2018-08-01,301.005
2018-09-01,302.167
2018-10-01,328.897
2018-11-01,333.546
2018-12-01,408.506
2019-01-01,317.856
2019-02-01,294.613
2019-03-01,323.086
2019-04-01,316.694
2019-05-01,308.559
2019-06-01,303.329
2019-07-01,270.788
2019-08-01,277.18
2019-09-01,269.626
2019-10-01,272.531
2019-11-01,282.41
2019-12-01,414.898
2020-01-01,278.342
2020-02-01,284.153
2020-03-01,317.275
2020-04-01,314.951
2020-05-01,295.194
2020-06-01,285.315
2020-07-01,303.329
2020-08-01,292.869
2020-09-01,293.45
2020-10-01,309.721
2020-11-01,297.518
2020-12-01,448.02
2021-01-01,285.896
2021-02-01,280.666
2021-03-01,287.058
2021-04-01,317.856
2021-05-01,278.923
2021-06-01,261.49
2021-07-01,241.733
2021-08-01,242.315
2021-09-01,241.733
2021-10-01,302.167
2021-11-01,314.37
2021-12-01,454.412
2022-01-01,299.261
2022-02-01,298.68
2022-03-01,321.343
2022-04-01,332.965
2022-05-01,323.086
2022-06-01,302.748
2022-07-01,335.87
2022-08-01,356.208
2022-09-01,350.978
2022-10-01,365.506
2022-11-01,366.087
2022-12-01,459.061
2023-01-01,345.167
2023-02-01,305.653
2023-03-01,356.208
2023-04-01,299.842
2023-05-01,309.721
2023-06-01,294.032
2023-07-01,309.14
2023-08-01,304.491
2023-09-01,304.491
2023-10-01,294.032
2023-11-01,324.248
2023-12-01,384.682
2024-01-01,373.641
2024-02-01,288.221
2024-03-01,308.559
2024-04-01,320.181
2024-05-01,302.748
2024-06-01,281.829
2024-07-01,269.626
2024-08-01,280.085
2024-09-01,282.41
2024-10-01,299.261
2024-11-01,288.802
2024-12-01,348.073
