ds,y
1982-01-01,315.569
1982-02-01,316.031
1982-03-01,315.172
1982-04-01,317.947
1982-05-01,318.409
1982-06-01,319.202
1982-07-01,313.851
1982-08-01,315.503
1982-09-01,317.022
1982-10-01,315.569
1982-11-01,315.304
1982-12-01,315.238
1983-01-01,313.323
1983-02-01,313.19
1983-03-01,313.19
1983-04-01,314.115
1983-05-01,314.842
1983-06-01,317.352
1983-07-01,312.662
1983-08-01,317.484
1983-09-01,317.286
1983-10-01,317.484
1983-11-01,317.947
1983-12-01,317.286
1984-01-01,315.503
1984-02-01,316.229
1984-03-01,315.701
1984-04-01,316.824
1984-05-01,313.983
1984-06-01,313.389
1984-07-01,304.074
1984-08-01,307.84
1984-09-01,305.66
1984-10-01,302.951
1984-11-01,302.158
1984-12-01,299.714
1985-01-01,294.628
1985-02-01,294.892
1985-03-01,293.769
1985-04-01,292.514
1985-05-01,294.694
1985-06-01,295.354
1985-07-01,289.871
1985-08-01,293.571
1985-09-01,291.919
1985-10-01,292.117
1985-11-01,290.334
1985-12-01,289.673
1986-01-01,288.616
1986-02-01,287.559
1986-03-01,289.012
1986-04-01,288.418
1986-05-01,289.409
1986-06-01,290.466
1986-07-01,285.511
1986-08-01,288.22
1986-09-01,288.022
1986-10-01,287.427
1986-11-01,287.229
1986-12-01,288.022
1987-01-01,285.842
1987-02-01,285.313
1987-03-01,284.785
1987-04-01,285.445
1987-05-01,284.653
1987-06-01,283.992
1987-07-01,277.65
1987-08-01,277.452
1987-09-01,278.641
1987-10-01,275.404
1987-11-01,273.885
1987-12-01,272.365
1988-01-01,269.855
1988-02-01,267.675
1988-03-01,266.42
1988-04-01,265.825
1988-05-01,264.174
1988-06-01,264.24
1988-07-01,260.012
1988-08-01,260.078
1988-09-01,259.352
1988-10-01,258.361
1988-11-01,256.511
1988-12-01,255.322
1989-01-01,251.358
1989-02-01,252.68
1989-03-01,252.878
1989-04-01,252.547
1989-05-01,252.151
1989-06-01,252.878
1989-07-01,249.575
1989-08-01,251.226
1989-09-01,249.31
1989-10-01,246.668
1989-11-01,244.884
1989-12-01,242.176
1990-01-01,238.08
1990-02-01,231.937
1990-03-01,232.597
1990-04-01,229.36
1990-05-01,226.52
1990-06-01,223.547
1990-07-01,217.602
1990-08-01,214.563
1990-09-01,211.987
1990-10-01,207.759
1990-11-01,203.597
1990-12-01,201.549
1991-01-01,196.991
1991-02-01,196.33
1991-03-01,196.198
1991-04-01,195.472
1991-05-01,194.745
