ds,y
1992-01-01,63.89
1992-04-01,23.666
1992-07-01,13.54
1992-10-01,29.405
1993-01-01,48.66
1993-04-01,32.63
1993-07-01,16.36
1993-10-01,21.693
1994-01-01,36.594
1994-04-01,28.161
1994-07-01,21.852
1994-10-01,25.509
1995-01-01,41.717
1995-04-01,16.874
1995-07-01,16.01
1995-10-01,20.606
1996-01-01,45.082
1996-04-01,31.553
1996-07-01,14.817
1996-10-01,22.06
1997-01-01,51.42
1997-04-01,18.964
1997-07-01,15.307
1997-10-01,29.779
1998-01-01,37.34
1998-04-01,16.517
1998-07-01,10.863
1998-10-01,31.061
1999-01-01,47.237
1999-04-01,23.995
1999-07-01,12.24
1999-10-01,33.994
2000-01-01,52.452
2000-04-01,14.682
2000-07-01,13.715
2000-10-01,22.599
2001-01-01,57.244
2001-04-01,19.487
2001-07-01,19.072
2001-10-01,34.919
2002-01-01,56.914
2002-04-01,15.798
2002-07-01,14.322
2002-10-01,26.722
2003-01-01,48.62
2003-04-01,20.641
2003-07-01,18.344
2003-10-01,19.106
2004-01-01,36.059
2004-04-01,21.681
2004-07-01,12.981
2004-10-01,27.765
2005-01-01,37.706
2005-04-01,20.926
2005-07-01,14.919
2005-10-01,26.449
2006-01-01,54.87
2006-04-01,23.555
2006-07-01,17.449
2006-10-01,24.737
2007-01-01,38.85
2007-04-01,28.664
2007-07-01,9.938
2007-10-01,29.146
2008-01-01,51.412
2008-04-01,25.618
