ds,y
2004-01-01,148.59
2004-04-01,196.529
2004-07-01,121.701
2004-10-01,189.37
2005-01-01,220.388
2005-04-01,147.836
2005-07-01,122.968
2005-10-01,231.849
2006-01-01,162.715
2006-04-01,140.907
2006-07-01,107.118
2006-10-01,226.699
2007-01-01,129.547
2007-04-01,168.655
2007-07-01,175.427
2007-10-01,263.469
2008-01-01,157.451
2008-04-01,191.367
2008-07-01,133.56
2008-10-01,261.746
2009-01-01,261.309
2009-04-01,145.825
2009-07-01,162.058
2009-10-01,239.765
2010-01-01,191.566
2010-04-01,155.691
2010-07-01,211.973
2010-10-01,280.682
2011-01-01,206.224
2011-04-01,235.317
2011-07-01,150.041
2011-10-01,139.524
2012-01-01,201.877
2012-04-01,217.05
2012-07-01,137.735
2012-10-01,177.705
2013-01-01,203.184
2013-04-01,189.461
2013-07-01,135.328
2013-10-01,217.453
2014-01-01,132.064
2014-04-01,130.933
2014-07-01,167.211
2014-10-01,208.848
2015-01-01,118.01
2015-04-01,120.066
2015-07-01,130.442
2015-10-01,191.366
2016-01-01,228.347
2016-04-01,130.255
2016-07-01,209.553
2016-10-01,208.172
2017-01-01,147.858
2017-04-01,158.488
2017-07-01,143.68
2017-10-01,193.09
2018-01-01,149.618
2018-04-01,155.463
2018-07-01,136.967
2018-10-01,173.182
2019-01-01,219.655
2019-04-01,209.933
2019-07-01,134.354
2019-10-01,232.61
2020-01-01,170.588
2020-04-01,126.851
2020-07-01,163.252
2020-10-01,231.447
2021-01-01,179.221
2021-04-01,200.665
