ds,y
1999-01-01,4.407
1999-02-01,4.131
1999-03-01,5.233
1999-04-01,5.508
1999-05-01,5.508
1999-06-01,6.61
1999-07-01,6.059
1999-08-01,6.61
1999-09-01,6.335
1999-10-01,5.784
1999-11-01,5.784
1999-12-01,7.712
2000-01-01,4.407
2000-02-01,4.407
2000-03-01,4.682
2000-04-01,5.784
2000-05-01,6.059
2000-06-01,6.335
2000-07-01,6.886
2000-08-01,5.784
2000-09-01,5.508
2000-10-01,5.508
2000-11-01,4.407
2000-12-01,6.059
2001-01-01,4.131
2001-02-01,3.856
2001-03-01,4.131
2001-04-01,4.958
2001-05-01,5.508
2001-06-01,4.682
2001-07-01,6.335
2001-08-01,5.784
2001-09-01,5.784
2001-10-01,5.233
2001-11-01,5.233
2001-12-01,7.712
2002-01-01,4.407
2002-02-01,4.131
2002-03-01,5.233
2002-04-01,5.508
2002-05-01,5.508
2002-06-01,4.682
2002-07-01,4.682
2002-08-01,4.958
2002-09-01,4.407
2002-10-01,4.958
2002-11-01,4.131
2002-12-01,5.508
2003-01-01,4.131
2003-02-01,3.58
2003-03-01,4.131
2003-04-01,4.682
2003-05-01,4.407
2003-06-01,4.682
2003-07-01,4.682
2003-08-01,4.958
2003-09-01,4.958
2003-10-01,5.508
2003-11-01,4.958
2003-12-01,7.161
2004-01-01,4.131
2004-02-01,3.856
2004-03-01,4.682
2004-04-01,4.407
2004-05-01,4.682
2004-06-01,5.233
2004-07-01,5.233
2004-08-01,5.508
2004-09-01,5.508
2004-10-01,5.508
2004-11-01,5.233
2004-12-01,7.161
2005-01-01,4.958
2005-02-01,4.682
2005-03-01,5.508
2005-04-01,4.682
2005-05-01,5.233
2005-06-01,4.958
2005-07-01,4.682
2005-08-01,4.682
2005-09-01,4.682
2005-10-01,4.958
2005-11-01,4.958
2005-12-01,6.335
2006-01-01,4.407
2006-02-01,3.856
2006-03-01,4.131
2006-04-01,3.856
2006-05-01,3.856
2006-06-01,4.131
2006-07-01,6.61
2006-08-01,7.161
2006-09-01,6.335
2006-10-01,5.784
2006-11-01,5.508
2006-12-01,6.886
2007-01-01,4.407
2007-02-01,4.131
2007-03-01,4.958
2007-04-01,4.958
2007-05-01,5.508
2007-06-01,6.61
2007-07-01,6.886
2007-08-01,6.886
2007-09-01,6.886
2007-10-01,6.61
2007-11-01,6.059
2007-12-01,8.263
2008-01-01,4.958
2008-02-01,4.682
2008-03-01,5.233
2008-04-01,6.61
2008-05-01,6.61
2008-06-01,7.712
2008-07-01,7.161
2008-08-01,7.436
2008-09-01,7.161
2008-10-01,6.886
2008-11-01,6.335
2008-12-01,8.263
2009-01-01,5.784
2009-02-01,5.508
2009-03-01,6.335
2009-04-01,6.335
2009-05-01,6.335
2009-06-01,6.886
2009-07-01,6.886
2009-08-01,7.436
2009-09-01,6.886
2009-10-01,7.161
2009-11-01,6.61
2009-12-01,9.089
2010-01-01,5.233
2010-02-01,5.508
2010-03-01,6.335
2010-04-01,7.161
2010-05-01,8.538
2010-06-01,9.089
2010-07-01,8.263
2010-08-01,9.089
2010-09-01,8.813
2010-10-01,8.538
2010-11-01,8.263
2010-12-01,11.568
2011-01-01,7.436
2011-02-01,7.436
2011-03-01,8.538
2011-04-01,9.089
2011-05-01,9.64
2011-06-01,10.741
2011-07-01,9.915
2011-08-01,9.64
2011-09-01,10.191
2011-10-01,9.364
2011-11-01,8.538
2011-12-01,12.394
2012-01-01,11.017
2012-02-01,10.466
2012-03-01,12.669
2012-04-01,14.046
2012-05-01,14.322
2012-06-01,13.496
2012-07-01,14.322
2012-08-01,14.873
