ds,y
2003-01-01,2.671
2003-02-01,2.53
2003-03-01,2.671
2003-04-01,2.987
2003-05-01,2.811
2003-06-01,3.338
2003-07-01,3.092
2003-08-01,2.846
2003-09-01,2.671
2003-10-01,2.741
2003-11-01,2.776
2003-12-01,4.076
2004-01-01,2.741
2004-02-01,2.495
2004-03-01,3.409
2004-04-01,3.971
2004-05-01,3.971
2004-06-01,3.127
2004-07-01,3.163
2004-08-01,3.057
2004-09-01,3.022
2004-10-01,3.092
2004-11-01,3.163
2004-12-01,4.849
2005-01-01,3.092
2005-02-01,2.741
2005-03-01,2.741
2005-04-01,2.6
2005-05-01,2.776
2005-06-01,2.741
2005-07-01,3.268
2005-08-01,3.865
2005-09-01,2.987
2005-10-01,3.022
2005-11-01,2.987
2005-12-01,4.674
2006-01-01,2.952
2006-02-01,2.6
2006-03-01,3.163
2006-04-01,2.987
2006-05-01,3.057
2006-06-01,3.338
2006-07-01,3.338
2006-08-01,2.987
2006-09-01,2.987
2006-10-01,2.987
2006-11-01,3.092
2006-12-01,4.392
2007-01-01,3.268
2007-02-01,2.741
2007-03-01,3.057
2007-04-01,3.444
2007-05-01,3.163
2007-06-01,3.198
2007-07-01,3.725
2007-08-01,3.655
2007-09-01,4.041
2007-10-01,3.76
2007-11-01,4.252
2007-12-01,6.677
2008-01-01,4.322
2008-02-01,3.971
2008-03-01,3.865
2008-04-01,4.428
2008-05-01,4.638
2008-06-01,5.095
2008-07-01,5.482
2008-08-01,4.92
2008-09-01,4.779
2008-10-01,5.341
2008-11-01,5.341
2008-12-01,8.328
2009-01-01,5.06
2009-02-01,4.182
2009-03-01,4.603
2009-04-01,4.814
2009-05-01,4.779
2009-06-01,4.638
2009-07-01,5.412
2009-08-01,4.568
2009-09-01,4.498
2009-10-01,4.744
2009-11-01,5.06
2009-12-01,7.836
2010-01-01,5.236
2010-02-01,4.955
2010-03-01,6.009
2010-04-01,5.025
2010-05-01,5.341
2010-06-01,5.763
2010-07-01,6.325
2010-08-01,5.763
2010-09-01,5.271
2010-10-01,5.763
2010-11-01,5.798
2010-12-01,7.977
2011-01-01,6.255
2011-02-01,6.044
2011-03-01,7.133
2011-04-01,5.868
2011-05-01,7.379
2011-06-01,8.609
2011-07-01,6.395
2011-08-01,6.677
2011-09-01,6.255
2011-10-01,6.325
2011-11-01,6.958
2011-12-01,8.926
2012-01-01,6.079
2012-02-01,5.658
2012-03-01,6.255
2012-04-01,5.587
2012-05-01,6.466
2012-06-01,6.958
2012-07-01,8.152
2012-08-01,8.012
2012-09-01,7.379
2012-10-01,7.52
2012-11-01,8.258
2012-12-01,10.577
2013-01-01,7.906
2013-02-01,6.817
2013-03-01,7.731
2013-04-01,7.59
2013-05-01,8.539
2013-06-01,8.539
2013-07-01,7.098
2013-08-01,7.942
2013-09-01,6.606
2013-10-01,8.68
2013-11-01,8.89
2013-12-01,12.299
2014-01-01,9.312
2014-02-01,8.855
2014-03-01,9.664
2014-04-01,9.523
2014-05-01,10.085
2014-06-01,10.437
2014-07-01,9.98
2014-08-01,9.909
2014-09-01,9.909
2014-10-01,9.347
2014-11-01,10.542
2014-12-01,14.478
2015-01-01,10.647
2015-02-01,8.89
2015-03-01,9.909
2015-04-01,9.277
2015-05-01,9.628
2015-06-01,10.893
2015-07-01,10.964
2015-08-01,10.823
2015-09-01,9.382
2015-10-01,9.804
2015-11-01,10.12
2015-12-01,15.005
2016-01-01,9.628
2016-02-01,8.012
2016-03-01,8.609
2016-04-01,8.539
